day,month,year,plot,focal,subplot,code.plant,family,class,fruit,seed,abundance
4,3,2019,3,CHFU,A5,BEMA,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,BEMA,Amaranthaceae,Forb,0,0,0
13,5,2021,9,CETE,C2,BEMA,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,C2,BEMA,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,BEMA,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,BEMA,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,BEMA,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,BEMA,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,BEMA,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,BEMA,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,SASO,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,SASO,Amaranthaceae,Forb,0,0,0
13,5,2021,9,CETE,C2,SASO,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,C2,SASO,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,SASO,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,SASO,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,SASO,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,SASO,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,SASO,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,SASO,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,SUSP,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,SUSP,Amaranthaceae,Forb,0,0,0
13,5,2021,9,CETE,C2,SUSP,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,C2,SUSP,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,SUSP,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,SUSP,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,SUSP,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,SUSP,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,SUSP,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,SUSP,Amaranthaceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,ACHI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,ACHI,Asteraceae,Forb,0,0,0
13,5,2021,9,CETE,C2,ACHI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,C2,ACHI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,ACHI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,ACHI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,ACHI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,ACHI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,ACHI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,ACHI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,CHFU,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,CHFU,Asteraceae,Forb,0,0,0
13,5,2021,9,CETE,C2,CHFU,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,C2,CHFU,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,CHFU,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,CHFU,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,CHFU,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,CHFU,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,CHFU,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,CHFU,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,CHMI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,CHMI,Asteraceae,Forb,0,0,0
13,5,2021,9,CETE,C2,CHMI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,C2,CHMI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,CHMI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,CHMI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,CHMI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,CHMI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,CHMI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,CHMI,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,LEMA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,LEMA,Asteraceae,Forb,0,0,0
13,5,2021,9,CETE,C2,LEMA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,C2,LEMA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,LEMA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,LEMA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,LEMA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,LEMA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,LEMA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,LEMA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,PUPA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,PUPA,Asteraceae,Forb,0,0,0
13,5,2021,9,CETE,C2,PUPA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,C2,PUPA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,PUPA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,PUPA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,PUPA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,PUPA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,PUPA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,PUPA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,SCLA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,SCLA,Asteraceae,Forb,0,0,0
13,5,2021,9,CETE,C2,SCLA,Asteraceae,Forb,0,0,0
