"","day","month","year","plot","subplot","focal","fruit","BEMA","CHFU","CHMI","CETE","HOMA","LEMA","PAIN","PLCO","POMA","POMO","PUPA","SASO","SCLA","SPRU","MESU","MEEL","SOAS","FRPU","SUSP","COSQ","CRCR","DA","LYTR","MEPO","RAPE","seed","ANAR","ACHI","comments","ARTE","NEWGRASS","observers","Amaranthaceae","Asteraceae","Brassicaceae","Caryophyllaceae","Convolvulaceae","Fabaceae","Frankeniaceae","Gentianaceae","Lythraceae","Plantaginaceae","Poaceae","Primulacea","Ranunculuc","Forb","Grass","abundant","rare"
"1",10,6,2015,6,"A1","PAIN",3,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,"0",0,0,"0",0,2,0,0,0,0,0,0,0,6,0,0,0,8,0,2,6
"2",10,6,2015,6,"A2","PAIN",5,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,"0",0,0,"0",0,3,0,0,0,0,0,0,0,2,0,0,0,5,0,3,2
"3",10,6,2015,6,"A3","PAIN",5,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,"0",0,0,"0",0,2,0,0,0,0,0,0,0,4,0,0,0,6,0,2,4
"4",10,6,2015,6,"A4","PAIN",3,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,"0",0,0,"0",0,1,0,0,0,0,0,0,0,5,1,0,0,6,1,2,5
"5",10,6,2015,6,"A5","PAIN",3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,"0",0,0,"0",0,1,0,0,0,0,0,0,0,3,0,0,0,4,0,1,3
"6",10,6,2015,6,"A6","PAIN",7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,"0",0,0,"0",1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1
"7",10,6,2015,6,"B1","PAIN",7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
"8",10,6,2015,6,"B2","PAIN",8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,1,2
"9",10,6,2015,6,"B3","PAIN",3,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69,0,0,"0",0,0,"0",0,1,0,0,0,1,0,0,0,2,1,0,0,4,1,2,3
"10",10,6,2015,6,"B4","PAIN",3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,"0",0,0,"0",0,3,0,0,0,0,0,0,0,2,0,0,0,5,0,3,2
"11",10,6,2015,6,"B5","PAIN",2,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,"0",0,0,"0",1,4,0,0,0,0,0,0,0,2,0,0,0,7,0,5,2
"12",10,6,2015,6,"B6","PAIN",10,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,"0",0,0,"0",0,1,0,0,0,0,0,0,0,2,3,0,0,3,3,4,2
"13",10,6,2015,6,"C1","PAIN",7,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,2,4
"14",10,6,2015,6,"C2","PAIN",9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4
"15",10,6,2015,6,"C3","PAIN",4,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,"0",0,0,"0",0,2,0,0,0,0,0,0,0,1,3,0,0,3,3,5,1
"16",10,6,2015,6,"C4","PAIN",7,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,"0",0,0,"0",0,2,0,0,0,0,0,0,0,4,2,0,0,6,2,4,4
"17",10,6,2015,6,"C5","PAIN",6,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,"0",0,0,"0",1,1,0,0,0,0,0,0,0,1,2,0,0,3,2,3,2
"18",10,6,2015,6,"C6","PAIN",10,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,"0",0,0,"0",2,1,0,0,0,0,0,0,0,2,0,0,0,5,0,3,2
"19",10,6,2015,6,"D1","PAIN",8,0,4,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,"0",0,0,"0",1,4,0,0,0,0,0,0,0,4,0,0,0,9,0,5,4
"20",10,6,2015,6,"D2","PAIN",11,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0
"21",10,6,2015,6,"D3","PAIN",11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0
"22",10,6,2015,6,"D4","PAIN",9,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,"0",0,0,"0",0,1,0,0,0,0,0,0,0,0,3,0,0,1,3,4,0
"23",10,6,2015,6,"D5","PAIN",7,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,"0",0,0,"0",0,1,0,0,0,0,0,0,0,2,1,0,0,3,1,2,2
"24",10,6,2015,6,"D6","PAIN",8,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,"0",0,0,"0",0,3,0,0,0,0,0,0,0,0,1,0,0,3,1,4,0
"25",10,6,2015,6,"E1","PAIN",34,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
"26",10,6,2015,6,"E2","PAIN",4,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,"0",0,0,"0",0,1,0,0,0,0,0,0,0,6,0,0,0,7,0,1,6
"27",10,6,2015,6,"E3","PAIN",17,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0,"0",0,0,"0",0,1,0,0,0,0,0,0,0,0,4,0,0,1,4,5,0
"28",10,6,2015,6,"E4","PAIN",14,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,"0",0,0,"0",0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,2,1
"29",10,6,2015,6,"E5","PAIN",12,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,276,0,0,"0",0,0,"0",0,0,0,1,0,0,0,0,0,2,1,0,0,3,1,1,3
"30",10,6,2015,6,"E6","PAIN",7,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,161,0,0,"0",0,0,"0",0,0,0,1,0,0,0,0,0,2,1,0,0,3,1,1,3
"31",10,6,2015,6,"F1","PAIN",9,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,4,1,0,0,4,1,1,4
"32",10,6,2015,6,"F2","PAIN",10,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,"0",0,0,"0",1,0,0,0,0,0,0,0,0,3,1,0,0,4,1,2,3
"33",10,6,2015,6,"F3","PAIN",6,0,0,0,0,0,0,0,1,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,"0",0,0,"0",3,0,0,0,0,0,0,0,0,1,8,0,0,4,8,11,1
"34",10,6,2015,6,"F4","PAIN",7,0,3,0,0,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,"0",0,0,"0",1,4,0,0,0,0,0,0,0,3,1,0,0,8,1,5,4
"35",10,6,2015,6,"F5","PAIN",24,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,552,0,0,"0",0,0,"0",0,1,0,4,0,0,0,0,0,3,0,0,0,8,0,1,7
"36",10,6,2015,6,"F6","PAIN",12,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,"0",0,0,"0",0,2,0,0,0,0,0,0,0,3,1,0,0,5,1,3,3
"37",10,6,2015,5,"A1","PUPA",7,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,"0",0,0,"0",0,6,0,0,0,0,0,0,0,0,1,0,0,6,1,6,1
"38",10,6,2015,5,"A1","PUPA",14,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,952,0,0,"0",0,0,"0",2,5,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0
"39",10,6,2015,5,"A1","PUPA",26,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,"0",0,0,"0",2,5,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0
"40",10,6,2015,5,"A1","PAIN",5,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,"0",0,0,"0",0,3,0,0,0,0,0,0,0,0,3,0,0,3,3,6,0
"41",10,6,2015,5,"A2","PAIN",7,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,"0",0,0,"0",0,3,0,0,0,0,0,0,0,0,2,0,0,3,2,5,0
"42",10,6,2015,5,"A3","PAIN",4,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,"0",0,0,"0",0,4,0,0,0,0,0,0,0,0,2,0,0,4,2,6,0
"43",10,6,2015,5,"A3","PUPA",3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,"0",0,0,"0",0,2,0,0,0,0,0,0,0,0,1,0,0,2,1,3,0
"44",10,6,2015,5,"A4","PAIN",9,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,207,0,0,"0",0,0,"0",0,4,0,0,0,1,0,0,0,0,2,0,0,5,2,6,1
"45",10,6,2015,5,"A5","PAIN",2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,"0",0,0,"0",0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,4,0
"46",10,6,2015,5,"A6","PAIN",6,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,138,0,0,"0",0,0,"0",0,2,0,0,0,1,0,0,0,2,1,0,0,5,1,3,3
"47",10,6,2015,5,"A6","PUPA",3,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,"0",0,0,"0",0,1,0,0,3,0,0,3,0,0,2,0,0,7,2,6,3
"48",10,6,2015,5,"B1","PAIN",6,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,8,0
"49",10,6,2015,5,"B1","PUPA",4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,"0",0,0,"0",0,1,0,0,0,0,0,0,0,3,0,0,0,4,0,1,3
"50",10,6,2015,5,"B1","PUPA",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0
"51",10,6,2015,5,"B2","PAIN",11,0,0,0,7,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,"0",0,0,"0",0,0,0,0,7,0,0,7,0,0,4,0,0,14,4,11,7
"52",10,6,2015,5,"B2","PUPA",15,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,"0",0,0,"0",0,0,0,0,12,0,0,12,0,3,0,0,0,27,0,12,15
"53",10,6,2015,5,"B3","PAIN",15,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0
"54",10,6,2015,5,"B3","PUPA",4,0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,"0",0,0,"0",0,0,0,0,1,0,0,1,0,0,5,0,0,2,5,5,2
"55",10,6,2015,5,"B4","PAIN",6,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,"0",0,0,"0",0,0,0,0,2,0,0,2,0,0,4,0,0,4,4,6,2
"56",10,6,2015,5,"B4","PUPA",1,0,1,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,"0",0,0,"0",0,2,0,0,0,0,0,0,0,1,4,0,0,3,4,5,2
"57",10,6,2015,5,"B5","PAIN",3,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,"0",0,0,"0",0,1,0,0,0,0,0,0,0,0,5,0,0,1,5,6,0
"58",10,6,2015,5,"B5","PUPA",1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,"0",0,0,"0",0,2,0,0,0,0,0,0,0,0,4,0,0,2,4,6,0
"59",10,6,2015,5,"B6","PAIN",17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,391,0,0,"0",0,0,"0",0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
"60",10,6,2015,5,"C1","PAIN",7,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,"0",0,0,"0",0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,4,0
"61",10,6,2015,5,"C1","PUPA",10,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,0,"0",0,0,"0",0,3,0,0,0,0,0,0,0,0,2,0,0,3,2,5,0
"62",10,6,2015,5,"C2","PAIN",24,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,0,0,"0",0,0,"0",0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,3,0
"63",10,6,2015,5,"C2","PUPA",19,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,"0",0,0,"0",1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1
"64",10,6,2015,5,"C3","PAIN",5,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,"0",0,0,"0",0,0,0,0,1,0,0,1,0,2,2,0,0,4,2,3,3
"65",10,6,2015,5,"C4","PAIN",8,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,"0",0,0,"0",2,1,0,0,0,0,0,0,0,0,2,0,0,3,2,5,0
"66",10,6,2015,5,"C5","PAIN",3,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,"0",0,0,"0",2,0,0,0,0,0,0,0,0,0,3,0,0,2,3,3,2
"67",10,6,2015,5,"C6","PAIN",2,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,"0",0,0,"0",1,1,0,0,0,0,0,0,0,0,4,0,0,2,4,6,0
"68",10,6,2015,5,"D1","PAIN",5,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115,0,0,"0",0,0,"0",0,2,0,1,1,0,0,1,0,1,0,0,0,6,0,3,3
"69",10,6,2015,5,"D2","PAIN",8,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,"0",0,0,"0",0,3,0,0,0,0,0,0,0,1,2,0,0,4,2,5,1
"70",10,6,2015,5,"D2","PUPA",9,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,0,"0",0,0,"0",0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,3,0
"71",10,6,2015,5,"D3","PAIN",4,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,"0",0,0,"0",0,3,0,0,0,0,0,0,0,0,2,0,0,3,2,5,0
"72",10,6,2015,5,"D5","PAIN",2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,"0",0,0,"0",0,1,0,0,0,0,0,0,0,0,3,0,0,1,3,4,0
"73",10,6,2015,5,"D5","PAIN",3,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,"0",0,0,"0",0,2,0,0,0,0,0,0,0,0,3,0,0,2,3,5,0
"74",10,6,2015,5,"D6","PAIN",2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0
"75",10,6,2015,5,"E1","PAIN",2,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,"0",0,0,"0",0,1,0,0,0,0,0,0,0,0,4,0,0,1,4,4,1
"76",10,6,2015,5,"E2","PAIN",4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,"0",0,0,"0",0,2,0,0,2,0,0,2,0,0,0,0,0,6,0,4,2
"77",10,6,2015,5,"E3","PAIN",5,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,"0",0,0,"0",1,0,0,0,0,0,0,0,0,2,1,0,0,3,1,2,2
"78",10,6,2015,5,"E4","PAIN",3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,"0",0,0,"0",0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,3,0
"79",10,6,2015,5,"E5","PAIN",11,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,253,0,0,"0",0,0,"0",0,3,0,0,1,1,0,1,0,0,0,0,0,6,0,4,2
"80",10,6,2015,5,"E6","PAIN",4,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,"0",0,0,"0",0,3,0,0,0,0,0,0,0,0,2,0,0,3,2,3,2
"81",10,6,2015,5,"F1","PAIN",6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,138,0,0,"0",0,0,"0",0,2,0,0,0,1,0,0,0,0,1,0,0,3,1,3,1
"82",10,6,2015,5,"F2","PAIN",7,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,"0",0,0,"0",0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,2,1
"83",10,6,2015,5,"F3","PAIN",8,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,"0",0,0,"0",1,3,0,0,0,0,0,0,0,2,0,0,0,6,0,4,2
"84",10,6,2015,5,"F4","PAIN",5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0
"85",10,6,2015,5,"F5","PAIN",8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,184,0,0,"0",0,0,"0",0,0,0,0,0,2,0,0,0,0,2,0,0,2,2,2,2
"86",10,6,2015,5,"F6","PAIN",4,0,1,0,0,1,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,92,0,0,"0",0,0,"0",11,1,0,0,0,1,0,0,0,0,1,0,0,13,1,13,1
