day,month,year,plot,subplot,raw_species_id,number_visits,jar,plant,time,observers,weather,comments,id_final,type,group,order,family,genus,species,species_id,stage,morpho_sp,nickname
8,2,2019,3,A6,scaeva_sp,3,0,CHFU,12.38,mar?a,sun/ soft wind,,Scaeva_spp,FV,fly,Diptera,Syrphidae,Scaeva,NA,Scaeva_spp,NA,NA,
8,2,2019,3,D3,scaeva_sp,2,0,CHFU,12.38,mar?a,sun/ soft wind,,Scaeva_spp,FV,fly,Diptera,Syrphidae,Scaeva,NA,Scaeva_spp,NA,NA,
8,2,2019,3,F2,scaeva_sp,1,0,CHFU,12.38,mar?a,sun/ soft wind,,Scaeva_spp,FV,fly,Diptera,Syrphidae,Scaeva,NA,Scaeva_spp,NA,NA,
8,2,2019,5,A3,sphaerophoria_sp,2,1/8/28/19,CHFU,13.11,mar?a,sun/ soft wind,,Sphaerophoria_scripta,FV,fly,Diptera,Syrphidae,Sphaerophoria,scripta,Sphaerophoria_scripta,NA,NA,
8,2,2019,5,C3,episyrphus_balteatus,2,0,CHFU,13.11,mar?a,sun/ soft wind,,Episyrphus_balteatus,FV,fly,Diptera,Syrphidae,Episyrphus,balteatus,Episyrphus_balteatus,NA,NA,
8,2,2019,5,C4,dilophus_sp,1,0,CHFU,13.11,mar?a,sun/ soft wind,,Dilophus_spp,FV,fly,Diptera,Bibionidae,Dilophus,NA,Dilophus_spp,NA,NA,
8,2,2019,5,F5,dilophus_sp,1,0,CHFU,13.11,mar?a,sun/ soft wind,,Dilophus_spp,FV,fly,Diptera,Bibionidae,Dilophus,NA,Dilophus_spp,NA,NA,
8,2,2019,5,F6,scaeva_sp,3,8/8/2/19,CHFU,13.11,mar?a,sun/ soft wind,,Scaeva_spp,FV,fly,Diptera,Syrphidae,Scaeva,NA,Scaeva_spp,NA,NA,
8,2,2019,5,F6,scaeva_sp,1,8/8/2/19,CHFU,13.11,,,estaba en el mismo bote que el anterior,Scaeva_spp,FV,fly,Diptera,Syrphidae,Scaeva,NA,Scaeva_spp,NA,NA,
8,2,2019,5,F6,diptera,1,8/8/2/19_1,CHFU,NA,,,,Diptera,FV,fly,Diptera,NA,NA,NA,Diptera,NA,NA,
8,2,2019,7,D6,dilophus_sp,1,0,RAPE,13.46,mar?a,sun/ soft wind,,Dilophus_spp,FV,fly,Diptera,Bibionidae,Dilophus,NA,Dilophus_spp,NA,NA,
8,2,2019,7,E3,eristalis_sp,1,ma91,RAPE,13.46,mar?a,sun/ soft wind,,Eristalis_similis,FV,fly,Diptera,Syrphidae,Eristalis,similis,Eristalis_similis,NA,NA,
8,2,2019,8,A3,scaeva_sp,1,0,CHFU,13.46,mar?a,sun/ soft wind,,Scaeva_spp,FV,fly,Diptera,Syrphidae,Scaeva,NA,Scaeva_spp,NA,NA,
8,2,2019,8,A6,scaeva_sp,1,0,CHFU,13.46,mar?a,sun/ soft wind,,Scaeva_spp,FV,fly,Diptera,Syrphidae,Scaeva,NA,Scaeva_spp,NA,NA,
8,2,2019,9,A6,dilophus_sp,1,0,CHFU,14.20,mar?a,sun/ soft wind,,Dilophus_spp,FV,fly,Diptera,Bibionidae,Dilophus,NA,Dilophus_spp,NA,NA,
8,2,2019,9,B1,diptera,1,ma93,CHFU,14.20,mar?a,sun/ soft wind,,Diptera,FV,fly,Diptera,NA,NA,NA,Diptera,NA,NA,
8,2,2019,9,B1,dilophus_sp,1,0,CHFU,14.20,mar?a,sun/ soft wind,,Dilophus_spp,FV,fly,Diptera,Bibionidae,Dilophus,NA,Dilophus_spp,NA,NA,
8,2,2019,8,B3,scaeva_sp,1,0,CHFU,13.46,mar?a,sun/ soft wind,,Scaeva_spp,FV,fly,Diptera,Syrphidae,Scaeva,NA,Scaeva_spp,NA,NA,
8,2,2019,9,C1,episyrphus_sp,1,ma9,CHFU,14.20,mar?a,sun/ soft wind,,Episyrphus_balteatus,FV,fly,Diptera,Syrphidae,Episyrphus,balteatus,Episyrphus_balteatus,NA,NA,
8,2,2019,9,C3,episyrphus_sp,1,0,CHFU,14.20,mar?a,sun/ soft wind,,Episyrphus_balteatus,FV,fly,Diptera,Syrphidae,Episyrphus,balteatus,Episyrphus_balteatus,NA,NA,
8,2,2019,9,C6,dilophus_sp,1,0,CHFU,14.20,mar?a,sun/ soft wind,,Dilophus_spp,FV,fly,Diptera,Bibionidae,Dilophus,NA,Dilophus_spp,NA,NA,
8,2,2019,9,C6,scaeva_sp,1,0,CHFU,14.20,mar?a,sun/ soft wind,,Scaeva_spp,FV,fly,Diptera,Syrphidae,Scaeva,NA,Scaeva_spp,NA,NA,
8,2,2019,8,D1,episyrphus_sp,3,82/8/2/19,CHFU,13.46,mar?a,sun/ soft wind,,Episyrphus_balteatus,FV,fly,Diptera,Syrphidae,Episyrphus,balteatus,Episyrphus_balteatus,NA,NA,
8,2,2019,9,D4,eristalis_sp,1,ma91,CHFU,14.20,mar?a,sun/ soft wind,,Eristalis_similis,FV,fly,Diptera,Syrphidae,Eristalis,similis,Eristalis_similis,NA,NA,
15,2,2019,1,A2,dilophus_sp,1,0,CHFU,14.40,bp,sun/wind,,Dilophus_spp,FV,fly,Diptera,Bibionidae,Dilophus,NA,Dilophus_spp,NA,NA,
15,2,2019,1,B2,sphaerophoria_scripta,1,0,CHFU,14.40,bp,sun/wind,"long, narrow serphid",Sphaerophoria_scripta,FV,fly,Diptera,Syrphidae,Sphaerophoria,scripta,Sphaerophoria_scripta,NA,NA,long_syrphidae
15,2,2019,2,A3,dilophus_sp,1,0,CHFU,14.34,mar?a,sun/middle wind,,Dilophus_spp,FV,fly,Diptera,Bibionidae,Dilophus,NA,Dilophus_spp,NA,NA,
15,2,2019,3,C3,eristalis_sp,1,0,CHFU,14.34,francesco,sun/middle wind,francesco took it,Eristalis_similis,FV,fly,Diptera,Syrphidae,Eristalis,similis,Eristalis_similis,NA,NA,
15,2,2019,4,A5,eupeodes_corollae,1,0,CHFU,14,bp,sun/wind,very small flower,Eupeodes_corollae,FV,fly,Diptera,Syrphidae,Eupeodes,corollae,Eupeodes_corollae,NA,NA,
15,2,2019,4,C5,eristalis_sp,1,0,RAPE,14,bp,sun/wind,,Eristalis_similis,FV,fly,Diptera,Syrphidae,Eristalis,similis,Eristalis_similis,NA,NA,
15,2,2019,5,A3,dilophus_sp,1,0,CHFU,13.52,mar?a,sun/middle wind,,Dilophus_spp,FV,fly,Diptera,Bibionidae,Dilophus,NA,Dilophus_spp,NA,NA,
15,2,2019,5,A5,dilophus_sp,1,0,CHFU,13.52,mar?a,sun/middle wind,,Dilophus_spp,FV,fly,Diptera,Bibionidae,Dilophus,NA,Dilophus_spp,NA,NA,
15,2,2019,5,B2,dilophus_sp,1,0,CHFU,13.52,mar?a,sun/middle wind,,Dilophus_spp,FV,fly,Diptera,Bibionidae,Dilophus,NA,Dilophus_spp,NA,NA,
15,2,2019,6,A2,bruchidae,1,0,CHFU,13.52,mar?a,sun/middle wind,,Bruchidae,H/FV,beetle,Coleoptera,Bruchidae,NA,NA,Bruchidae,NA,NA,
15,2,2019,6,A3,chrysotoxum_sp,1,0,RAPE,13.52,mar?a,sun/middle wind,,Chrysotoxum_spp,FV,fly,Diptera,Syrphidae,Chrysotoxum,NA,Chrysotoxum_spp,NA,NA,
15,2,2019,7,B5,dilophus_sp,1,0,CHFU,13.14,mar?a,sun/middle wind,,Dilophus_spp,FV,fly,Diptera,Bibionidae,Dilophus,NA,Dilophus_spp,NA,NA,
15,2,2019,7,C2,dilophus_sp,1,0,CHFU,13.14,mar?a,sun/middle wind,,Dilophus_spp,FV,fly,Diptera,Bibionidae,Dilophus,NA,Dilophus_spp,NA,NA,
15,2,2019,7,C5,dilophus_sp,1,0,CHFU,13.14,mar?a,sun/middle wind,,Dilophus_spp,FV,fly,Diptera,Bibionidae,Dilophus,NA,Dilophus_spp,NA,NA,
15,2,2019,7,E2,dilophus_sp,1,0,CHFU,13.14,mar?a,sun/middle wind,,Dilophus_spp,FV,fly,Diptera,Bibionidae,Dilophus,NA,Dilophus_spp,NA,NA,
15,2,2019,8,A4,diptera,1,0,CHFU,13,bp,sun/wind,small black fly,Diptera,FV,fly,Diptera,NA,NA,NA,Diptera,NA,NA,
15,2,2019,8,D3,diplazon_sp,1,0,CHFU,13,bp,sun/wind,parasitic wasp. small.,Diplazon_spp,FV,bee,Hymenoptera,Ichneumonidae,Diplazon,NA,Diplazon_spp,NA,NA,
15,2,2019,8,D6,eupeodes_corollae,1,0,CHFU,13,bp,sun/wind,,Eupeodes_corollae,FV,fly,Diptera,Syrphidae,Eupeodes,corollae,Eupeodes_corollae,NA,NA,
15,2,2019,9,D3,sphaerophoria_scripta,1,0,CHFU,12,bp,sun/wind,,Sphaerophoria_scripta,FV,fly,Diptera,Syrphidae,Sphaerophoria,scripta,Sphaerophoria_scripta,NA,NA,long_syrphidae
15,2,2019,9,E4,diptera,1,0,CHFU,12,bp,sun/wind,"small fly, possibly lonchoptera",Diptera,FV,fly,Diptera,NA,NA,NA,Diptera,NA,NA,
21,2,2019,1,A2,diptera,2,0,CHFU,10.55,david,sun/light wind,,Diptera,FV,fly,Diptera,NA,NA,NA,Diptera,NA,NA,
21,2,2019,1,E5,diptera,1,0,CHFU,10.55,david,sun/light wind,,Diptera,FV,fly,Diptera,NA,NA,NA,Diptera,NA,NA,
21,2,2019,5,D2,diptera,2,0,CHFU,11.35,david,sun/light wind,all 'small fly' likely to be same as in jar 5-b2/5-a5,Diptera,FV,fly,Diptera,NA,NA,NA,Diptera,NA,NA,
21,2,2019,5,E1,diptera,1,0,CHFU,11.35,david,sun/light wind,,Diptera,FV,fly,Diptera,NA,NA,NA,Diptera,NA,NA,
