fileName,variableName,description,unitText
abundance.csv,species,code of the plant species,character
abundance.csv,year,year of collection,year
abundance.csv,month,month of collection,month
abundance.csv,day,day of collection,day
abundance.csv,plot,plot of collection,"plot [1,9]"
abundance.csv,subplot,subplot of collection,"subplot [A-F,1-6]"
abundance.csv,individuals,number of indiviuals counted,integer
competition.csv,day,day of collection,day
competition.csv,month,month of collection,month
competition.csv,year,year of collection,year
competition.csv,plot,plot of collection,"plot [1,9]"
competition.csv,subplot,subplot of collection,"subplot [A-F,1-6]"
competition.csv,focal,code of the plant species,character
competition.csv,fruit,number of fruit on that focal individual,integer
competition.csv,seed,"number of seed on that focal individual, computed from the number of fruit",integer
competition.csv,BEMA,Number of BEMA in the local neighbouhood,integer
competition.csv,CHFU,Number of CHFUin the local neighbouhood,integer
competition.csv,CHMI,Number of CHMI in the local neighbouhood,integer
competition.csv,CETE,Number of CETE in the local neighbouhood,integer
competition.csv,HOMA,Number of HOMA in the local neighbouhood,integer
competition.csv,LEMA,Number of LEMA in the local neighbouhood,integer
competition.csv,PAIN,Number of PAIN in the local neighbouhood,integer
competition.csv,PLCO,Number of PLCO in the local neighbouhood,integer
competition.csv,POMA,Number of POMA in the local neighbouhood,integer
competition.csv,POMO,Number of POMO in the local neighbouhood,integer
competition.csv,PUPA,Number of PUPA in the local neighbouhood,integer
competition.csv,SASO,Number of SASO in the local neighbouhood,integer
competition.csv,SCLA,Number of SCLA in the local neighbouhood,integer
competition.csv,SPRU,Number of SPRU in the local neighbouhood,integer
competition.csv,MESU,Number of MESU in the local neighbouhood,integer
competition.csv,MEEL,Number of MEEL in the local neighbouhood,integer
competition.csv,SOAS,Number of SOAS in the local neighbouhood,integer
competition.csv,FRPU,Number of FRPU in the local neighbouhood,integer
competition.csv,SUSP,Number of SUSP in the local neighbouhood,integer
competition.csv,COSQ,Number of COSQ in the local neighbouhood,integer
competition.csv,CRCR,Number of CRCR in the local neighbouhood,integer
competition.csv,DA,Number of DA in the local neighbouhood,integer
competition.csv,LYTR,Number of LYTR in the local neighbouhood,integer
competition.csv,MEPO,Number of MEPO in the local neighbouhood,integer
competition.csv,RAPE,Number of RAPE in the local neighbouhood,integer
competition.csv,ANAR,Number of ANAR in the local neighbouhood,integer
competition.csv,ACHI,Number of ACHI in the local neighbouhood,integer
competition.csv,ARTE,Number of ARTE in the local neighbouhood,integer
competition.csv,NEWGRASS,Number of Newgrass in the local neighbouhood,integer
competition.csv,observers,people who observed the local neighbourhood,character
competition.csv,comments,any comments about the observation,character
floral_visitor.csv,day,day of collection,day
floral_visitor.csv,month,month of collection,month
floral_visitor.csv,year,year of collection,year
floral_visitor.csv,plot,plot of collection,"plot [1,9]"
