plot,subplot,focal,fruit,chfu,scla,lema,cete,soas,pain,anar,poma,spru,homa,bema,chmi,meel,mepo,mesu,plco,pomo,saso,susp,day,month,year,comments,achi,arte,NewGrass,pupa,observers
1,A1,CETE,2,0,0,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,NA,7,5,2021,0,0,0,0,0,"Lisa-David, Oscar-Elena"
1,A1,MESU,160,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,7,5,2021,0,0,0,0,0,"Lisa-David, Oscar-Elena"
1,A1,PAIN,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7,5,2021,0,0,0,0,0,"Lisa-David, Oscar-Elena"
1,A1,PLCO,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,7,5,2021,0,0,0,0,0,"Lisa-David, Oscar-Elena"
1,A2,CETE,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,7,5,2021,0,0,0,0,0,"Lisa-David, Oscar-Elena"
1,A2,PAIN,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,7,5,2021,0,0,0,0,0,"Lisa-David, Oscar-Elena"
1,A2,PAIN,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,7,5,2021,0,0,0,0,0,"Lisa-David, Oscar-Elena"
1,A2,PLCO,2,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,7,5,2021,0,0,0,0,0,"Lisa-David, Oscar-Elena"
1,A3,CETE,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,7,5,2021,0,0,0,0,0,"Lisa-David, Oscar-Elena"
1,A3,PAIN,6,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,7,5,2021,0,0,0,0,0,"Lisa-David, Oscar-Elena"
1,A3,PLCO,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,7,5,2021,0,0,0,0,0,"Lisa-David, Oscar-Elena"
1,A3,PLCO,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,7,5,2021,0,0,0,0,0,"Lisa-David, Oscar-Elena"
1,A4,CETE,3,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,7,5,2021,0,0,0,0,0,"Lisa-David, Oscar-Elena"
1,A4,PAIN,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,NA,7,5,2021,0,0,0,0,0,"Lisa-David, Oscar-Elena"
1,A4,PAIN,2,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,NA,7,5,2021,0,0,0,0,0,"Lisa-David, Oscar-Elena"
