type,group,order,family,genus,species,species_id,id_final,stage,morpho_sp,nickname,raw_species_id
P,ant,Hymenoptera,Formicidae,NA,NA,Formicidae,Formicidae,NA,NA,,Formicidae
P,ant,Hymenoptera,Formicidae,Messor,NA,Messor_spp,Messor_spp,NA,NA,,Messor_spp
P,ant,Hymenoptera,Formicidae,NA,hill,Ant_hill,Ant_hill,NA,NA,,Ant_hill
P,ant,Hymenoptera,Formicidae,NA,road,Ant_road,Ant_road,NA,NA,,Ant_road
FV,bee,Hymenoptera,Andrenidae,Andrena,cinerea,Andrena_cinerea_elliptica,Andrena_cinerea_elliptica,NA,NA,,Andrena_cinerea_elliptica
FV,bee,Hymenoptera,Andrenidae,Andrena,hesperia,Andrena_hesperia,Andrena_hesperia,NA,NA,,Andrena_hesperia
FV,bee,Hymenoptera,Andrenidae,Andrena,humilis,Andrena_humilis,Andrena_humilis,NA,NA,,Andrena_humilis
FV,bee,Hymenoptera,Andrenidae,Andrena,NA,Andrena_spp,Andrena_spp,NA,NA,,Andrena_spp
FV,bee,Hymenoptera,Apidae,NA,NA,Apidae,Apidae,NA,NA,,Apidae
FV,bee,Hymenoptera,Apidae,Apis,simplif,Apis_mellifera,Apis_mellifera,NA,NA,,Apis_mellifera
FV,bee,Hymenoptera,Andrenidae,Andrena,argentata,Andrena_argentata,Andrena_argentata,NA,NA,,Andrena_argentata
FV,bee,Hymenoptera,Ichneumonidae,Diplazon,NA,Diplazon_spp,Diplazon_spp,NA,NA,,Diplazon_spp
FV,bee,Hymenoptera,Apidae,Eucera,NA,Eucera_spp,Eucera_spp,NA,NA,,Eucera_spp
FV,bee,Hymenoptera,Halictidae,NA,NA,Halictidae,Halictidae,NA,NA,,Halictidae
FV,bee,Hymenoptera,NA,NA,NA,Hymenoptera,Hymenoptera,NA,NA,,Hymenoptera
FV,bee,Hymenoptera,Halictidae,Lasioglossum,immunitum,Lasioglossum_immunitum,Lasioglossum_immunitum,NA,NA,,Lasioglossum_immunitum
FV,bee,Hymenoptera,Halictidae,Lasioglossum,NA,Lasioglossum_spp,Lasioglossum_spp,NA,NA,,Lasioglossum_spp
FV,bee,Hymenoptera,Megachilidae,Osmia,NA,Osmia_spp,Osmia_spp,NA,NA,,Osmia_spp
FV,bee,Hymenoptera,Megachilidae,Osmia,ligurica,Osmia_ligurica,Osmia_ligurica,NA,NA,,Osmia_ligurica
FV,bee,Hymenoptera,Halictidae,Lasioglossum,malachurum,Lasioglossum_malachurum,Lasioglossum_malachurum,NA,NA,,Lasioglossum_malachurum
FV,bee,Hymenoptera,Megachilidae,Osmia,submicans,Osmia_submicans,Osmia_submicans,NA,NA,,Osmia_submicans
FV,bee,Hymenoptera,Halictidae,Sphecodes,NA,Sphecodes_spp,Sphecodes_spp,NA,NA,,Sphecodes_spp
H,beetle,Coleoptera,Cerambycidae,Agapanthia,annularis,Agapanthia_annularis,Agapanthia_annularis,NA,NA,long_horned_zebra,Agapanthia_annularis
H/FV,beetle,Coleoptera,Anthicidae,NA,NA,Anthicidae,Anthicidae,NA,NA,,Anthicidae
H,beetle,Coleoptera,Meloidae,Berberomeloe,majalis,Berberomeloe_majalis,Berberomeloe_majalis,NA,NA,,Berberomeloe_majalis
H/FV,beetle,Coleoptera,Nitidulidae,Brassicogethes,NA,Brassicogethes_spp,Brassicogethes_spp,NA,NA,,Brassicogethes_spp
H/FV,beetle,Coleoptera,Bruchidae,NA,NA,Bruchidae,Bruchidae,NA,NA,,Bruchidae
H/FV,beetle,Coleoptera,Buprestidae,NA,NA,Buprestidae,Buprestidae,NA,NA,green_neon_beetle,Buprestidae
H,beetle,Coleoptera,Cerambycidae,Calamobius,filum,Calamobius_filum,Calamobius_filum,NA,NA,,Calamobius_filum
H/FV,beetle,Coleoptera,Cantharidae,Cantharis,coronata,Cantharis_coronata,Cantharis_coronata,NA,NA,big_red_psilothris,Cantharis_coronata
H,beetle,Coleoptera,Carabidae,NA,NA,Carabidae,Carabidae,NA,NA,,Carabidae
H/FV,beetle,Coleoptera,Chrysomelidae,Cassida,NA,Cassida_spp,Cassida_spp,NA,NA,,Cassida_spp
H/FV,beetle,Coleoptera,Cerambycidae,NA,NA,Cerambycidae,Cerambycidae,NA,NA,,Cerambycidae
H/FV,beetle,Coleoptera,Chrysomelidae,NA,NA,Chrysomelidae,Chrysomelidae,NA,NA,,Chrysomelidae
H/FV,beetle,Coleoptera,Chrysomelidae,Chrysolina,bankii,Chrysolina_bankii,Chrysolina_bankii,NA,NA,,Chrysolina_bankii
H/FV,beetle,Coleoptera,Chrysomelidae,Cryptocephalus,NA,Cryptocephalus_spp,Cryptocephalus_spp,NA,NA,,Cryptocephalus_spp
H,beetle,Coleoptera,Coccinellidae,Coccinella,septempunctata,Coccinella_septempunctata,Coccinella_septempunctata_larva,larva,NA,,Coccinella_septempunctata
H/FV,beetle,Coleoptera,Coccinellidae,Coccinella,septempunctata,Coccinella_septempunctata,Coccinella_septempunctata,,NA,,Coccinella_septempunctata
H/FV,beetle,Coleoptera,NA,NA,NA,Coleoptera,Coleoptera,NA,NA,,Coleoptera
H/FV,beetle,Coleoptera,Curculionidae,NA,NA,Curculionidae,Curculionidae,NA,NA,,Curculionidae
H/FV,beetle,Coleoptera,Elateridae,Agriotes,NA,Agriotes_sp,Agriotes_sp_little_brown_stem,NA,little_brown_stem,little_brown_stem,Agriotes_sp
H/FV,beetle,Coleoptera,Meloidae,Lagorina,sericea,Lagorina_sericea,Lagorina_sericea,NA,NA,big_green_psilothrix,Lagorina_sericea
H/FV,beetle,Coleoptera,Buprestidae,Anthaxia,semicuprea,Anthaxia_semicuprea,Anthaxia_semicuprea,NA,NA,,Anthaxia_semicuprea
H,beetle,Coleoptera,Carabidae,Licinus,punctatulus,Licinus_punctatulus,Licinus_punctatulus,NA,NA,,Licinus_punctatulus
H/FV,beetle,Coleoptera,Melyridae,NA,NA,Melyridae_sp,Melyridae_sp_black_red_end,NA,black_red_end,,Melyridae_sp
H/FV,beetle,Coleoptera,Melyridae,Malachius,bipustulatus,Malachius_bipustulatus,Malachius_bipustulatus,NA,NA,,Malachius_bipustulatus
H/FV,beetle,Coleoptera,Melyridae,Malachius,NA,Malachius_spp,Malachius_spp,NA,NA,green_red_beetles,Malachius_spp
H/FV,beetle,Coleoptera,Nitidulidae,Meligethes,NA,Meligethes_spp,Meligethes_spp,NA,NA,,Meligethes_spp
H/FV,beetle,Coleoptera,Meloidae,NA,NA,Meloidae,Meloidae,NA,NA,,Meloidae
H/FV,beetle,Coleoptera,Melyridae,NA,NA,Melyridae,Melyridae,NA,NA,,Melyridae
H/FV,beetle,Coleoptera,Mordellidae,NA,NA,Mordellidae,Mordellidae,NA,NA,pointy_end_beetle,Mordellidae
H/FV,beetle,Coleoptera,Nitidulidae,NA,NA,Nitidulidae,Nitidulidae,NA,NA,,Nitidulidae
H/FV,beetle,Coleoptera,Oedemeridae,NA,NA,Oedemeridae,Oedemeridae,NA,NA,,Oedemeridae
H/FV,beetle,Coleoptera,Chrysomelidae,Phaedon,NA,Phaedon_spp,Phaedon_sp_golden_beetle,NA,NA,golden_beetle,Phaedon_spp
H/FV,beetle,Coleoptera,Melyridae,Psilothrix,NA,Psilothrix_sp,Psilothrix_sp_black,NA,black,,Psilothrix_sp
H/FV,beetle,Coleoptera,Melyridae,Psilothrix,viridicoerulea,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,NA,NA,,Psilothrix_viridicoerulea
H/FV,beetle,Coleoptera,Curculionidae,Scyphophorus,NA,Scyphophorus_spp,Scyphophorus_spp,NA,NA,black_elephant_curcu,Scyphophorus_spp
H/FV,beetle,Coleoptera,Silphidae,Silpha,puncticollis,Silpha_puncticollis,Silpha_puncticollis,NA,NA,black_punctuous_beetle,Silpha_puncticollis
H/FV,beetle,Coleoptera,Staphylinidae,NA,NA,Staphylinidae,Staphylinidae,NA,NA,long_abdo_beetle,Staphylinidae
H,bug,Hemiptera,Pentatomidae,Aelia,NA,Aelia_spp,Aelia_spp,NA,NA,,Aelia_spp
