focal,year,"complexity level
","number of plants
","number of plant HOIs
","number of herbivores
","number of herbivore HOIs
","number of pollinators
","number of pollinator HOIs
","number of plants selected
","name(s) of plants selected
","number of herbivores
 selected
","name(s) of herbivores selected
"
LEMA,2019,functional group,2,3,4,12,2,6,1,Grass,0,NA
LEMA,2019,family,8,36,8,47,8,53,1,Poaceae,0,NA
LEMA,2019,species,16,136,12,78,22,183,0,NA,0,NA
LEMA,2020,functional group,2,3,7,16,4,12,1,Grass,1,beetle
LEMA,2020,family,9,45,12,70,17,86,1,Poaceae,0,NA
LEMA,2020,species,19,190,18,129,27,171,1,HOMA,0,NA
LEMA,2021,functional group,2,3,4,12,3,9,1,Grass,0,NA
LEMA,2021,family,8,36,7,32,11,58,0,NA,0,NA
LEMA,2021,species,17,153,13,76,27,184,0,NA,0,NA
CHFU,2019,functional group,2,3,4,10,3,7,0,NA,0,NA
CHFU,2019,family,8,36,6,13,9,34,0,NA,0,NA
CHFU,2019,species,13,91,8,19,19,78,0,NA,0,NA
CHFU,2020,functional group,2,3,4,10,2,6,1,Grass,0,NA
CHFU,2020,family,9,45,6,23,9,40,2,"Asteraceae,Poaceae
",0,NA
CHFU,2020,species,19,190,8,37,15,95,1,LEMA,0,NA
CHFU,2021,functional group,2,3,2,4,2,6,0,NA,0,NA
CHFU,2021,family,8,36,2,8,9,51,0,NA,0,NA
CHFU,2021,species,17,153,3,22,15,115,0,NA,0,NA
HOMA,2019,functional group,2,3,4,12,NA,NA,0,NA,0,NA
HOMA,2019,family,12,78,12,54,NA,NA,0,NA,0,NA
HOMA,2019,species,24,300,20,104,NA,NA,0,NA,0,NA
HOMA,2020,functional group,2,3,4,12,NA,NA,0,NA,0,NA
HOMA,2020,family,12,78,6,38,NA,NA,0,NA,0,NA
HOMA,2020,species,24,300,10,87,NA,NA,0,NA,0,NA
HOMA,2021,functional group,2,3,4,12,NA,NA,0,NA,0,NA
HOMA,2021,family,12,78,5,26,NA,NA,0,NA,0,NA
HOMA,2021,species,24,300,9,61,NA,NA,0,NA,0,NA
CETE,2019,functional group,2,3,1,3,NA,NA,0,NA,0,NA
CETE,2019,family,12,78,2,10,NA,NA,0,NA,0,NA
CETE,2019,species,24,300,2,14,NA,NA,0,NA,0,NA
CETE,2020,functional group,2,3,2,4,2,6,0,NA,0,NA
CETE,2020,family,12,78,2,7,5,16,0,NA,0,NA
CETE,2020,species,24,300,1,10,6,26,0,NA,0,NA
CETE,2021,functional group,2,3,1,3,2,3,0,NA,0,NA
CETE,2021,family,12,78,2,9,3,7,0,NA,0,NA
CETE,2021,species,24,300,3,18,4,9,0,NA,0,NA
