"","X.2","X.1","X","lambda","focal","year","complexity.plant","complexity.animal"
"1",1,1,1,6.4565472936732,"CETE",2018,"class","group"
"2",2,2,2,6.55801094004938,"CETE",2018,"class","group"
"3",3,3,3,6.60297061226282,"CETE",2018,"class","group"
"4",4,4,4,6.72175737993067,"CETE",2018,"class","group"
"5",5,5,5,6.77304025889249,"CETE",2018,"class","group"
"6",6,6,6,6.64672949376406,"CETE",2018,"class","group"
"7",7,7,7,6.82281382493809,"CETE",2018,"class","group"
"8",8,8,8,6.51912772606217,"CETE",2018,"class","group"
"9",9,9,9,6.64895397317435,"CETE",2018,"class","group"
"10",10,10,10,6.61411180777935,"CETE",2018,"class","group"
"11",11,11,11,6.88707112391679,"CETE",2018,"class","group"
"12",12,12,12,6.91602595780338,"CETE",2018,"class","group"
"13",13,13,13,6.67559020831632,"CETE",2018,"class","group"
"14",14,14,14,6.80100212847734,"CETE",2018,"class","group"
"15",15,15,15,6.88200898191564,"CETE",2018,"class","group"
"16",16,16,16,6.94598647865665,"CETE",2018,"class","group"
"17",17,17,17,6.95943685444878,"CETE",2018,"class","group"
"18",18,18,18,6.93052386012879,"CETE",2018,"class","group"
"19",19,19,19,6.94819937607242,"CETE",2018,"class","group"
"20",20,20,20,6.50262009792697,"CETE",2018,"class","group"
"21",21,21,21,6.49455381767378,"CETE",2018,"class","group"
"22",22,22,22,6.93624746667206,"CETE",2018,"class","group"
"23",23,23,23,6.90027419906442,"CETE",2018,"class","group"
"24",24,24,24,6.9007784894437,"CETE",2018,"class","group"
"25",25,25,25,6.89749666928915,"CETE",2018,"class","group"
"26",26,26,26,6.89234520852354,"CETE",2018,"class","group"
"27",27,27,27,6.54632373903243,"CETE",2018,"class","group"
"28",28,28,28,6.62103742949193,"CETE",2018,"class","group"
"29",29,29,29,6.83908200611141,"CETE",2018,"class","group"
"30",30,30,30,6.67859536228668,"CETE",2018,"class","group"
"31",31,31,31,6.9134143752088,"CETE",2018,"class","group"
"32",32,32,32,6.86971256137479,"CETE",2018,"class","group"
"33",33,33,33,6.63077363009468,"CETE",2018,"class","group"
"34",34,34,34,6.7794575520435,"CETE",2018,"class","group"
"35",35,35,35,6.65712422213926,"CETE",2018,"class","group"
"36",36,36,36,6.64623864778864,"CETE",2018,"class","group"
"37",37,37,37,7.0050355957638,"CETE",2018,"class","group"
"38",38,38,38,6.69249049509613,"CETE",2018,"class","group"
"39",39,39,39,6.96795302567511,"CETE",2018,"class","group"
"40",40,40,40,6.56801679638418,"CETE",2018,"class","group"
"41",41,41,41,6.74704395077765,"CETE",2018,"class","group"
"42",42,42,42,6.70033500589274,"CETE",2018,"class","group"
"43",43,43,43,6.67347472213656,"CETE",2018,"class","group"
"44",44,44,44,6.49467304814544,"CETE",2018,"class","group"
"45",45,45,45,6.58406528702301,"CETE",2018,"class","group"
"46",46,46,46,6.52518610594482,"CETE",2018,"class","group"
"47",47,47,47,6.49439250459762,"CETE",2018,"class","group"
"48",48,48,48,6.44560240342342,"CETE",2018,"class","group"
"49",49,49,49,6.82600523921952,"CETE",2018,"class","group"
"50",50,50,50,6.67493232656563,"CETE",2018,"class","group"
"51",51,51,51,6.85717531098308,"CETE",2018,"class","group"
"52",52,52,52,6.77640798026581,"CETE",2018,"class","group"
"53",53,53,53,6.93747724327477,"CETE",2018,"class","group"
"54",54,54,54,6.49388981258218,"CETE",2018,"class","group"
"55",55,55,55,6.71433340455772,"CETE",2018,"class","group"
"56",56,56,56,7.00962422468386,"CETE",2018,"class","group"
"57",57,57,57,6.75505258800974,"CETE",2018,"class","group"
"58",58,58,58,6.72370442266197,"CETE",2018,"class","group"
"59",59,59,59,6.74048575231427,"CETE",2018,"class","group"
"60",60,60,60,6.82238150339936,"CETE",2018,"class","group"
"61",61,61,61,6.76566486509907,"CETE",2018,"class","group"
"62",62,62,62,6.90641413175394,"CETE",2018,"class","group"
"63",63,63,63,6.91955541278995,"CETE",2018,"class","group"
"64",64,64,64,7.12545315538422,"CETE",2018,"class","group"
"65",65,65,65,7.15703252387604,"CETE",2018,"class","group"
"66",66,66,66,7.11112253721241,"CETE",2018,"class","group"
"67",67,67,67,6.88131854154473,"CETE",2018,"class","group"
"68",68,68,68,6.82091738035064,"CETE",2018,"class","group"
"69",69,69,69,6.79515531132145,"CETE",2018,"class","group"
"70",70,70,70,6.96781378266849,"CETE",2018,"class","group"
"71",71,71,71,6.71756676581774,"CETE",2018,"class","group"
"72",72,72,72,6.62289368165145,"CETE",2018,"class","group"
"73",73,73,73,7.06440687005081,"CETE",2018,"class","group"
"74",74,74,74,6.97104618397669,"CETE",2018,"class","group"
"75",75,75,75,6.99757073112496,"CETE",2018,"class","group"
"76",76,76,76,7.03964411546892,"CETE",2018,"class","group"
"77",77,77,77,6.69300406511717,"CETE",2018,"class","group"
"78",78,78,78,6.83304620440564,"CETE",2018,"class","group"
"79",79,79,79,6.68529360265782,"CETE",2018,"class","group"
"80",80,80,80,6.62874092083734,"CETE",2018,"class","group"
"81",81,81,81,7.02476900059552,"CETE",2018,"class","group"
"82",82,82,82,6.34017363756696,"CETE",2018,"class","group"
"83",83,83,83,6.9211314986503,"CETE",2018,"class","group"
"84",84,84,84,6.83108325588169,"CETE",2018,"class","group"
"85",85,85,85,6.73294586769336,"CETE",2018,"class","group"
"86",86,86,86,7.08902499910005,"CETE",2018,"class","group"
"87",87,87,87,6.87405771707534,"CETE",2018,"class","group"
"88",88,88,88,6.63568993393363,"CETE",2018,"class","group"
"89",89,89,89,6.77655258504546,"CETE",2018,"class","group"
"90",90,90,90,6.8847953075054,"CETE",2018,"class","group"
"91",91,91,91,6.88732126923559,"CETE",2018,"class","group"
"92",92,92,92,6.91002042963828,"CETE",2018,"class","group"
"93",93,93,93,6.62389837116855,"CETE",2018,"class","group"
"94",94,94,94,6.78344942770999,"CETE",2018,"class","group"
"95",95,95,95,6.94500058580207,"CETE",2018,"class","group"
"96",96,96,96,6.7970442418142,"CETE",2018,"class","group"
"97",97,97,97,6.92759276633595,"CETE",2018,"class","group"
"98",98,98,98,6.83359332755626,"CETE",2018,"class","group"
"99",99,99,99,6.86066180389808,"CETE",2018,"class","group"
"100",100,100,100,6.86131909023528,"CETE",2018,"class","group"
"101",101,101,101,6.55450870024256,"CETE",2018,"class","group"
"102",102,102,102,6.66771106110556,"CETE",2018,"class","group"
"103",103,103,103,6.8498136793879,"CETE",2018,"class","group"
"104",104,104,104,6.49976350107759,"CETE",2018,"class","group"
"105",105,105,105,7.01915418507798,"CETE",2018,"class","group"
"106",106,106,106,6.78104330269732,"CETE",2018,"class","group"
"107",107,107,107,6.58133206235459,"CETE",2018,"class","group"
"108",108,108,108,6.58654958565803,"CETE",2018,"class","group"
"109",109,109,109,6.56978005320953,"CETE",2018,"class","group"
"110",110,110,110,6.83511259274817,"CETE",2018,"class","group"
"111",111,111,111,6.93388093435851,"CETE",2018,"class","group"
"112",112,112,112,6.85599041175475,"CETE",2018,"class","group"
"113",113,113,113,6.71658969692307,"CETE",2018,"class","group"
"114",114,114,114,6.46752803849459,"CETE",2018,"class","group"
"115",115,115,115,6.91306791611824,"CETE",2018,"class","group"
"116",116,116,116,6.49866368282137,"CETE",2018,"class","group"
"117",117,117,117,6.95800193961421,"CETE",2018,"class","group"
"118",118,118,118,6.84698021850707,"CETE",2018,"class","group"
"119",119,119,119,6.7276545229906,"CETE",2018,"class","group"
"120",120,120,120,6.78824856827271,"CETE",2018,"class","group"
"121",121,121,121,6.37166174515059,"CETE",2018,"class","group"
"122",122,122,122,6.41766366976342,"CETE",2018,"class","group"
"123",123,123,123,6.7824886543479,"CETE",2018,"class","group"
"124",124,124,124,6.77312415143056,"CETE",2018,"class","group"
"125",125,125,125,6.94619703691675,"CETE",2018,"class","group"
"126",126,126,126,6.96010604107755,"CETE",2018,"class","group"
"127",127,127,127,6.68183015619685,"CETE",2018,"class","group"
"128",128,128,128,6.75331883810408,"CETE",2018,"class","group"
"129",129,129,129,6.73840434211156,"CETE",2018,"class","group"
"130",130,130,130,6.838697047449,"CETE",2018,"class","group"
"131",131,131,131,6.7767501696755,"CETE",2018,"class","group"
"132",132,132,132,6.72582532001272,"CETE",2018,"class","group"
"133",133,133,133,6.7545208181948,"CETE",2018,"class","group"
"134",134,134,134,6.79998021270661,"CETE",2018,"class","group"
"135",135,135,135,6.68379466028568,"CETE",2018,"class","group"
"136",136,136,136,6.77489694028197,"CETE",2018,"class","group"
"137",137,137,137,7.04304266387258,"CETE",2018,"class","group"
"138",138,138,138,6.92373332276237,"CETE",2018,"class","group"
"139",139,139,139,6.94217800474443,"CETE",2018,"class","group"
"140",140,140,140,6.59653276490951,"CETE",2018,"class","group"
"141",141,141,141,6.88282586774219,"CETE",2018,"class","group"
"142",142,142,142,6.65654677924063,"CETE",2018,"class","group"
"143",143,143,143,7.14786409996705,"CETE",2018,"class","group"
"144",144,144,144,6.42550512726768,"CETE",2018,"class","group"
"145",145,145,145,7.07514672930743,"CETE",2018,"class","group"
"146",146,146,146,6.82528712623312,"CETE",2018,"class","group"
"147",147,147,147,6.74720903926869,"CETE",2018,"class","group"
"148",148,148,148,6.66517285102001,"CETE",2018,"class","group"
"149",149,149,149,6.56393440437319,"CETE",2018,"class","group"
"150",150,150,150,6.61197114480782,"CETE",2018,"class","group"
"151",151,151,151,6.55684289656807,"CETE",2018,"class","group"
"152",152,152,152,6.69324599688761,"CETE",2018,"class","group"
"153",153,153,153,6.75281004900242,"CETE",2018,"class","group"
"154",154,154,154,6.69540989036539,"CETE",2018,"class","group"
"155",155,155,155,6.69366788551283,"CETE",2018,"class","group"
"156",156,156,156,6.67245658673554,"CETE",2018,"class","group"
"157",157,157,157,6.69940189010674,"CETE",2018,"class","group"
"158",158,158,158,6.80608173382917,"CETE",2018,"class","group"
"159",159,159,159,6.79921477985145,"CETE",2018,"class","group"
"160",160,160,160,6.83516764681113,"CETE",2018,"class","group"
"161",161,161,161,6.64734124059306,"CETE",2018,"class","group"
"162",162,162,162,6.67784841167914,"CETE",2018,"class","group"
