,ID,mean.sp,var.sp,grouping
1,Andrena_humilis,2.815,9.387,species
2,Anthicidae,3.333,16.333,species
3,Apis_mellifera,2.889,3.361,species
4,Bombyliidae,2.992,16.924,species
5,Brassicogethes_spp,3.276,6.974,species
6,Coleoptera,3.096,10.639,species
7,Colias_croceus,1.814,2.869,species
8,Culicidae,2.000,2.000,species
9,Diptera,2.894,5.639,species
10,Episyrphus_balteatus,2.348,4.055,species
11,Eupeodes_corollae,2.116,4.343,species
12,Hymenoptera,3.736,13.813,species
13,Osmia_ligurica,2.222,7.444,species
14,Sarcophaga_spp,2.500,3.976,species
15,Thymelicus_spp,2.286,3.238,species
16,Andrenidae,2.074,3.393,family
17,Anthicidae,3.333,16.333,family
18,Apidae,1.765,2.782,family
19,Bombyliidae,2.806,14.766,family
20,Culicidae,2.000,2.000,family
21,Hesperiidae,2.286,3.238,family
22,Megachilidae,1.500,2.397,family
23,Nitidulidae,2.951,6.485,family
24,Pieridae,1.720,2.532,family
25,Sarcophagidae,2.500,3.976,family
26,bee,2.216,4.749,group
27,beetle,2.949,8.147,group
28,butterfly,1.742,2.193,group
29,fly,2.754,7.802,group
