,ID,mean.sp,var.sp,grouping
1,Aphis_fabae,27.651,2353.661,species
2,Brassicogethes_spp,3.574,10.804,species
3,Calamobius_filum,2,2,species
4,Coccinella_septempunctata_larva,1.5,1.5,species
5,Cochlicella_barbara,8.471,183.249,species
6,Conocephalus_dorsalis,1.429,1.457,species
7,Dociostaurus_jagoi,14,662,species
8,Gastropoda,2.105,4.211,species
9,Lasiocampa_trifolii_larva,1.598,2.065,species
10,Lepidoptera_larva,3.088,38.568,species
11,Miridae,1.5,5.043,species
12,Otala_lactea,2.11,2.877,species
13,Pentatomidae,1.909,4.291,species
14,Psilothrix_viridicoerulea,2.199,3.016,species
15,Pyrrhocoris_apterus,3.667,14.333,species
16,Tessellana_tessellata,1.728,1.734,species
17,Theba_pisana,3.925,35.776,species
18,Acrididae,1.971,50.44,family
19,Aphididae,27.651,2353.661,family
20,Geomitridae,8.457,183.017,family
21,Helicidae,3.948,35.165,family
22,Lasiocampidae,1.598,2.065,family
23,Melyridae,2.182,3.047,family
24,Miridae,1.5,5.043,family
25,Nitidulidae,3.56,10.765,family
26,Pyrrhocoridae,3.667,14.333,family
27,Tettigoniidae,1.741,1.901,family
28,beetle,2.876,8.682,class
29,bug,7.702,687.397,class
30,caterpillar,1.707,4.854,class
31,grasshopper,1.835,8.064,class
32,snail,7.261,145.926,class
