,focal,year,complexity,n.parameter,n.obs,Rhat,Neff,Rsquarred,Rsquarred.sd,mean.fec,sd.fec,mean.rmds,min.rmds,max.rmds,Sim.Bias,perc.K,p_loo,p_loo.check,elpd_loo,elpd_loo_se
1,LEMA,2019,class,6.00,290.00,1.00,1718.93,0.16,0.13,537.78,577.68,546.68,542.91,581.99,100.87,0.00,3.6+-0.4,Good,-2091.19,19.01
2,LEMA,2019,family,6.00,290.00,1.00,1796.56,0.17,0.13,537.78,577.68,547.25,543.59,568.21,63.82,0.00,3.5+-0.4,Good,-2090.83,18.89
3,LEMA,2019,code.plant,5.00,290.00,1.01,1196.10,0.12,0.10,537.78,577.68,549.25,545.14,570.75,193.69,0.00,3.5+-0.4,Good,-2092.82,18.75
4,LEMA,2020,class,8.00,270.00,1.00,1602.21,0.62,0.25,332.91,427.90,479.93,381.22,1160.30,34.56,0.00,6.9+-1.9,Good,-1780.03,22.13
5,LEMA,2020,family,7.00,270.00,1.00,1410.67,0.63,0.24,332.91,427.90,505.57,387.35,1262.74,163.90,0.00,6.2+-1.5,Good,-1784.48,22.33
6,LEMA,2020,code.plant,6.00,270.00,1.01,1388.18,0.54,0.25,332.91,427.90,447.43,388.23,821.79,10.39,0.00,6+-1.3,Good,-1786.24,22.25
7,LEMA,2021,class,5.00,288.00,1.00,1551.76,0.09,0.06,349.92,361.33,341.34,333.54,352.40,451.29,0.00,3.6+-0.4,Good,-1952.87,18.05
8,LEMA,2021,family,5.00,288.00,1.00,1426.41,0.05,0.03,349.92,361.33,348.98,342.96,360.95,676.45,0.00,3.7+-0.5,Good,-1959.37,18.92
9,LEMA,2021,code.plant,5.00,288.00,1.00,1591.15,0.10,0.07,349.92,361.33,340.06,332.15,373.97,389.64,0.00,3.6+-0.4,Good,-1951.31,17.71
10,CHFU,2019,class,5.00,252.00,1.00,1467.10,0.04,0.03,682.80,698.43,675.28,664.38,769.92,94.41,0.00,3.3+-0.4,Good,-1881.72,18.15
11,CHFU,2019,family,5.00,252.00,1.00,1434.14,0.04,0.03,682.80,698.43,676.08,665.19,715.22,117.10,0.00,3+-0.4,Good,-1881.81,18.15
