focal,plot,year,complexity,nobs,Moran.I,statistic,observedrank,alternativeH,npermutation,pvalue,significance
CETE,2,2019,class,9,-0.158112058,-0.158112058,27,less,99,0.27,
CETE,7,2019,class,23,-0.073253039,-0.073253039,7,less,99,0.07,
CETE,8,2019,class,33,-0.027047757,-0.027047757,66,less,99,0.66,
CETE,2,2019,family,9,-0.15885747,-0.15885747,34,less,99,0.34,
CETE,7,2019,family,23,-0.072550519,-0.072550519,5,less,99,0.05,
CETE,8,2019,family,33,-0.026297245,-0.026297245,67,less,99,0.67,
CETE,2,2019,code.plant,9,-0.158691879,-0.158691879,29,less,99,0.29,
CETE,7,2019,code.plant,23,-0.07239323,-0.07239323,5,less,99,0.05,
CETE,8,2019,code.plant,33,-0.027099046,-0.027099046,59,less,99,0.59,
CETE,1,2020,class,28,-0.058263599,-0.058263599,10,less,99,0.1,
CETE,2,2020,class,31,-0.035959344,-0.035959344,48,less,99,0.48,
CETE,3,2020,class,22,-0.077290823,-0.077290823,4,less,99,0.04,*
CETE,4,2020,class,5,-0.25,-0.25,35.5,less,99,0.355,
CETE,5,2020,class,11,-0.083522837,-0.083522837,71,less,99,0.71,
CETE,7,2020,class,28,-0.044968922,-0.044968922,43,less,99,0.43,
CETE,8,2020,class,24,-0.064607725,-0.064607725,8,less,99,0.08,
CETE,9,2020,class,24,-0.034799754,-0.034799754,69,less,99,0.69,
CETE,1,2020,family,28,-0.058282358,-0.058282358,5,less,99,0.05,
CETE,2,2020,family,31,-0.036951418,-0.036951418,46,less,99,0.46,
CETE,3,2020,family,22,-0.077371718,-0.077371718,7,less,99,0.07,
CETE,4,2020,family,5,-0.25,-0.25,74.5,less,99,0.745,
CETE,5,2020,family,11,-0.08558011,-0.08558011,67,less,99,0.67,
CETE,7,2020,family,28,-0.045021913,-0.045021913,29,less,99,0.29,
CETE,8,2020,family,24,-0.065062399,-0.065062399,12,less,99,0.12,
CETE,9,2020,family,24,-0.035128932,-0.035128932,73,less,99,0.73,
CETE,1,2020,code.plant,28,-0.05856586,-0.05856586,9,less,99,0.09,
CETE,2,2020,code.plant,31,-0.037138759,-0.037138759,36,less,99,0.36,
CETE,3,2020,code.plant,22,-0.076660858,-0.076660858,3,less,99,0.03,*
CETE,4,2020,code.plant,5,-0.25,-0.25,56,less,99,0.56,
CETE,5,2020,code.plant,11,-0.084469895,-0.084469895,69,less,99,0.69,
CETE,7,2020,code.plant,28,-0.045741976,-0.045741976,32,less,99,0.32,
CETE,8,2020,code.plant,24,-0.064945346,-0.064945346,11,less,99,0.11,
CETE,9,2020,code.plant,24,-0.035042662,-0.035042662,73,less,99,0.73,
CETE,1,2021,class,25,-0.08324545,-0.08324545,2,less,99,0.02,*
CETE,2,2021,class,31,-0.062428235,-0.062428235,1,less,99,0.01,*
CETE,3,2021,class,14,-0.067068954,-0.067068954,69,less,99,0.69,
CETE,4,2021,class,5,-0.25,-0.25,40,less,99,0.4,
CETE,7,2021,class,31,-0.051359062,-0.051359062,14,less,99,0.14,
CETE,8,2021,class,25,0.00259264,0.00259264,96,greater,99,0.04,*
CETE,9,2021,class,24,-0.061399673,-0.061399673,23,less,99,0.23,
CETE,1,2021,family,25,-0.079204878,-0.079204878,2,less,99,0.02,*
CETE,2,2021,family,31,-0.062795272,-0.062795272,1,less,99,0.01,*
CETE,3,2021,family,14,-0.066712205,-0.066712205,62,less,99,0.62,
CETE,4,2021,family,5,-0.25,-0.25,50.5,less,99,0.505,
CETE,7,2021,family,31,-0.051742727,-0.051742727,17,less,99,0.17,
CETE,8,2021,family,25,0.001597404,0.001597404,98,greater,99,0.02,*
CETE,9,2021,family,24,-0.061211211,-0.061211211,23,less,99,0.23,
CETE,1,2021,code.plant,25,-0.081482257,-0.081482257,3,less,99,0.03,*
CETE,2,2021,code.plant,31,-0.062554433,-0.062554433,2,less,99,0.02,*
CETE,3,2021,code.plant,14,-0.065757267,-0.065757267,59,less,99,0.59,
CETE,4,2021,code.plant,5,-0.25,-0.25,48,less,99,0.48,
