"","BEMA","CETE","CHFU","CHMI","HOMA","LEMA","LYTR","MEEL","MESU","PAIN","PLCO","POMA","POMO","PUPA","SASO","SPRU","SOAS","year","NA"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"5",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,"2017"
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018"
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018"
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018"
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018"
"23",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"2018"
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018"
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018"
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018"
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018"
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018"
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018"
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018"
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018"
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018"
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018"
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018"
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018"
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018"
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"41",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"2019"
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
