"","CETE","HOMA","MEEL","MESU","PAIN","PLCO","POMA","POMO","PUPA","year","NA"
"1",0,1,0,0,1,0,0,0,0,0,"2017"
"2",0,0,0,1,0,0,1,0,0,0,"2017"
"3",0,0,0,0,0,0,0,0,0,0,"2017"
"4",0,0,0,0,0,0,0,0,0,0,"2017"
"5",0,0,0,0,0,0,0,0,0,0,"2017"
"6",0,0,0,0,0,0,0,0,0,0,"2017"
"7",0,0,0,0,0,0,0,0,0,0,"2017"
"8",0,0,0,0,0,0,0,0,0,0,"2017"
"9",0,0,0,0,0,0,0,0,0,0,"2017"
"10",0,0,0,0,0,0,0,0,0,0,"2017"
"11",0,0,0,0,0,0,0,0,0,0,"2019"
"12",0,0,0,0,0,0,0,0,0,0,"2019"
"13",0,0,0,0,0,0,0,0,0,0,"2019"
"14",0,0,0,0,0,0,0,0,0,0,"2019"
"15",0,0,0,0,0,0,0,0,0,0,"2019"
"16",0,0,0,0,0,0,0,1,0,0,"2019"
"17",0,0,0,0,0,0,0,0,0,0,"2019"
"18",0,0,0,0,0,0,0,0,0,0,"2019"
"19",0,0,0,0,0,0,0,0,0,0,"2019"
"20",0,0,0,0,0,0,0,0,0,0,"2019"
