"","focal","year","complexity.plant","parameter","positive.perc","neg.perc","null.perc","positive.perc_hat","neg.perc_hat","null.perc_hat","positive.perc_mean","positive.perc_var","neg.perc_mean","neg.perc_var","mean.estimate","median.estimate","ten.estimate","ninety.estimate","var.estimate","mean.estimate_hat","median.estimate_hat","ten.estimate_hat","ninety.estimate_hat","var.estimate_hat","positive.perc_overall"
"1","CETE",2019,"class","Intraspecific",0.492,0.508,0,0,0,0,0.495375,7.01606350396867e-06,0.504625,7.01606350396767e-06,-0.000367883440610714,-0.00037657134170338,-0.0249648080398649,0.0244014555138673,0.000465757824341896,NA,NA,NA,NA,NA,0
"2","CETE",2019,"class","Plant - plant",0.49375,0.50625,0,0,0,0,0.495375,7.01606350396867e-06,0.504625,7.01606350396767e-06,-4.27173680155272e-05,-4.21659426792509e-05,-0.00368456575689236,0.00364841487140317,9.61661456257949e-06,NA,NA,NA,NA,NA,0
"3","CETE",2019,"class","Plant - herbivore",0.497,0.503,0,0,0,0,0.495375,7.01606350396867e-06,0.504625,7.01606350396767e-06,-5.68194867640034e-05,-3.43231277596434e-05,-0.00423388555123832,0.0040686657396878,1.2757491098229e-05,NA,NA,NA,NA,NA,0
"4","CETE",2019,"class","Plant - floral visitor",0.49875,0.50125,0,0,0,0,0.495375,7.01606350396867e-06,0.504625,7.01606350396767e-06,-0.000257278864928783,-0.000292647957818809,-0.122807832464942,0.1213485828334,0.0106381542286181,NA,NA,NA,NA,NA,0
"5","CETE",2019,"family","Intraspecific",0.49025,0.50975,0,0,0,0,0.4971875,3.34200575035844e-05,0.5028125,3.34200575035844e-05,-0.000273238332306516,-0.000541511973291386,-0.0245240500399775,0.0248777355032757,0.00045142794567811,NA,NA,NA,NA,NA,0
"6","CETE",2019,"family","Plant - plant",0.498,0.502,0,0,0,0,0.4971875,3.34200575035844e-05,0.5028125,3.34200575035844e-05,-2.29480095245829e-05,-9.084339287313e-06,-0.00377781670044065,0.003770949317168,1.01712634710796e-05,NA,NA,NA,NA,NA,0
"7","CETE",2019,"family","Plant - herbivore",0.506,0.494,0,0,0,0,0.4971875,3.34200575035844e-05,0.5028125,3.34200575035844e-05,2.58835921093365e-05,6.6471249121567e-05,-0.0042705243212939,0.00421954509966623,1.34328228133052e-05,NA,NA,NA,NA,NA,0
"8","CETE",2019,"family","Plant - floral visitor",0.4945,0.5055,0,0,0,0,0.4971875,3.34200575035844e-05,0.5028125,3.34200575035844e-05,-9.82779296358295e-05,-0.00113212985568128,-0.113935849684858,0.114382948150971,0.00968676654292777,NA,NA,NA,NA,NA,0
"9","CETE",2019,"code.plant","Intraspecific",0.50125,0.49875,0,0,0,0,0.504,6.31289455590892e-06,0.496,6.31289455590892e-06,-1.61738702924113e-06,5.07187222129613e-05,-0.0253294418200436,0.0256808850698838,0.000457922805216563,NA,NA,NA,NA,NA,0
"10","CETE",2019,"code.plant","Plant - plant",0.50225,0.49775,0,0,0,0,0.504,6.31289455590892e-06,0.496,6.31289455590892e-06,2.91833519119842e-05,1.63229816505516e-05,-0.00368008494711452,0.00373895582869373,9.78804405378209e-06,NA,NA,NA,NA,NA,0
"11","CETE",2019,"code.plant","Plant - herbivore",0.50475,0.49525,0,0,0,0,0.504,6.31289455590892e-06,0.496,6.31289455590892e-06,2.00273954867969e-05,4.00331565188908e-05,-0.004096874183411,0.00420134865709832,1.25575957874547e-05,NA,NA,NA,NA,NA,0
"12","CETE",2019,"code.plant","Plant - floral visitor",0.50775,0.49225,0,0,0,0,0.504,6.31289455590892e-06,0.496,6.31289455590892e-06,0.00114491112203841,0.00191391327228163,-0.117551252089034,0.119349140569986,0.0102757702295944,NA,NA,NA,NA,NA,0
"13","CETE",2020,"class","Intraspecific",0.90775,0.09225,0,0,0,0,0.497374999999988,0.123106584786522,0.502625000000005,0.123106584786521,0.0648129110622573,0.0654964656783992,0.0078547194444096,0.12106280543166,0.00229108996032682,NA,NA,NA,NA,NA,0
"14","CETE",2020,"class","Plant - plant",0.1115,0.8885,0,0,0,0,0.497374999999988,0.123106584786522,0.502625000000005,0.123106584786521,-0.0345143827393547,-0.0349098205485385,-0.067106827008129,-0.00116770468746777,0.000797367032520668,NA,NA,NA,NA,NA,0
"15","CETE",2020,"class","Plant - herbivore",0.1895,0.8105,0,0,0,0,0.497374999999988,0.123106584786522,0.502625000000005,0.123106584786521,-0.0474127083543614,-0.048085576804311,-0.110776438187161,0.0156262892682468,0.00288738103453078,NA,NA,NA,NA,NA,0
"16","CETE",2020,"class","Plant - floral visitor",0.78075,0.21925,0,0,0,0,0.497374999999988,0.123106584786522,0.502625000000005,0.123106584786521,0.0241913196276102,0.0232195827506863,-0.0115256801811663,0.0614723910869516,0.000974403101839577,NA,NA,NA,NA,NA,0
"17","CETE",2020,"family","Intraspecific",0.78125,0.21875,0,0,0,0,0.467312500000013,0.104894130101925,0.532687499999984,0.104894130101925,0.0335206165414517,0.0336465862743428,-0.0175451054812852,0.0834556271328322,0.00182785134861828,NA,NA,NA,NA,NA,0
"18","CETE",2020,"family","Plant - plant",0.08075,0.91925,0,0,0,0,0.467312500000013,0.104894130101925,0.532687499999984,0.104894130101925,-0.0383011329052303,-0.0380300009059675,-0.0706744378804043,-0.00663151687809278,0.000757845515416582,NA,NA,NA,NA,NA,0
"19","CETE",2020,"family","Plant - herbivore",0.213,0.787,0,0,0,0,0.467312500000013,0.104894130101925,0.532687499999984,0.104894130101925,-0.0470933751318,-0.049364215105566,-0.116632715133421,0.0229894015168743,0.00332480091324187,NA,NA,NA,NA,NA,0
"20","CETE",2020,"family","Plant - floral visitor",0.79425,0.20575,0,0,0,0,0.467312500000013,0.104894130101925,0.532687499999984,0.104894130101925,0.024759567777098,0.0245140699729966,-0.010325894323676,0.0598129322407053,0.000930693963907821,NA,NA,NA,NA,NA,0
"21","CETE",2020,"code.plant","Intraspecific",0.7935,0.2065,0,0,0,0,0.533812500000011,0.0732073059253864,0.466187499999981,0.0732073059253727,0.0298655480890465,0.0306174693387701,-0.0132509321869893,0.0715361632380991,0.00134718243242421,NA,NA,NA,NA,NA,0
"22","CETE",2020,"code.plant","Plant - plant",0.16125,0.83875,0,0,0,0,0.533812500000011,0.0732073059253864,0.466187499999981,0.0732073059253727,-0.0254231685754321,-0.0254832716664174,-0.0553871801300529,0.00477022378856548,0.00068192950060078,NA,NA,NA,NA,NA,0
"23","CETE",2020,"code.plant","Plant - herbivore",0.39,0.61,0,0,0,0,0.533812500000011,0.0732073059253864,0.466187499999981,0.0732073059253727,-0.00964055041281702,-0.0101146963917563,-0.0529037903397215,0.0332466431482087,0.00135699694887896,NA,NA,NA,NA,NA,0
"24","CETE",2020,"code.plant","Plant - floral visitor",0.7905,0.2095,0,0,0,0,0.533812500000011,0.0732073059253864,0.466187499999981,0.0732073059253727,0.0246479559829244,0.0239735167478225,-0.01070752,0.0605445118174173,0.000907092954713067,NA,NA,NA,NA,NA,0
"25","CETE",2021,"class","Intraspecific",0.8565,0.1435,0,0,0,0,0.666749999999994,0.0956050378148707,0.333250000000001,0.0956050378148713,0.0705900382847977,0.071324636519692,-0.00724274366262261,0.148594901674692,0.00444575419142976,NA,NA,NA,NA,NA,0
"26","CETE",2021,"class","Plant - plant",0.141,0.859,0,0,0,0,0.666749999999994,0.0956050378148707,0.333250000000001,0.0956050378148713,-0.040805726067911,-0.0411973216028804,-0.0852786223920713,0.00349942158980757,0.00142046838360285,NA,NA,NA,NA,NA,0
"27","CETE",2021,"class","Plant - herbivore",0.917,0.083,0,0,0,0,0.666749999999994,0.0956050378148707,0.333250000000001,0.0956050378148713,0.0764790527520882,0.0754222769930258,0.0125937586256256,0.14199490471218,0.0030078026704928,NA,NA,NA,NA,NA,0
"28","CETE",2021,"class","Plant - floral visitor",0.7525,0.2475,0,0,0,0,0.666749999999994,0.0956050378148707,0.333250000000001,0.0956050378148713,0.0413155506357575,0.039084725,-0.0290822424,0.115260616,0.00375492629547285,NA,NA,NA,NA,NA,0
"29","CETE",2021,"family","Intraspecific",0.756,0.244,0,0,0,0,0.625125000000005,0.102807378586157,0.374875000000009,0.102807378586158,0.0442279282706132,0.0441530170012951,-0.0278768427923045,0.117302741854466,0.00386375526954581,NA,NA,NA,NA,NA,0
"30","CETE",2021,"family","Plant - plant",0.0815,0.9185,0,0,0,0,0.625125000000005,0.102807378586157,0.374875000000009,0.102807378586158,-0.0491152965787624,-0.0489716129116798,-0.0902824266778248,-0.00766613073300589,0.00122027346441033,NA,NA,NA,NA,NA,0
"31","CETE",2021,"family","Plant - herbivore",0.91325,0.08675,0,0,0,0,0.625125000000005,0.102807378586157,0.374875000000009,0.102807378586158,0.0746739713691024,0.074676067098647,0.0106964098899389,0.13926228275525,0.0030344045567393,NA,NA,NA,NA,NA,0
"32","CETE",2021,"family","Plant - floral visitor",0.74975,0.25025,0,0,0,0,0.625125000000005,0.102807378586157,0.374875000000009,0.102807378586158,0.0404355219063307,0.03890794,-0.0278476676,0.110525772,0.00335205702643903,NA,NA,NA,NA,NA,0
"33","CETE",2021,"code.plant","Intraspecific",0.7565,0.2435,0,0,0,0,0.640812499999992,0.084199180417548,0.359187500000005,0.0841991804175489,0.0443085843746769,0.0435760695953585,-0.0291034637539939,0.118719032652114,0.00390012362737031,NA,NA,NA,NA,NA,0
"34","CETE",2021,"code.plant","Plant - plant",0.1555,0.8445,0,0,0,0,0.640812499999992,0.084199180417548,0.359187500000005,0.0841991804175489,-0.0374846294197326,-0.038085909735436,-0.0807283836440434,0.00590592951209284,0.00131367716954305,NA,NA,NA,NA,NA,0
"35","CETE",2021,"code.plant","Plant - herbivore",0.9245,0.0755,0,0,0,0,0.640812499999992,0.084199180417548,0.359187500000005,0.0841991804175489,0.0774609255300474,0.076552719914754,0.013757643661785,0.142243792466437,0.0030529565480936,NA,NA,NA,NA,NA,0
"36","CETE",2021,"code.plant","Plant - floral visitor",0.72675,0.27325,0,0,0,0,0.640812499999992,0.084199180417548,0.359187500000005,0.0841991804175489,0.0390843198616125,0.03746809,-0.0323724004,0.110446588,0.00375004479214213,NA,NA,NA,NA,NA,0
"37","LEMA",2019,"class","Intraspecific",0.6695,0.3305,0,0,0,0,0.416499999999982,0.0675977248578007,0.58350000000001,0.0675977248577997,0.0421129395720912,0.0402364909989976,-0.0701466253811949,0.157570646339333,0.00945131928496077,NA,NA,NA,NA,NA,0.0004375
"38","LEMA",2019,"class","Plant - plant",0.0045,0.9955,0,0.00175,0.99825,0,0.416499999999982,0.0675977248578007,0.58350000000001,0.0675977248577997,-0.176228138432035,-0.175430168871258,-0.255132381179906,-0.0983072352913176,0.00435258420738432,-0.179651250914717,-0.17946111464094,-0.253979912041302,-0.108007237087885,0.00384976459125602,0.0004375
"39","LEMA",2019,"class","Plant - herbivore",0.3865,0.6135,0,0,0,0,0.416499999999982,0.0675977248578007,0.58350000000001,0.0675977248577997,-0.012330505822508,-0.0121885393590262,-0.0644861898475192,0.0409341040194064,0.00205078244898787,NA,NA,NA,NA,NA,0.0004375
