focal,year,"complexity
level",parameter,positive perc,"positive
perc_hat","median
estimate","ten
estimate","ninety
estimate","median
estimate
hat","ten
estimate
hat","ninety
estimate
hat"
CETE,2019,functional G,Intraspecific,0.492,0,-0.00038,-0.02496,0.02440,NA,NA,NA
CETE,2019,functional G,Plant - plant,0.49375,0,-0.00004,-0.00368,0.00365,NA,NA,NA
CETE,2019,functional G,Plant - herbivore,0.497,0,-0.00003,-0.00423,0.00407,NA,NA,NA
CETE,2019,functional G,Plant - floral visitor,0.49875,0,-0.00029,-0.12281,0.12135,NA,NA,NA
CETE,2019,family,Intraspecific,0.49025,0,-0.00054,-0.02452,0.02488,NA,NA,NA
CETE,2019,family,Plant - plant,0.498,0,-0.00001,-0.00378,0.00377,NA,NA,NA
CETE,2019,family,Plant - herbivore,0.506,0,0.00007,-0.00427,0.00422,NA,NA,NA
CETE,2019,family,Plant - floral visitor,0.4945,0,-0.00113,-0.11394,0.11438,NA,NA,NA
CETE,2019,species,Intraspecific,0.50125,0,0.00005,-0.02533,0.02568,NA,NA,NA
CETE,2019,species,Plant - plant,0.50225,0,0.00002,-0.00368,0.00374,NA,NA,NA
CETE,2019,species,Plant - herbivore,0.50475,0,0.00004,-0.00410,0.00420,NA,NA,NA
CETE,2019,species,Plant - floral visitor,0.50775,0,0.00191,-0.11755,0.11935,NA,NA,NA
CETE,2020,functional G,Intraspecific,0.90775,0,0.06550,0.00785,0.12106,NA,NA,NA
CETE,2020,functional G,Plant - plant,0.1115,0,-0.03491,-0.06711,-0.00117,NA,NA,NA
CETE,2020,functional G,Plant - herbivore,0.1895,0,-0.04809,-0.11078,0.01563,NA,NA,NA
CETE,2020,functional G,Plant - floral visitor,0.78075,0,0.02322,-0.01153,0.06147,NA,NA,NA
CETE,2020,family,Intraspecific,0.78125,0,0.03365,-0.01755,0.08346,NA,NA,NA
CETE,2020,family,Plant - plant,0.08075,0,-0.03803,-0.07067,-0.00663,NA,NA,NA
CETE,2020,family,Plant - herbivore,0.213,0,-0.04936,-0.11663,0.02299,NA,NA,NA
CETE,2020,family,Plant - floral visitor,0.79425,0,0.02451,-0.01033,0.05981,NA,NA,NA
