"","parameter_hat","focal","year","complexity.plant","estimate_hat_add","complexity.animal","abund.sp","abund.sp.min","abund.sp.max","parameter","inclus","mean_hat_adjusted","focal.name","ParYear","ParYearInt"
"1","Grass","LEMA","2019","Funct.Group",-0.357171386879719,"group",1.58800880088009,0,5,"Plant - plant","inclus",-0.567191305787541,"Leontodon 
maroccanus","Plant - plant_2019",15
"2","Poaceae","LEMA","2019","Family",-0.358617684255553,"family",1.58800880088009,0,5,"Plant - plant","inclus",-0.569488038749056,"Leontodon 
maroccanus","Plant - plant_2019",15
"3","beetle","LEMA","2020","Funct.Group",0.465966842558793,"group",0.653886554621849,0,5,"Plant - herbivore","inclus",0.30468945324879,"Leontodon 
maroccanus","Plant - herbivore_2020",6
"4","Grass","LEMA","2020","Funct.Group",-0.383004833942846,"group",0.559895833333333,0,4.16666666666667,"Plant - plant","inclus",-0.214442810671125,"Leontodon 
maroccanus","Plant - plant_2020",16
"5","Poaceae","LEMA","2020","Family",-0.364613153292001,"family",0.671875,0,5,"Plant - plant","inclus",-0.244974462368063,"Leontodon 
maroccanus","Plant - plant_2020",16
"6","HOMA","LEMA","2020","Species",-0.350679451016899,"species",0.613051470588235,0,5,"Plant - plant","inclus",-0.214984553150985,"Leontodon 
maroccanus","Plant - plant_2020",16
"7","Grass","LEMA","2021","Funct.Group",-0.278702545911791,"group",0.406574394463667,0,3.33333333333333,"Plant - plant","inclus",-0.113313318839569,"Leontodon 
maroccanus","Plant - plant_2021",17
"8","MEEL","HOMA","2020","Species",-0.163048444542793,"species",0.00143184421534937,0,0.277777777777778,"Plant - plant","non-inclus",-0.00023345997214031,"Hordeum 
marinum","Plant - plant_2020",16
"9","Grass","CHFU","2020","Funct.Group",-0.312628743711951,"group",0.175533351336754,0,1.52173913043478,"Plant - plant","inclus",-0.0548767711079579,"Chamaemelum 
fuscatum","Plant - plant_2020",16
"10","Asteraceae","CHFU","2020","Family",-0.313033874898387,"family",0.37505972288581,0,1.92307692307692,"Plant - plant","inclus",-0.11740639837326,"Chamaemelum 
fuscatum","Plant - plant_2020",16
"11","Poaceae","CHFU","2020","Family",-0.411246026508185,"family",0.31055900621118,0,2.69230769230769,"Plant - plant","inclus",-0.127716157300679,"Chamaemelum 
fuscatum","Plant - plant_2020",16
"12","LEMA","CHFU","2020","Species",-0.381823475768699,"species",0.250836120401338,0,1.53846153846154,"Plant - plant","inclus",-0.0957751193399747,"Chamaemelum 
fuscatum","Plant - plant_2020",16
