grouping,ID,mean.sp,var.sp
species,Aelia spp,1.16,0.22
species,Agapanthia annularis,2.89,2.11
species,Aiolopus strepens,1.03,0.03
species,Aleyrodidae,1.20,0.20
species,Aphis fabae,27.65,2353.66
species,Brassicogethes spp,3.57,10.80
species,Calamobius filum,2.00,2.00
species,Cicadellidae,1.17,0.17
species,Cochlicella barbara,8.47,183.25
species,Conocephalus dorsalis,1.43,1.46
species,Curculionidae,1.13,0.13
species,Dociostaurus jagoi,14.00,662.00
species,Gastropoda,2.11,4.21
species,Geometridae larva,1.31,0.44
species,Lasiocampa trifolii larva,1.60,2.06
species,Lepidoptera larva,3.09,38.57
species,Miridae,1.50,5.04
species,Orthoptera,1.10,0.09
species,Otala lactea,2.11,2.88
species,Parmacella valenciennii,1.57,1.29
species,Pentatomidae,1.91,4.29
species,Stylommatophora,1.67,1.33
species,Tessellana tessellata,1.73,1.73
species,Theba pisana,3.92,35.78
species,Thysanoptera,1.90,0.79
family,Acrididae,1.97,50.44
family,Aleyrodidae,1.20,0.20
family,Aphididae,27.65,2353.66
family,Cicadellidae,1.17,0.17
family,Coccinellidae,1.70,1.41
family,Curculionidae,1.13,0.13
family,Geomitridae,8.46,183.02
family,Helicidae,3.95,35.16
family,Miridae,1.50,5.04
family,Nitidulidae,3.56,10.77
family,Parmacellidae,1.57,1.29
family,Pentatomidae,1.25,0.75
family,Tettigoniidae,1.74,1.90
group,beetle,2.88,8.68
group,caterpillar,1.71,4.85
group,grasshopper,1.84,8.06
group,leafhopper,1.13,0.13
group,slug,1.57,1.29
group,snail,7.26,145.93
group,trip,1.90,0.79
