"","beta_plant_hat_ijk_LEMA_SCLA","focal","year","complexity.plant","complexity.animal"
"1",0.0944684336097412,"CETE","All","code.plant","species"
"2",0.035962845618625,"CETE","All","code.plant","species"
"3",-0.0365224382751841,"CETE","All","code.plant","species"
"4",-0.0205567306820109,"CETE","All","code.plant","species"
"5",0.211794161314194,"CETE","All","code.plant","species"
"6",-0.0371883013053185,"CETE","All","code.plant","species"
"7",-0.0689435716031002,"CETE","All","code.plant","species"
"8",-0.143670886329299,"CETE","All","code.plant","species"
"9",0.0305485785712625,"CETE","All","code.plant","species"
"10",-0.0502788817786765,"CETE","All","code.plant","species"
"11",0.0682557402469632,"CETE","All","code.plant","species"
"12",0.00492123723469962,"CETE","All","code.plant","species"
"13",0.0293841297245856,"CETE","All","code.plant","species"
"14",-0.169163116741666,"CETE","All","code.plant","species"
"15",-0.0394248509704737,"CETE","All","code.plant","species"
"16",-0.169065601498438,"CETE","All","code.plant","species"
"17",-0.0261917465232576,"CETE","All","code.plant","species"
"18",-0.00608777813354522,"CETE","All","code.plant","species"
"19",0.100318349512938,"CETE","All","code.plant","species"
"20",0.0472337060599406,"CETE","All","code.plant","species"
"21",-0.0851987895184132,"CETE","All","code.plant","species"
"22",-0.0867984484013368,"CETE","All","code.plant","species"
"23",0.182353371876938,"CETE","All","code.plant","species"
"24",-0.000749303920874356,"CETE","All","code.plant","species"
"25",-0.0389103841575927,"CETE","All","code.plant","species"
"26",0.0538488051040462,"CETE","All","code.plant","species"
"27",0.0391313686384109,"CETE","All","code.plant","species"
"28",0.0808296450747155,"CETE","All","code.plant","species"
"29",0.123440383585761,"CETE","All","code.plant","species"
"30",0.0389416642698317,"CETE","All","code.plant","species"
"31",0.0785482938403583,"CETE","All","code.plant","species"
"32",0.0549278586771735,"CETE","All","code.plant","species"
"33",0.0915549704909908,"CETE","All","code.plant","species"
"34",-0.0596872453501768,"CETE","All","code.plant","species"
"35",-0.0235074860045792,"CETE","All","code.plant","species"
"36",0.0836027972320736,"CETE","All","code.plant","species"
"37",0.0488181135284471,"CETE","All","code.plant","species"
"38",0.130638166878279,"CETE","All","code.plant","species"
"39",-0.107635107283577,"CETE","All","code.plant","species"
"40",0.0346428362643267,"CETE","All","code.plant","species"
"41",0.0190599020226045,"CETE","All","code.plant","species"
"42",0.00170500392248263,"CETE","All","code.plant","species"
"43",-0.185150258451519,"CETE","All","code.plant","species"
"44",0.127818799015424,"CETE","All","code.plant","species"
"45",-0.178011518705337,"CETE","All","code.plant","species"
"46",0.0876543608039999,"CETE","All","code.plant","species"
"47",-0.0518674679424148,"CETE","All","code.plant","species"
"48",0.0355441700845418,"CETE","All","code.plant","species"
"49",-0.0181722855710769,"CETE","All","code.plant","species"
"50",0.0212550504835534,"CETE","All","code.plant","species"
"51",-0.0397355978274563,"CETE","All","code.plant","species"
"52",-0.106839772314358,"CETE","All","code.plant","species"
"53",-0.0566455094603644,"CETE","All","code.plant","species"
"54",0.107587363746838,"CETE","All","code.plant","species"
"55",-0.163018607814825,"CETE","All","code.plant","species"
"56",0.0450830755018705,"CETE","All","code.plant","species"
"57",0.0260031625708677,"CETE","All","code.plant","species"
"58",0.0533035872687306,"CETE","All","code.plant","species"
"59",-0.0239595513775324,"CETE","All","code.plant","species"
"60",0.0605372057628557,"CETE","All","code.plant","species"
"61",-0.00371160090456257,"CETE","All","code.plant","species"
"62",0.0423370348216192,"CETE","All","code.plant","species"
"63",-0.0804727382812311,"CETE","All","code.plant","species"
"64",0.126240773665206,"CETE","All","code.plant","species"
"65",0.0344070348357786,"CETE","All","code.plant","species"
"66",-0.0438971717529314,"CETE","All","code.plant","species"
"67",-0.004058632991503,"CETE","All","code.plant","species"
"68",0.0833053176202778,"CETE","All","code.plant","species"
"69",0.0415529972734359,"CETE","All","code.plant","species"
"70",-0.233463369282673,"CETE","All","code.plant","species"
"71",-0.0510952469762959,"CETE","All","code.plant","species"
"72",0.121920962747885,"CETE","All","code.plant","species"
"73",0.0160910274782007,"CETE","All","code.plant","species"
"74",0.0180563904136337,"CETE","All","code.plant","species"
"75",0.0146217505916799,"CETE","All","code.plant","species"
"76",0.140101785066643,"CETE","All","code.plant","species"
"77",-0.0331841194818908,"CETE","All","code.plant","species"
"78",0.0865996915275291,"CETE","All","code.plant","species"
"79",0.0517550412555223,"CETE","All","code.plant","species"
"80",0.0178786868853802,"CETE","All","code.plant","species"
"81",0.123720628998267,"CETE","All","code.plant","species"
"82",-0.00506904610986958,"CETE","All","code.plant","species"
"83",0.00195795192298509,"CETE","All","code.plant","species"
"84",-0.02888433615132,"CETE","All","code.plant","species"
"85",0.0049339123925658,"CETE","All","code.plant","species"
"86",0.0795911589773077,"CETE","All","code.plant","species"
"87",-0.112945135895118,"CETE","All","code.plant","species"
"88",-0.108197852778145,"CETE","All","code.plant","species"
"89",-0.0263422314959466,"CETE","All","code.plant","species"
"90",-0.104557426536932,"CETE","All","code.plant","species"
"91",0.022808433255378,"CETE","All","code.plant","species"
"92",-0.0271340845263981,"CETE","All","code.plant","species"
"93",-0.122168354277784,"CETE","All","code.plant","species"
"94",-0.0362039013017604,"CETE","All","code.plant","species"
"95",0.0116456446642252,"CETE","All","code.plant","species"
"96",-0.0761819779671753,"CETE","All","code.plant","species"
"97",-0.0865266105242555,"CETE","All","code.plant","species"
"98",0.0301286754124463,"CETE","All","code.plant","species"
"99",0.0238915853761787,"CETE","All","code.plant","species"
"100",-0.103869433724878,"CETE","All","code.plant","species"
"101",0.0713619628013771,"CETE","All","code.plant","species"
"102",-0.0541234548079542,"CETE","All","code.plant","species"
"103",-0.123469155935049,"CETE","All","code.plant","species"
"104",-0.0779655125360872,"CETE","All","code.plant","species"
"105",-0.0251443970843583,"CETE","All","code.plant","species"
"106",0.0301672090083802,"CETE","All","code.plant","species"
"107",0.306628298156312,"CETE","All","code.plant","species"
"108",0.0881159820533872,"CETE","All","code.plant","species"
"109",-0.00519909603157453,"CETE","All","code.plant","species"
"110",0.0652283462098471,"CETE","All","code.plant","species"
"111",0.0272745298705102,"CETE","All","code.plant","species"
"112",-0.012238404682925,"CETE","All","code.plant","species"
"113",0.0767773658506914,"CETE","All","code.plant","species"
"114",-0.0378133420565476,"CETE","All","code.plant","species"
"115",0.0464253477989927,"CETE","All","code.plant","species"
"116",-0.206776330269559,"CETE","All","code.plant","species"
"117",0.0332541799183916,"CETE","All","code.plant","species"
"118",0.171973841078787,"CETE","All","code.plant","species"
"119",0.0926999479227177,"CETE","All","code.plant","species"
"120",-0.0745194663748844,"CETE","All","code.plant","species"
"121",0.0325029563262278,"CETE","All","code.plant","species"
"122",-0.075399041999468,"CETE","All","code.plant","species"
"123",-0.0117212675642414,"CETE","All","code.plant","species"
"124",-0.124545950893359,"CETE","All","code.plant","species"
"125",0.0765306200364098,"CETE","All","code.plant","species"
"126",-0.0281734372987128,"CETE","All","code.plant","species"
"127",-0.136529458950296,"CETE","All","code.plant","species"
"128",-0.0667981814446318,"CETE","All","code.plant","species"
"129",-0.178012890151223,"CETE","All","code.plant","species"
"130",0.0765073832302416,"CETE","All","code.plant","species"
"131",0.0692077651850878,"CETE","All","code.plant","species"
"132",-0.0335235194389649,"CETE","All","code.plant","species"
"133",-0.0180739170422382,"CETE","All","code.plant","species"
"134",0.0420187565542023,"CETE","All","code.plant","species"
"135",-0.0113365975940924,"CETE","All","code.plant","species"
"136",0.0266368109316055,"CETE","All","code.plant","species"
"137",-0.010770837948667,"CETE","All","code.plant","species"
"138",-0.028918348072642,"CETE","All","code.plant","species"
"139",0.252125432352933,"CETE","All","code.plant","species"
"140",0.146110667218432,"CETE","All","code.plant","species"
"141",0.0148668847978788,"CETE","All","code.plant","species"
"142",0.0618649122421253,"CETE","All","code.plant","species"
"143",-0.078408593063869,"CETE","All","code.plant","species"
"144",0.149130390165966,"CETE","All","code.plant","species"
"145",-0.0344043988593179,"CETE","All","code.plant","species"
"146",-0.0492534905935619,"CETE","All","code.plant","species"
"147",-0.00463236001019007,"CETE","All","code.plant","species"
"148",0.0665099519226009,"CETE","All","code.plant","species"
