"","alpha_hat_ij_LEMA","focal","year","complexity.plant","complexity.animal"
"1",-0.132278640323311,"CHFU","2019","code.plant","species"
"2",-0.129554251100576,"CHFU","2019","code.plant","species"
"3",-0.279333739847034,"CHFU","2019","code.plant","species"
"4",-0.184219865860405,"CHFU","2019","code.plant","species"
"5",-0.0377672320880518,"CHFU","2019","code.plant","species"
"6",-0.0750609162281239,"CHFU","2019","code.plant","species"
"7",-0.137600232186404,"CHFU","2019","code.plant","species"
"8",-0.148860354425117,"CHFU","2019","code.plant","species"
"9",-0.0567573195200558,"CHFU","2019","code.plant","species"
"10",-0.289367356376187,"CHFU","2019","code.plant","species"
"11",-0.155056590794569,"CHFU","2019","code.plant","species"
"12",-0.259255255537081,"CHFU","2019","code.plant","species"
"13",-0.132780135653151,"CHFU","2019","code.plant","species"
"14",-0.135173202663919,"CHFU","2019","code.plant","species"
"15",-0.233340605037924,"CHFU","2019","code.plant","species"
"16",-0.0537961228645604,"CHFU","2019","code.plant","species"
"17",-0.193025532624683,"CHFU","2019","code.plant","species"
"18",-0.134011187934963,"CHFU","2019","code.plant","species"
"19",-0.107819233737902,"CHFU","2019","code.plant","species"
"20",-0.130162309198387,"CHFU","2019","code.plant","species"
"21",-0.179302926739173,"CHFU","2019","code.plant","species"
"22",-0.0607315961302319,"CHFU","2019","code.plant","species"
"23",-0.130817563723533,"CHFU","2019","code.plant","species"
"24",-0.0728592592369487,"CHFU","2019","code.plant","species"
"25",-0.167988743303718,"CHFU","2019","code.plant","species"
"26",-0.174275601771427,"CHFU","2019","code.plant","species"
"27",-0.220319206269859,"CHFU","2019","code.plant","species"
"28",-0.134153828816367,"CHFU","2019","code.plant","species"
"29",-0.142806298103663,"CHFU","2019","code.plant","species"
"30",-0.186330308609894,"CHFU","2019","code.plant","species"
"31",-0.136962761445511,"CHFU","2019","code.plant","species"
"32",-0.246118086465592,"CHFU","2019","code.plant","species"
"33",-0.262161429279731,"CHFU","2019","code.plant","species"
"34",-0.0899512738726932,"CHFU","2019","code.plant","species"
"35",-0.197121492455722,"CHFU","2019","code.plant","species"
"36",-0.102290926840315,"CHFU","2019","code.plant","species"
"37",-0.140373319080405,"CHFU","2019","code.plant","species"
"38",-0.257449850317512,"CHFU","2019","code.plant","species"
"39",-0.140839774550714,"CHFU","2019","code.plant","species"
"40",-0.149909820013767,"CHFU","2019","code.plant","species"
"41",-0.152711808214548,"CHFU","2019","code.plant","species"
"42",-0.187648543927682,"CHFU","2019","code.plant","species"
"43",-0.117494848733036,"CHFU","2019","code.plant","species"
"44",-0.144100773913973,"CHFU","2019","code.plant","species"
"45",-0.247428075583411,"CHFU","2019","code.plant","species"
"46",-0.267091538605175,"CHFU","2019","code.plant","species"
"47",-0.209560860073472,"CHFU","2019","code.plant","species"
"48",-0.169427885344179,"CHFU","2019","code.plant","species"
