"","alpha_hat_ij_Grass","focal","year","complexity.plant","complexity.animal"
"1",-0.00745596526276082,"CHFU","2020","class","group"
"2",-0.150359322326976,"CHFU","2020","class","group"
"3",-0.0781671908257924,"CHFU","2020","class","group"
"4",-0.0759667482310742,"CHFU","2020","class","group"
"5",-0.0177914000810674,"CHFU","2020","class","group"
"6",-0.176287373545832,"CHFU","2020","class","group"
"7",-0.0311385889876598,"CHFU","2020","class","group"
"8",-0.0454305421000407,"CHFU","2020","class","group"
"9",-0.0240596665957699,"CHFU","2020","class","group"
"10",-0.00450798848269229,"CHFU","2020","class","group"
"11",-0.132072967660132,"CHFU","2020","class","group"
"12",-0.123149820002225,"CHFU","2020","class","group"
"13",-0.232625968313313,"CHFU","2020","class","group"
"14",-0.057609046517478,"CHFU","2020","class","group"
"15",-0.106074302895771,"CHFU","2020","class","group"
"16",-0.186799156328068,"CHFU","2020","class","group"
"17",-0.12142982653525,"CHFU","2020","class","group"
"18",-0.16243470086711,"CHFU","2020","class","group"
"19",0.0526017746101728,"CHFU","2020","class","group"
"20",-0.0551647503735095,"CHFU","2020","class","group"
"21",-0.127795208974955,"CHFU","2020","class","group"
"22",-0.250131521298366,"CHFU","2020","class","group"
"23",-0.0836431039610401,"CHFU","2020","class","group"
"24",-0.154064534148774,"CHFU","2020","class","group"
"25",-0.356610421020995,"CHFU","2020","class","group"
"26",-0.0833015163148414,"CHFU","2020","class","group"
"27",-0.263306714547853,"CHFU","2020","class","group"
"28",-0.198230591772076,"CHFU","2020","class","group"
"29",-0.0424192112740517,"CHFU","2020","class","group"
"30",-0.0617901994708085,"CHFU","2020","class","group"
"31",-0.137047556721931,"CHFU","2020","class","group"
"32",-0.0647056233087155,"CHFU","2020","class","group"
"33",-0.235685279818923,"CHFU","2020","class","group"
"34",-0.326773898902951,"CHFU","2020","class","group"
"35",-0.0629494548532195,"CHFU","2020","class","group"
"36",-0.235777687391855,"CHFU","2020","class","group"
"37",-0.037005901219854,"CHFU","2020","class","group"
"38",-0.066934659749751,"CHFU","2020","class","group"
"39",-0.341268453982624,"CHFU","2020","class","group"
"40",-0.203578941902535,"CHFU","2020","class","group"
"41",-0.126521602781739,"CHFU","2020","class","group"
"42",-0.048295793274527,"CHFU","2020","class","group"
"43",-0.056524020192975,"CHFU","2020","class","group"
"44",-0.0248917297437482,"CHFU","2020","class","group"
"45",-0.18095809316299,"CHFU","2020","class","group"
"46",0.0541694170615996,"CHFU","2020","class","group"
"47",-0.0153128459585902,"CHFU","2020","class","group"
"48",-0.158147827719245,"CHFU","2020","class","group"
"49",-0.321183290583511,"CHFU","2020","class","group"
"50",-0.135438650387249,"CHFU","2020","class","group"
"51",-0.287718164913023,"CHFU","2020","class","group"
"52",-0.185595544599876,"CHFU","2020","class","group"
"53",-0.340997772599829,"CHFU","2020","class","group"
"54",-0.0056172729164109,"CHFU","2020","class","group"
"55",-0.15657074948528,"CHFU","2020","class","group"
"56",-0.116695620779316,"CHFU","2020","class","group"
"57",-0.105960255545525,"CHFU","2020","class","group"
"58",-0.233058821396923,"CHFU","2020","class","group"
"59",-0.132316238781352,"CHFU","2020","class","group"
"60",-0.0117430386020422,"CHFU","2020","class","group"
"61",0.0692940212136943,"CHFU","2020","class","group"
"62",-0.164585690457726,"CHFU","2020","class","group"
"63",-0.197804817346869,"CHFU","2020","class","group"
"64",-0.130071999874412,"CHFU","2020","class","group"
"65",-0.0150834144841518,"CHFU","2020","class","group"
"66",-0.20524105310445,"CHFU","2020","class","group"
"67",0.0657423045591132,"CHFU","2020","class","group"
"68",-0.163441990780566,"CHFU","2020","class","group"
"69",-0.0387380543787678,"CHFU","2020","class","group"
"70",-0.0215874641711661,"CHFU","2020","class","group"
"71",-0.088241731663278,"CHFU","2020","class","group"
"72",0.0229760201089459,"CHFU","2020","class","group"
"73",0.0533670155883552,"CHFU","2020","class","group"
"74",-0.24528375638117,"CHFU","2020","class","group"
"75",-0.101727988974266,"CHFU","2020","class","group"
"76",0.00862690792421872,"CHFU","2020","class","group"
"77",-0.200630692885929,"CHFU","2020","class","group"
"78",-0.16344872291257,"CHFU","2020","class","group"
"79",-0.203568875024644,"CHFU","2020","class","group"
"80",0.0458571228499824,"CHFU","2020","class","group"
"81",-0.207090928047374,"CHFU","2020","class","group"
"82",-0.209960837845453,"CHFU","2020","class","group"
"83",-0.0950352186702383,"CHFU","2020","class","group"
"84",-0.145993114356928,"CHFU","2020","class","group"
"85",-0.269931860047701,"CHFU","2020","class","group"
"86",-0.161615843308343,"CHFU","2020","class","group"
"87",-0.121771079891339,"CHFU","2020","class","group"
"88",-0.116650182589581,"CHFU","2020","class","group"
