"","alpha_hat_ij_Forb","focal","year","complexity.plant","complexity.animal"
"1",-0.435701236400283,"CHFU","All","class","group"
"2",-0.324419915919913,"CHFU","All","class","group"
"3",-0.330031925470182,"CHFU","All","class","group"
"4",-0.391442713478551,"CHFU","All","class","group"
"5",-0.423614863773056,"CHFU","All","class","group"
"6",-0.268711527812594,"CHFU","All","class","group"
"7",-0.4422165589034,"CHFU","All","class","group"
"8",-0.499067719088741,"CHFU","All","class","group"
"9",-0.422904455917106,"CHFU","All","class","group"
"10",-0.269865468765963,"CHFU","All","class","group"
"11",-0.301994913339597,"CHFU","All","class","group"
"12",-0.39452368050484,"CHFU","All","class","group"
"13",-0.469679900533841,"CHFU","All","class","group"
"14",-0.230211851708352,"CHFU","All","class","group"
"15",-0.412842752445601,"CHFU","All","class","group"
"16",-0.404630069369953,"CHFU","All","class","group"
"17",-0.29560482395899,"CHFU","All","class","group"
"18",-0.395247503459289,"CHFU","All","class","group"
"19",-0.320145395017674,"CHFU","All","class","group"
"20",-0.433935262787766,"CHFU","All","class","group"
"21",-0.174946628499259,"CHFU","All","class","group"
"22",-0.265744049068514,"CHFU","All","class","group"
"23",-0.398795651694088,"CHFU","All","class","group"
"24",-0.317931219752755,"CHFU","All","class","group"
"25",-0.228551934748275,"CHFU","All","class","group"
"26",-0.364981058783673,"CHFU","All","class","group"
"27",-0.316761489654815,"CHFU","All","class","group"
"28",-0.245813318810189,"CHFU","All","class","group"
"29",-0.266147996186845,"CHFU","All","class","group"
"30",-0.448611479267932,"CHFU","All","class","group"
"31",-0.335237847871624,"CHFU","All","class","group"
"32",-0.364995003401362,"CHFU","All","class","group"
"33",-0.293765771784799,"CHFU","All","class","group"
"34",-0.493715916110706,"CHFU","All","class","group"
"35",-0.420908614072167,"CHFU","All","class","group"
"36",-0.336412074368326,"CHFU","All","class","group"
"37",-0.320018872372445,"CHFU","All","class","group"
"38",-0.353695862767568,"CHFU","All","class","group"
"39",-0.341789974023788,"CHFU","All","class","group"
"40",-0.339644175722245,"CHFU","All","class","group"
"41",-0.400847342065181,"CHFU","All","class","group"
"42",-0.354543190756875,"CHFU","All","class","group"
"43",-0.443946343347707,"CHFU","All","class","group"
"44",-0.286374713834169,"CHFU","All","class","group"
"45",-0.365659731380081,"CHFU","All","class","group"
"46",-0.290763353529898,"CHFU","All","class","group"
"47",-0.392416798399152,"CHFU","All","class","group"
"48",-0.29826029186842,"CHFU","All","class","group"
"49",-0.219362328334505,"CHFU","All","class","group"
"50",-0.361732979530305,"CHFU","All","class","group"
"51",-0.440786077647967,"CHFU","All","class","group"
"52",-0.332806759967368,"CHFU","All","class","group"
"53",-0.406045001285191,"CHFU","All","class","group"
"54",-0.277071000738572,"CHFU","All","class","group"
"55",-0.338199857173075,"CHFU","All","class","group"
"56",-0.165208210300261,"CHFU","All","class","group"
"57",-0.468674433202504,"CHFU","All","class","group"
"58",-0.276354656326835,"CHFU","All","class","group"
"59",-0.332696146453223,"CHFU","All","class","group"
"60",-0.31429051426361,"CHFU","All","class","group"
"61",-0.366898117679421,"CHFU","All","class","group"
"62",-0.305446934463216,"CHFU","All","class","group"
"63",-0.457874013527034,"CHFU","All","class","group"
"64",-0.153910759828914,"CHFU","All","class","group"
"65",-0.334495047450382,"CHFU","All","class","group"
"66",-0.286086393210626,"CHFU","All","class","group"
"67",-0.271329743681008,"CHFU","All","class","group"
"68",-0.346437154155874,"CHFU","All","class","group"
"69",-0.317078812960669,"CHFU","All","class","group"
"70",-0.320738894312043,"CHFU","All","class","group"
"71",-0.269766230892389,"CHFU","All","class","group"
"72",-0.289252243015075,"CHFU","All","class","group"
"73",-0.294555755242259,"CHFU","All","class","group"
"74",-0.413840723509031,"CHFU","All","class","group"
"75",-0.282307888195872,"CHFU","All","class","group"
"76",-0.448258517025437,"CHFU","All","class","group"
"77",-0.312173932993558,"CHFU","All","class","group"
"78",-0.349587570101385,"CHFU","All","class","group"
"79",-0.26115694231191,"CHFU","All","class","group"
"80",-0.322621452990416,"CHFU","All","class","group"
"81",-0.289069791969311,"CHFU","All","class","group"
"82",-0.288747520588399,"CHFU","All","class","group"
"83",-0.282622024200283,"CHFU","All","class","group"
"84",-0.286642462812569,"CHFU","All","class","group"
"85",-0.271014342573319,"CHFU","All","class","group"
"86",-0.399916380639168,"CHFU","All","class","group"
"87",-0.449395806569916,"CHFU","All","class","group"
"88",-0.335470569996034,"CHFU","All","class","group"
"89",-0.381405189873003,"CHFU","All","class","group"
"90",-0.19650200338016,"CHFU","All","class","group"
"91",-0.273582439859199,"CHFU","All","class","group"
"92",-0.291823211061398,"CHFU","All","class","group"
"93",-0.367499271091545,"CHFU","All","class","group"
"94",-0.305303671061777,"CHFU","All","class","group"
"95",-0.38386034067837,"CHFU","All","class","group"
"96",-0.38979163999467,"CHFU","All","class","group"
"97",-0.180386268770148,"CHFU","All","class","group"
"98",-0.185021168480552,"CHFU","All","class","group"
"99",-0.442739522122878,"CHFU","All","class","group"
"100",-0.339757782692413,"CHFU","All","class","group"
"101",-0.292208640882955,"CHFU","All","class","group"
"102",-0.314791613736729,"CHFU","All","class","group"
"103",-0.347068808544705,"CHFU","All","class","group"
"104",-0.207098676567166,"CHFU","All","class","group"
"105",-0.272345887893348,"CHFU","All","class","group"
"106",-0.309392136524586,"CHFU","All","class","group"
"107",-0.43323850314953,"CHFU","All","class","group"
"108",-0.419501987693983,"CHFU","All","class","group"
"109",-0.351001748573918,"CHFU","All","class","group"
"110",-0.303167370671319,"CHFU","All","class","group"
"111",-0.33505721005204,"CHFU","All","class","group"
"112",-0.321186523120223,"CHFU","All","class","group"
"113",-0.374897234431551,"CHFU","All","class","group"
"114",-0.327455961212209,"CHFU","All","class","group"
"115",-0.288099574504981,"CHFU","All","class","group"
"116",-0.216149256419836,"CHFU","All","class","group"
"117",-0.468187287912323,"CHFU","All","class","group"
"118",-0.401002677795014,"CHFU","All","class","group"
"119",-0.432850812947164,"CHFU","All","class","group"
"120",-0.322333272260188,"CHFU","All","class","group"
"121",-0.344833198154872,"CHFU","All","class","group"
"122",-0.37824693142418,"CHFU","All","class","group"
"123",-0.385776160538365,"CHFU","All","class","group"
"124",-0.399517123721797,"CHFU","All","class","group"
"125",-0.395084757127805,"CHFU","All","class","group"
"126",-0.301857206725098,"CHFU","All","class","group"
"127",-0.289528949241654,"CHFU","All","class","group"
"128",-0.286211923537505,"CHFU","All","class","group"
"129",-0.263087592225542,"CHFU","All","class","group"
"130",-0.28786223476781,"CHFU","All","class","group"
"131",-0.476038136457003,"CHFU","All","class","group"
"132",-0.422391259001886,"CHFU","All","class","group"
"133",-0.323251945654926,"CHFU","All","class","group"
"134",-0.269296897448371,"CHFU","All","class","group"
"135",-0.402394679768871,"CHFU","All","class","group"
"136",-0.377669654326964,"CHFU","All","class","group"
"137",-0.311368317132087,"CHFU","All","class","group"
"138",-0.352029259603438,"CHFU","All","class","group"
"139",-0.357669319657952,"CHFU","All","class","group"
"140",-0.301811395864807,"CHFU","All","class","group"
"141",-0.423945645115577,"CHFU","All","class","group"
"142",-0.317644308211743,"CHFU","All","class","group"
"143",-0.306004526111862,"CHFU","All","class","group"
"144",-0.323171447204467,"CHFU","All","class","group"
"145",-0.359104718070778,"CHFU","All","class","group"
"146",-0.254809666363211,"CHFU","All","class","group"
"147",-0.405789687779714,"CHFU","All","class","group"
"148",-0.243915050304356,"CHFU","All","class","group"
"149",-0.301944436382614,"CHFU","All","class","group"
"150",-0.280235571666004,"CHFU","All","class","group"
"151",-0.285831627991662,"CHFU","All","class","group"
"152",-0.305767699828588,"CHFU","All","class","group"
"153",-0.327177807843755,"CHFU","All","class","group"
"154",-0.368764403130121,"CHFU","All","class","group"
"155",-0.518588640253967,"CHFU","All","class","group"
"156",-0.505402302891631,"CHFU","All","class","group"
"157",-0.365753734696637,"CHFU","All","class","group"
"158",-0.27102386113649,"CHFU","All","class","group"
"159",-0.429606384469312,"CHFU","All","class","group"
"160",-0.255726254030045,"CHFU","All","class","group"
"161",-0.416889579333284,"CHFU","All","class","group"
"162",-0.295661190475036,"CHFU","All","class","group"
"163",-0.330989109676014,"CHFU","All","class","group"
"164",-0.3493896633956,"CHFU","All","class","group"
"165",-0.41862778123112,"CHFU","All","class","group"
"166",-0.317486125768222,"CHFU","All","class","group"
"167",-0.327488593483104,"CHFU","All","class","group"
"168",-0.333405859250633,"CHFU","All","class","group"
"169",-0.304020037114328,"CHFU","All","class","group"
"170",-0.31288245947041,"CHFU","All","class","group"
"171",-0.302251220166791,"CHFU","All","class","group"
"172",-0.392781917772416,"CHFU","All","class","group"
"173",-0.434073600820901,"CHFU","All","class","group"
"174",-0.274702736740956,"CHFU","All","class","group"
"175",-0.392009268306162,"CHFU","All","class","group"
"176",-0.393838022774254,"CHFU","All","class","group"
"177",-0.240748084965408,"CHFU","All","class","group"
"178",-0.369526854478888,"CHFU","All","class","group"
"179",-0.325721910850057,"CHFU","All","class","group"
"180",-0.265793043593096,"CHFU","All","class","group"
"181",-0.265654921307645,"CHFU","All","class","group"
"182",-0.37429174805193,"CHFU","All","class","group"
"183",-0.319339827207537,"CHFU","All","class","group"
"184",-0.355697566919122,"CHFU","All","class","group"
"185",-0.374160289009682,"CHFU","All","class","group"
"186",-0.352489608094865,"CHFU","All","class","group"
"187",-0.360395352683868,"CHFU","All","class","group"
"188",-0.413745538101418,"CHFU","All","class","group"
"189",-0.453864095067044,"CHFU","All","class","group"
"190",-0.34973942627484,"CHFU","All","class","group"
"191",-0.503582628353404,"CHFU","All","class","group"
"192",-0.213014513114273,"CHFU","All","class","group"
"193",-0.309401478251802,"CHFU","All","class","group"
"194",-0.42773317312194,"CHFU","All","class","group"
"195",-0.444290157516835,"CHFU","All","class","group"
"196",-0.387414213803489,"CHFU","All","class","group"
"197",-0.285644713702169,"CHFU","All","class","group"
"198",-0.506045767487958,"CHFU","All","class","group"
"199",-0.306270535505127,"CHFU","All","class","group"
"200",-0.346728631357732,"CHFU","All","class","group"
"201",-0.433858547145683,"CHFU","All","class","group"
"202",-0.34038952942659,"CHFU","All","class","group"
"203",-0.284414192724707,"CHFU","All","class","group"
"204",-0.376571477768795,"CHFU","All","class","group"
"205",-0.357160677790954,"CHFU","All","class","group"
"206",-0.529318107828758,"CHFU","All","class","group"
"207",-0.4822178226046,"CHFU","All","class","group"
"208",-0.288902138509201,"CHFU","All","class","group"
"209",-0.382894416223515,"CHFU","All","class","group"
"210",-0.31934708967561,"CHFU","All","class","group"
"211",-0.406161569953351,"CHFU","All","class","group"
"212",-0.310150747367993,"CHFU","All","class","group"
"213",-0.216376237972301,"CHFU","All","class","group"
"214",-0.402116460577851,"CHFU","All","class","group"
"215",-0.261154424443564,"CHFU","All","class","group"
"216",-0.3078242954132,"CHFU","All","class","group"
"217",-0.414993879898837,"CHFU","All","class","group"
"218",-0.388851138597696,"CHFU","All","class","group"
"219",-0.397525231131469,"CHFU","All","class","group"
"220",-0.326451257279549,"CHFU","All","class","group"
"221",-0.268097551760458,"CHFU","All","class","group"
"222",-0.467828898841334,"CHFU","All","class","group"
"223",-0.291199061014367,"CHFU","All","class","group"
"224",-0.323668042858983,"CHFU","All","class","group"
"225",-0.410518325799728,"CHFU","All","class","group"
"226",-0.35329230860295,"CHFU","All","class","group"
"227",-0.288159326443085,"CHFU","All","class","group"
"228",-0.415683643972443,"CHFU","All","class","group"
"229",-0.347669576756737,"CHFU","All","class","group"
"230",-0.209039956720476,"CHFU","All","class","group"
"231",-0.390490822534287,"CHFU","All","class","group"
"232",-0.307693807998015,"CHFU","All","class","group"
"233",-0.235263076866023,"CHFU","All","class","group"
"234",-0.280644376478055,"CHFU","All","class","group"
"235",-0.266721028845868,"CHFU","All","class","group"
"236",-0.243240889737609,"CHFU","All","class","group"
"237",-0.40748670375347,"CHFU","All","class","group"
"238",-0.347618057792862,"CHFU","All","class","group"
"239",-0.34025167744324,"CHFU","All","class","group"
"240",-0.253616659546491,"CHFU","All","class","group"
"241",-0.253097487141081,"CHFU","All","class","group"
"242",-0.337967764466621,"CHFU","All","class","group"
"243",-0.334155105908943,"CHFU","All","class","group"
"244",-0.316931902850321,"CHFU","All","class","group"
"245",-0.315663297519708,"CHFU","All","class","group"
"246",-0.331866805930353,"CHFU","All","class","group"
"247",-0.300000507967119,"CHFU","All","class","group"
"248",-0.255732916982562,"CHFU","All","class","group"
"249",-0.431173415032979,"CHFU","All","class","group"
"250",-0.342989088766977,"CHFU","All","class","group"
"251",-0.288267834104531,"CHFU","All","class","group"
"252",-0.289434450927128,"CHFU","All","class","group"
"253",-0.259597982897317,"CHFU","All","class","group"
"254",-0.475762243221178,"CHFU","All","class","group"
"255",-0.331665944831786,"CHFU","All","class","group"
"256",-0.3495517667174,"CHFU","All","class","group"
"257",-0.380649708008844,"CHFU","All","class","group"
"258",-0.417487315050419,"CHFU","All","class","group"
"259",-0.36706879011367,"CHFU","All","class","group"
"260",-0.181716961133785,"CHFU","All","class","group"
"261",-0.352017047825025,"CHFU","All","class","group"
"262",-0.261700938024686,"CHFU","All","class","group"
"263",-0.340947006524697,"CHFU","All","class","group"
"264",-0.362164341855993,"CHFU","All","class","group"
"265",-0.315308952898026,"CHFU","All","class","group"
"266",-0.261200740973532,"CHFU","All","class","group"
"267",-0.329560766389978,"CHFU","All","class","group"
"268",-0.433539597901962,"CHFU","All","class","group"
"269",-0.370674440037862,"CHFU","All","class","group"
"270",-0.395474926141317,"CHFU","All","class","group"
"271",-0.31861057715024,"CHFU","All","class","group"
"272",-0.378549385342348,"CHFU","All","class","group"
"273",-0.294682347448028,"CHFU","All","class","group"
"274",-0.366853821010474,"CHFU","All","class","group"
"275",-0.375818892439731,"CHFU","All","class","group"
"276",-0.343145642220257,"CHFU","All","class","group"
"277",-0.281870018525636,"CHFU","All","class","group"
"278",-0.178026677909236,"CHFU","All","class","group"
"279",-0.404714673729194,"CHFU","All","class","group"
"280",-0.366417648454358,"CHFU","All","class","group"
"281",-0.356032615464564,"CHFU","All","class","group"
"282",-0.308305221927423,"CHFU","All","class","group"
"283",-0.284992041912899,"CHFU","All","class","group"
