"","alpha_hat_ij_MEEL","alpha_hat_ij_PAIN","alpha_hat_ij_RAPE","alpha_hat_ij_SPRU","alpha_hat_ij_SUSP","gamma_FV_hat_if_Dilophus_spp","gamma_FV_hat_if_Musca_spp","gamma_FV_hat_if_Ulidiidae_sp_wings_with_pattern","beta_plant_hat_ijk_LEMA_MEEL","beta_FV_hat_ijf_LEMA_Eucera_spp","focal","year","complexity.plant","complexity.animal"
"1",-0.233206163115293,-0.172724924668228,-0.131582280751892,-0.14911440703067,-0.100540572028851,0.21828333814963,-0.0242580251899475,-0.16681961605726,0.149559190326317,-0.0670375630223439,"CHFU","All","code.plant","species"
"2",-0.25531127961286,-0.0355817416054932,-0.167108240299196,-0.0269897106624883,0.0334674387907095,0.282300742675581,-0.0211102482858671,-0.0951551742157097,0.0687427094119855,0.00231455050236939,"CHFU","All","code.plant","species"
"3",-0.0116891215910285,-0.0400543685659036,-0.0729157893200303,0.00442330445340322,-0.121433245476797,0.0172615216056318,-0.058483312602476,-0.145264052046942,0.111305145510742,-0.0325975799608323,"CHFU","All","code.plant","species"
"4",-0.170888933283165,0.139008813798602,-0.103415799768444,0.0219261232461139,-0.0935039563229364,0.156940466467728,0.0361661425885895,-0.0982886009479416,0.108193844857513,0.152631287976145,"CHFU","All","code.plant","species"
"5",-0.174043602886133,-0.0367710990341924,-0.13761715103746,-0.0884847004122031,-0.00689738147853969,0.291287585018437,-0.149389465867437,-0.128781166888093,0.0566261632877587,0.0768130653785752,"CHFU","All","code.plant","species"
"6",-0.209919832161029,-0.157586425654347,0.046252571790683,-0.0878002775620627,-0.117738776473178,0.295107423422496,0.0856503925058449,0.0616551296726615,0.100611185199371,-0.204719365411184,"CHFU","All","code.plant","species"
"7",-0.194739865438801,-0.0396111063037912,0.18316273720793,-0.0247429737400992,-0.152097440800118,0.187017468546674,0.0251727446735386,-0.0861189501049102,-0.0168233939408199,-0.0527880063199704,"CHFU","All","code.plant","species"
"8",-0.233411131260216,-0.217211691826151,-0.0614172850314419,-0.105413552158607,-0.108772757936071,0.367977717735157,-0.0425506048039584,-0.0762584736031335,-0.0321478032943266,0.132814513866545,"CHFU","All","code.plant","species"
"9",-0.018734965978262,-0.125160845650534,0.00854967051980204,0.0772112295107537,-0.0064891209014325,0.111754548205382,-0.103709974033272,0.0307706176886446,0.129601824718638,-0.0055505993245567,"CHFU","All","code.plant","species"
"10",-0.0775797351830745,-0.129009437069981,-0.0548708912597755,-0.0255977564280854,-0.156935424649917,0.25626579269979,-0.177407435029114,0.124914794481268,-0.0399699323931062,0.0775517557542309,"CHFU","All","code.plant","species"
"11",-0.188300505096152,-0.0652735202933693,0.0208741536727766,-0.00762059157339523,-0.218965923851601,0.0423694020157217,-0.0130575845485557,-0.0937983772344747,-0.133231618500725,-0.0517024705316486,"CHFU","All","code.plant","species"
"12",-0.248340488300544,-0.080147027955127,0.0445785735774933,0.0325897610600663,-0.146285554348761,0.318927072113443,0.0895284279770174,-0.253400437120701,-0.129496265374067,-0.0173764205848222,"CHFU","All","code.plant","species"
"13",-0.031820010411846,-0.0724544606461174,-0.0746827726550779,0.0114827145993119,-0.222961125662367,0.247046396663903,-0.102753204651333,-0.0609155844603488,-0.0683697305660901,-0.0897986565151413,"CHFU","All","code.plant","species"
"14",-0.237461784416254,0.148462537126927,-0.238159447529751,-0.136056706005592,-0.0648783521425212,0.308003837905131,-0.0982612712530396,-0.212661937352914,-0.0206206956396692,-0.106620149131391,"CHFU","All","code.plant","species"
"15",-0.314554363186088,0.0188377268600646,-0.0770153171505232,0.0272455754382059,-0.16936033127568,0.247399818566814,-0.179708782029174,-0.190483364484514,0.00448532145926661,0.144886519452809,"CHFU","All","code.plant","species"
"16",-0.0307493996240352,-0.114937001411505,-0.0190500989524164,0.0597586195609157,-0.00501893800066422,0.0971433404384701,-0.112956550409616,-0.0162394845533179,0.064732281886565,-0.0154698324450967,"CHFU","All","code.plant","species"
"17",-0.195719142516853,-0.0390450578904404,0.154056469604385,0.0219940409877499,-0.13935754546497,0.231152383127837,0.0553877888463954,-0.0206652214014489,-0.0409970221986182,-0.0828224769362149,"CHFU","All","code.plant","species"
