"","alpha_hat_ij_MEEL","focal","year","complexity.plant","complexity.animal"
"1",-0.148207926792224,"HOMA","2020","code.plant","species"
"2",-0.16916951308163,"HOMA","2020","code.plant","species"
"3",-0.163293782064217,"HOMA","2020","code.plant","species"
"4",-0.217456260148341,"HOMA","2020","code.plant","species"
"5",-0.0926074168588357,"HOMA","2020","code.plant","species"
"6",-0.176094527546043,"HOMA","2020","code.plant","species"
"7",-0.240676552090706,"HOMA","2020","code.plant","species"
"8",-0.125819503311552,"HOMA","2020","code.plant","species"
"9",-0.169612181820776,"HOMA","2020","code.plant","species"
"10",-0.272619723482412,"HOMA","2020","code.plant","species"
"11",-0.151846375772676,"HOMA","2020","code.plant","species"
"12",-0.319241075107391,"HOMA","2020","code.plant","species"
"13",-0.241136658483927,"HOMA","2020","code.plant","species"
"14",-0.24865082334939,"HOMA","2020","code.plant","species"
"15",-0.154582212637259,"HOMA","2020","code.plant","species"
"16",-0.17495940147326,"HOMA","2020","code.plant","species"
"17",-0.156151177543416,"HOMA","2020","code.plant","species"
"18",-0.234741524817261,"HOMA","2020","code.plant","species"
"19",-0.325568209506148,"HOMA","2020","code.plant","species"
"20",-0.0876983927152617,"HOMA","2020","code.plant","species"
"21",-0.289262320748847,"HOMA","2020","code.plant","species"
"22",-0.182179051309489,"HOMA","2020","code.plant","species"
"23",-0.216654244429136,"HOMA","2020","code.plant","species"
"24",-0.245435242603747,"HOMA","2020","code.plant","species"
"25",-0.200573713286044,"HOMA","2020","code.plant","species"
"26",-0.251742080135567,"HOMA","2020","code.plant","species"
"27",-0.218439151239855,"HOMA","2020","code.plant","species"
"28",-0.143321670976313,"HOMA","2020","code.plant","species"
"29",-0.201583807852219,"HOMA","2020","code.plant","species"
"30",0.00582646377057405,"HOMA","2020","code.plant","species"
"31",0.0481479559626121,"HOMA","2020","code.plant","species"
"32",-0.222227679500142,"HOMA","2020","code.plant","species"
"33",-0.266032418312088,"HOMA","2020","code.plant","species"
"34",-0.157256990447584,"HOMA","2020","code.plant","species"
"35",-0.120420311797881,"HOMA","2020","code.plant","species"
"36",-0.378209784028101,"HOMA","2020","code.plant","species"
"37",-0.248359273487003,"HOMA","2020","code.plant","species"
"38",-0.270779256712143,"HOMA","2020","code.plant","species"
"39",-0.224343053345702,"HOMA","2020","code.plant","species"
"40",-0.183391935327499,"HOMA","2020","code.plant","species"
"41",-0.271596683126014,"HOMA","2020","code.plant","species"
"42",-0.0849998506412665,"HOMA","2020","code.plant","species"
"43",-0.187508764343712,"HOMA","2020","code.plant","species"
"44",-0.0780078148096074,"HOMA","2020","code.plant","species"
"45",-0.262871537819875,"HOMA","2020","code.plant","species"
"46",-0.282983293522041,"HOMA","2020","code.plant","species"
"47",-0.149744456180194,"HOMA","2020","code.plant","species"
"48",-0.290824238008129,"HOMA","2020","code.plant","species"
"49",-0.196093462692801,"HOMA","2020","code.plant","species"
"50",-0.191193609968532,"HOMA","2020","code.plant","species"
"51",-0.201129064514178,"HOMA","2020","code.plant","species"
"52",-0.312868586293989,"HOMA","2020","code.plant","species"
"53",-0.308609424270891,"HOMA","2020","code.plant","species"
"54",-0.238797630250372,"HOMA","2020","code.plant","species"
"55",-0.18009819064257,"HOMA","2020","code.plant","species"
"56",-0.143190805488549,"HOMA","2020","code.plant","species"
"57",-0.120192190499769,"HOMA","2020","code.plant","species"
"58",-0.148305144700487,"HOMA","2020","code.plant","species"
"59",-0.207838489070651,"HOMA","2020","code.plant","species"
"60",-0.0652815253177527,"HOMA","2020","code.plant","species"
"61",-0.104038385955264,"HOMA","2020","code.plant","species"
"62",-0.139238381991471,"HOMA","2020","code.plant","species"
"63",-0.17913299431171,"HOMA","2020","code.plant","species"
"64",-0.196474278181885,"HOMA","2020","code.plant","species"
"65",-0.171907430598411,"HOMA","2020","code.plant","species"
"66",-0.0923531337717625,"HOMA","2020","code.plant","species"
"67",-0.128201738575383,"HOMA","2020","code.plant","species"
"68",-0.291401526616523,"HOMA","2020","code.plant","species"
"69",-0.251080365055515,"HOMA","2020","code.plant","species"
"70",-0.0836266183028074,"HOMA","2020","code.plant","species"
"71",-0.135302934244434,"HOMA","2020","code.plant","species"
"72",-0.147149614876635,"HOMA","2020","code.plant","species"
"73",-0.124131239359002,"HOMA","2020","code.plant","species"
"74",-0.16699096613877,"HOMA","2020","code.plant","species"
"75",-0.0898811363672454,"HOMA","2020","code.plant","species"
"76",-0.132022729669673,"HOMA","2020","code.plant","species"
"77",-0.160565175345945,"HOMA","2020","code.plant","species"
"78",-0.225913220354601,"HOMA","2020","code.plant","species"
"79",-0.236096190306669,"HOMA","2020","code.plant","species"
"80",-0.22275424901704,"HOMA","2020","code.plant","species"
"81",-0.0878305631144292,"HOMA","2020","code.plant","species"
"82",-0.152258862128038,"HOMA","2020","code.plant","species"
"83",-0.0798728151967429,"HOMA","2020","code.plant","species"
"84",-0.155852194404462,"HOMA","2020","code.plant","species"
"85",-0.308531082028045,"HOMA","2020","code.plant","species"
"86",-0.19267291645597,"HOMA","2020","code.plant","species"
"87",-0.373674902355817,"HOMA","2020","code.plant","species"
"88",-0.200873117804836,"HOMA","2020","code.plant","species"
"89",-0.289360180755981,"HOMA","2020","code.plant","species"
"90",-0.311932460617135,"HOMA","2020","code.plant","species"
"91",-0.0308719042914599,"HOMA","2020","code.plant","species"
"92",-0.218544553523779,"HOMA","2020","code.plant","species"
"93",-0.108662652543692,"HOMA","2020","code.plant","species"
"94",-0.253764763264635,"HOMA","2020","code.plant","species"
"95",-0.220552046665885,"HOMA","2020","code.plant","species"
"96",-0.189195757903879,"HOMA","2020","code.plant","species"
"97",-0.194899472507798,"HOMA","2020","code.plant","species"
"98",-0.115612563596714,"HOMA","2020","code.plant","species"
"99",-0.30828667682794,"HOMA","2020","code.plant","species"
"100",-0.152100524168935,"HOMA","2020","code.plant","species"
"101",-0.281000133102199,"HOMA","2020","code.plant","species"
"102",-0.063704782849648,"HOMA","2020","code.plant","species"
"103",-0.101642364472743,"HOMA","2020","code.plant","species"
"104",-0.207873236994876,"HOMA","2020","code.plant","species"
"105",-0.225859678815321,"HOMA","2020","code.plant","species"
"106",-0.0202035984740564,"HOMA","2020","code.plant","species"
"107",-0.177191706507412,"HOMA","2020","code.plant","species"
"108",-0.204715026726377,"HOMA","2020","code.plant","species"
"109",-0.220243735452624,"HOMA","2020","code.plant","species"
"110",-0.275120674971475,"HOMA","2020","code.plant","species"
"111",-0.149770336074196,"HOMA","2020","code.plant","species"
"112",-0.263192520124137,"HOMA","2020","code.plant","species"
"113",-0.243179640548642,"HOMA","2020","code.plant","species"
"114",-0.260310804890564,"HOMA","2020","code.plant","species"
"115",-0.299975550631832,"HOMA","2020","code.plant","species"
"116",-0.253873945731512,"HOMA","2020","code.plant","species"
"117",-0.235025509180567,"HOMA","2020","code.plant","species"
"118",-0.333204912733583,"HOMA","2020","code.plant","species"
"119",-0.105483416375849,"HOMA","2020","code.plant","species"
"120",-0.285897203521456,"HOMA","2020","code.plant","species"
"121",-0.201155919800932,"HOMA","2020","code.plant","species"
"122",-0.267669819681988,"HOMA","2020","code.plant","species"
"123",-0.19584781076371,"HOMA","2020","code.plant","species"
"124",-0.184275792835099,"HOMA","2020","code.plant","species"
"125",-0.169042839679658,"HOMA","2020","code.plant","species"
"126",-0.199042316025019,"HOMA","2020","code.plant","species"
"127",-0.138215884369004,"HOMA","2020","code.plant","species"
"128",-0.0553481629269773,"HOMA","2020","code.plant","species"
"129",-0.220252127279858,"HOMA","2020","code.plant","species"
"130",-0.229732638149834,"HOMA","2020","code.plant","species"
"131",-0.295814345509397,"HOMA","2020","code.plant","species"
