"","alpha_hat_ij_Caryophyllaceae","focal","year","complexity.plant","complexity.animal"
"1",0.0262387547271357,"HOMA","All","family","family"
"2",0.131096880358251,"HOMA","All","family","family"
"3",0.19300165018863,"HOMA","All","family","family"
"4",0.225978191977466,"HOMA","All","family","family"
"5",0.24540456934303,"HOMA","All","family","family"
"6",0.00479327045959854,"HOMA","All","family","family"
"7",0.0526248440482597,"HOMA","All","family","family"
"8",0.190524879653541,"HOMA","All","family","family"
"9",0.0780118985151383,"HOMA","All","family","family"
"10",0.0840798700347105,"HOMA","All","family","family"
"11",0.0334754986973473,"HOMA","All","family","family"
"12",0.0260758372266612,"HOMA","All","family","family"
"13",0.107446146456118,"HOMA","All","family","family"
"14",-0.0510592117073191,"HOMA","All","family","family"
"15",0.15474942497549,"HOMA","All","family","family"
"16",0.116879929657909,"HOMA","All","family","family"
"17",0.277812620711759,"HOMA","All","family","family"
"18",0.244617282153551,"HOMA","All","family","family"
"19",0.0696147166592187,"HOMA","All","family","family"
"20",0.268600134743442,"HOMA","All","family","family"
"21",0.19701318011557,"HOMA","All","family","family"
"22",0.275343783004537,"HOMA","All","family","family"
"23",0.240385692531772,"HOMA","All","family","family"
"24",0.127873057200826,"HOMA","All","family","family"
"25",0.171609960167355,"HOMA","All","family","family"
"26",0.258044377657632,"HOMA","All","family","family"
"27",-0.00938926781688398,"HOMA","All","family","family"
"28",-0.0830086429267995,"HOMA","All","family","family"
"29",-0.0552150345181938,"HOMA","All","family","family"
"30",0.155891252121411,"HOMA","All","family","family"
"31",0.0667929009169745,"HOMA","All","family","family"
"32",0.152438470308602,"HOMA","All","family","family"
"33",0.240042211746968,"HOMA","All","family","family"
"34",0.197449464720892,"HOMA","All","family","family"
"35",0.025538669812053,"HOMA","All","family","family"
"36",-0.0984324496906938,"HOMA","All","family","family"
"37",0.160293886397959,"HOMA","All","family","family"
"38",0.170958233346853,"HOMA","All","family","family"
"39",0.104568814058462,"HOMA","All","family","family"
"40",0.192071386966546,"HOMA","All","family","family"
"41",0.165356454379863,"HOMA","All","family","family"
"42",0.155333300569974,"HOMA","All","family","family"
"43",0.0668105789957243,"HOMA","All","family","family"
"44",0.196218831537983,"HOMA","All","family","family"
"45",0.0941610394286096,"HOMA","All","family","family"
"46",-0.0142198004751648,"HOMA","All","family","family"
"47",0.0107241747292817,"HOMA","All","family","family"
"48",0.0454375250583521,"HOMA","All","family","family"
"49",0.0102714666853954,"HOMA","All","family","family"
"50",0.140801645155903,"HOMA","All","family","family"
"51",0.19116098723743,"HOMA","All","family","family"
"52",0.101295422481577,"HOMA","All","family","family"
"53",0.110431986567063,"HOMA","All","family","family"
"54",0.244647160453501,"HOMA","All","family","family"
"55",0.288621893796688,"HOMA","All","family","family"
"56",0.084572616684031,"HOMA","All","family","family"
"57",0.143935762782508,"HOMA","All","family","family"
"58",0.138370896284027,"HOMA","All","family","family"
"59",0.166651468043867,"HOMA","All","family","family"
"60",0.144942786391512,"HOMA","All","family","family"
"61",0.225991642144571,"HOMA","All","family","family"
"62",0.0536665588461331,"HOMA","All","family","family"
"63",0.19301107980978,"HOMA","All","family","family"
"64",0.0971887065350137,"HOMA","All","family","family"
"65",-0.011782905340799,"HOMA","All","family","family"
"66",0.21820491379873,"HOMA","All","family","family"
"67",0.112503942999489,"HOMA","All","family","family"
"68",0.0119445243305936,"HOMA","All","family","family"
"69",-0.0454792838808161,"HOMA","All","family","family"
"70",0.3043412528517,"HOMA","All","family","family"
"71",0.247641931367195,"HOMA","All","family","family"
"72",0.0889434941035012,"HOMA","All","family","family"
"73",0.143111081752411,"HOMA","All","family","family"
"74",0.149478243076823,"HOMA","All","family","family"
"75",0.197039290817173,"HOMA","All","family","family"
"76",0.32746656113954,"HOMA","All","family","family"
"77",0.186141634093872,"HOMA","All","family","family"
"78",0.283850819684408,"HOMA","All","family","family"
"79",0.161224116065586,"HOMA","All","family","family"
"80",0.146166232372976,"HOMA","All","family","family"
"81",0.177705888696272,"HOMA","All","family","family"
"82",0.298284513189738,"HOMA","All","family","family"
"83",0.106526418999929,"HOMA","All","family","family"
"84",-0.00113721619904472,"HOMA","All","family","family"
"85",0.155797264560989,"HOMA","All","family","family"
"86",0.195212356797547,"HOMA","All","family","family"
"87",0.187922914043071,"HOMA","All","family","family"
"88",0.0783995898020919,"HOMA","All","family","family"
"89",0.0969694098051825,"HOMA","All","family","family"
"90",0.112365097413805,"HOMA","All","family","family"
"91",0.109997632125304,"HOMA","All","family","family"
"92",-0.0629688319921408,"HOMA","All","family","family"
"93",0.0546182505176063,"HOMA","All","family","family"
"94",0.343715792234581,"HOMA","All","family","family"
"95",-0.0136578153759918,"HOMA","All","family","family"
"96",0.00286989145407746,"HOMA","All","family","family"
"97",0.260083775870227,"HOMA","All","family","family"
"98",-0.0147378879999592,"HOMA","All","family","family"
"99",0.104974800626791,"HOMA","All","family","family"
"100",0.101829541642605,"HOMA","All","family","family"
"101",0.162633580835966,"HOMA","All","family","family"
"102",0.0375025032274692,"HOMA","All","family","family"
"103",0.183036454007105,"HOMA","All","family","family"
"104",0.258949830322315,"HOMA","All","family","family"
"105",0.249071859109001,"HOMA","All","family","family"
"106",0.172854062271839,"HOMA","All","family","family"
