"","alpha_hat_ij_Poaceae","focal","year","complexity.plant","complexity.animal"
"1",-0.200952153920504,"LEMA","2019","family","family"
"2",-0.168295242137806,"LEMA","2019","family","family"
"3",-0.081083237211548,"LEMA","2019","family","family"
"4",-0.130676961663538,"LEMA","2019","family","family"
"5",-0.333158143803198,"LEMA","2019","family","family"
"6",-0.137979151850465,"LEMA","2019","family","family"
"7",-0.130262016830399,"LEMA","2019","family","family"
"8",-0.143821580227112,"LEMA","2019","family","family"
"9",-0.17080249580768,"LEMA","2019","family","family"
"10",-0.225110077251211,"LEMA","2019","family","family"
"11",-0.170159170513431,"LEMA","2019","family","family"
"12",-0.158426466697504,"LEMA","2019","family","family"
"13",-0.236511965356144,"LEMA","2019","family","family"
"14",-0.192309470881572,"LEMA","2019","family","family"
"15",-0.210578340871523,"LEMA","2019","family","family"
"16",-0.265389614994039,"LEMA","2019","family","family"
"17",-0.184313789184251,"LEMA","2019","family","family"
"18",-0.168888237700052,"LEMA","2019","family","family"
"19",-0.11581585856852,"LEMA","2019","family","family"
"20",-0.109799395648749,"LEMA","2019","family","family"
"21",-0.150950713779783,"LEMA","2019","family","family"
"22",-0.16354170475541,"LEMA","2019","family","family"
"23",-0.130576293827979,"LEMA","2019","family","family"
"24",-0.114283688904608,"LEMA","2019","family","family"
"25",-0.132589222192213,"LEMA","2019","family","family"
"26",-0.17486532178326,"LEMA","2019","family","family"
"27",-0.092401427976868,"LEMA","2019","family","family"
"28",-0.196586008807405,"LEMA","2019","family","family"
"29",-0.220474367876786,"LEMA","2019","family","family"
"30",-0.0744393222254844,"LEMA","2019","family","family"
"31",-0.300994746078081,"LEMA","2019","family","family"
"32",-0.34246046878072,"LEMA","2019","family","family"
"33",-0.115341915195265,"LEMA","2019","family","family"
"34",-0.175719542443,"LEMA","2019","family","family"
"35",-0.155978271216366,"LEMA","2019","family","family"
"36",-0.182846596686252,"LEMA","2019","family","family"
"37",-0.24297912704263,"LEMA","2019","family","family"
"38",-0.177033064656791,"LEMA","2019","family","family"
"39",-0.13829159326648,"LEMA","2019","family","family"
"40",-0.156542928104483,"LEMA","2019","family","family"
"41",-0.150315079721878,"LEMA","2019","family","family"
"42",-0.210825265653213,"LEMA","2019","family","family"
"43",-0.109003094696653,"LEMA","2019","family","family"
"44",-0.230765986239292,"LEMA","2019","family","family"
"45",-0.180957878449761,"LEMA","2019","family","family"
"46",-0.0913532213962683,"LEMA","2019","family","family"
"47",-0.305093613833529,"LEMA","2019","family","family"
"48",-0.194181405379952,"LEMA","2019","family","family"
"49",-0.246210161659255,"LEMA","2019","family","family"
"50",-0.180647164815575,"LEMA","2019","family","family"
"51",-0.153153813879241,"LEMA","2019","family","family"
"52",-0.196814444155986,"LEMA","2019","family","family"
"53",-0.22277965122659,"LEMA","2019","family","family"
"54",-0.237737653858894,"LEMA","2019","family","family"
"55",-0.198845714389956,"LEMA","2019","family","family"
"56",-0.202367126567628,"LEMA","2019","family","family"
"57",-0.198411982862837,"LEMA","2019","family","family"
"58",-0.189414042105096,"LEMA","2019","family","family"
"59",-0.254501128444555,"LEMA","2019","family","family"
"60",-0.13447017183625,"LEMA","2019","family","family"
"61",-0.206206205510926,"LEMA","2019","family","family"
"62",-0.282664267768293,"LEMA","2019","family","family"
"63",-0.21753385022328,"LEMA","2019","family","family"
"64",-0.163834175934642,"LEMA","2019","family","family"
"65",-0.153336603077513,"LEMA","2019","family","family"
"66",-0.219036415533344,"LEMA","2019","family","family"
"67",-0.0814733734486567,"LEMA","2019","family","family"
"68",-0.246236432779275,"LEMA","2019","family","family"
"69",-0.123367904096849,"LEMA","2019","family","family"
"70",-0.131457468929661,"LEMA","2019","family","family"
"71",-0.131109129930704,"LEMA","2019","family","family"
"72",-0.156317552007982,"LEMA","2019","family","family"
"73",-0.239171580218814,"LEMA","2019","family","family"
"74",-0.114547166750309,"LEMA","2019","family","family"
"75",-0.16987372075612,"LEMA","2019","family","family"
"76",-0.212335133653195,"LEMA","2019","family","family"
"77",-0.328974160361825,"LEMA","2019","family","family"
"78",-0.04892167907944,"LEMA","2019","family","family"
"79",-0.211431893710064,"LEMA","2019","family","family"
"80",-0.13079287270707,"LEMA","2019","family","family"
"81",-0.106374451800669,"LEMA","2019","family","family"
"82",-0.16208799633469,"LEMA","2019","family","family"
"83",-0.238889172718493,"LEMA","2019","family","family"
"84",-0.209780644470586,"LEMA","2019","family","family"
"85",-0.0787043736444024,"LEMA","2019","family","family"
"86",-0.215604935601308,"LEMA","2019","family","family"
"87",-0.116561093580129,"LEMA","2019","family","family"
"88",-0.0389586852786921,"LEMA","2019","family","family"
"89",-0.208738903825512,"LEMA","2019","family","family"
"90",-0.17127302245978,"LEMA","2019","family","family"
"91",-0.19912675348376,"LEMA","2019","family","family"
"92",-0.0711173536808347,"LEMA","2019","family","family"
"93",-0.283528469724779,"LEMA","2019","family","family"
"94",-0.215240657484338,"LEMA","2019","family","family"
"95",-0.22442144446678,"LEMA","2019","family","family"
"96",-0.133609780905144,"LEMA","2019","family","family"
"97",-0.0936522172785924,"LEMA","2019","family","family"
