"","alpha_hat_ij_HOMA","focal","year","complexity.plant","complexity.animal"
"1",-0.151665588433776,"LEMA","2020","code.plant","species"
"2",-0.272735131231878,"LEMA","2020","code.plant","species"
"3",-0.19414708622941,"LEMA","2020","code.plant","species"
"4",-0.148652803641967,"LEMA","2020","code.plant","species"
"5",-0.264198685340179,"LEMA","2020","code.plant","species"
"6",-0.281171982397514,"LEMA","2020","code.plant","species"
"7",-0.183224246478582,"LEMA","2020","code.plant","species"
"8",-0.226910012652103,"LEMA","2020","code.plant","species"
"9",-0.193500195935381,"LEMA","2020","code.plant","species"
"10",-0.217388543659554,"LEMA","2020","code.plant","species"
"11",-0.131072698440398,"LEMA","2020","code.plant","species"
"12",-0.128067153707964,"LEMA","2020","code.plant","species"
"13",-0.233013809874525,"LEMA","2020","code.plant","species"
"14",-0.199744612649068,"LEMA","2020","code.plant","species"
"15",-0.187564230690949,"LEMA","2020","code.plant","species"
"16",-0.185556497180539,"LEMA","2020","code.plant","species"
"17",-0.187978731915022,"LEMA","2020","code.plant","species"
"18",-0.134291015239649,"LEMA","2020","code.plant","species"
"19",-0.146934552275438,"LEMA","2020","code.plant","species"
"20",-0.228468026268166,"LEMA","2020","code.plant","species"
"21",-0.140147383525481,"LEMA","2020","code.plant","species"
"22",-0.165772043094572,"LEMA","2020","code.plant","species"
"23",-0.244024357984786,"LEMA","2020","code.plant","species"
"24",-0.227340195694298,"LEMA","2020","code.plant","species"
"25",-0.250609931058635,"LEMA","2020","code.plant","species"
"26",-0.197419894075375,"LEMA","2020","code.plant","species"
"27",-0.084420441337513,"LEMA","2020","code.plant","species"
"28",-0.307288650080555,"LEMA","2020","code.plant","species"
"29",-0.27296092744826,"LEMA","2020","code.plant","species"
"30",-0.317417963129646,"LEMA","2020","code.plant","species"
"31",-0.246220115164872,"LEMA","2020","code.plant","species"
"32",-0.197308315321399,"LEMA","2020","code.plant","species"
"33",-0.159842997468589,"LEMA","2020","code.plant","species"
"34",-0.194014259593042,"LEMA","2020","code.plant","species"
"35",-0.193034035146773,"LEMA","2020","code.plant","species"
"36",-0.25479575356179,"LEMA","2020","code.plant","species"
"37",-0.208666481092732,"LEMA","2020","code.plant","species"
"38",-0.275858296703545,"LEMA","2020","code.plant","species"
"39",-0.163718922155729,"LEMA","2020","code.plant","species"
"40",-0.173381053140985,"LEMA","2020","code.plant","species"
"41",-0.12893529752803,"LEMA","2020","code.plant","species"
"42",-0.223802371883891,"LEMA","2020","code.plant","species"
"43",-0.175005655012155,"LEMA","2020","code.plant","species"
"44",-0.19157813294956,"LEMA","2020","code.plant","species"
"45",-0.23534143908182,"LEMA","2020","code.plant","species"
"46",-0.146541818424224,"LEMA","2020","code.plant","species"
"47",-0.11583046408084,"LEMA","2020","code.plant","species"
"48",-0.163819611864773,"LEMA","2020","code.plant","species"
"49",-0.197090451442258,"LEMA","2020","code.plant","species"
"50",-0.103153427985285,"LEMA","2020","code.plant","species"
"51",-0.232103236295589,"LEMA","2020","code.plant","species"
"52",-0.104645747056681,"LEMA","2020","code.plant","species"
"53",-0.194579271448902,"LEMA","2020","code.plant","species"
"54",-0.17203793557086,"LEMA","2020","code.plant","species"
"55",-0.0988208618409617,"LEMA","2020","code.plant","species"
"56",-0.125248889482349,"LEMA","2020","code.plant","species"
"57",-0.227910425445086,"LEMA","2020","code.plant","species"
"58",-0.206081610663334,"LEMA","2020","code.plant","species"
"59",-0.209994870701855,"LEMA","2020","code.plant","species"
"60",-0.214214503650601,"LEMA","2020","code.plant","species"
"61",-0.236497862023727,"LEMA","2020","code.plant","species"
"62",-0.124150167070031,"LEMA","2020","code.plant","species"
"63",-0.266616712033895,"LEMA","2020","code.plant","species"
"64",-0.216648445430978,"LEMA","2020","code.plant","species"
"65",-0.281101896106548,"LEMA","2020","code.plant","species"
"66",-0.265393005093749,"LEMA","2020","code.plant","species"
"67",-0.231637479488008,"LEMA","2020","code.plant","species"
"68",-0.192942384556263,"LEMA","2020","code.plant","species"
"69",-0.198462604179441,"LEMA","2020","code.plant","species"
"70",-0.243487764570026,"LEMA","2020","code.plant","species"
"71",-0.174953653637145,"LEMA","2020","code.plant","species"
"72",-0.197204365965243,"LEMA","2020","code.plant","species"
"73",-0.184745435135267,"LEMA","2020","code.plant","species"
"74",-0.192218321080945,"LEMA","2020","code.plant","species"
"75",-0.197748823491933,"LEMA","2020","code.plant","species"
"76",-0.172120011390386,"LEMA","2020","code.plant","species"
"77",-0.217516800125678,"LEMA","2020","code.plant","species"
"78",-0.172123641956816,"LEMA","2020","code.plant","species"
"79",-0.185046971491226,"LEMA","2020","code.plant","species"
"80",-0.103447610288058,"LEMA","2020","code.plant","species"
"81",-0.273287337721441,"LEMA","2020","code.plant","species"
"82",-0.163599234028308,"LEMA","2020","code.plant","species"
"83",-0.169148242508597,"LEMA","2020","code.plant","species"
"84",-0.135869064088674,"LEMA","2020","code.plant","species"
"85",-0.260536368771154,"LEMA","2020","code.plant","species"
"86",-0.387805321084316,"LEMA","2020","code.plant","species"
"87",-0.174668539078446,"LEMA","2020","code.plant","species"
"88",-0.205974360492428,"LEMA","2020","code.plant","species"
"89",-0.221055703225536,"LEMA","2020","code.plant","species"
"90",-0.261896147202521,"LEMA","2020","code.plant","species"
"91",-0.168228047276264,"LEMA","2020","code.plant","species"
"92",-0.251273301931649,"LEMA","2020","code.plant","species"
"93",-0.177893499132607,"LEMA","2020","code.plant","species"
"94",-0.164851744481286,"LEMA","2020","code.plant","species"
"95",-0.236720244977208,"LEMA","2020","code.plant","species"
"96",-0.315717678032321,"LEMA","2020","code.plant","species"
"97",-0.175602838303925,"LEMA","2020","code.plant","species"
"98",-0.183112954474843,"LEMA","2020","code.plant","species"
"99",-0.223283422932991,"LEMA","2020","code.plant","species"
"100",-0.12512188049982,"LEMA","2020","code.plant","species"
"101",-0.238992099143071,"LEMA","2020","code.plant","species"
"102",-0.202074262854189,"LEMA","2020","code.plant","species"
"103",-0.154906209917524,"LEMA","2020","code.plant","species"
"104",-0.192782927640112,"LEMA","2020","code.plant","species"
"105",-0.295396539999519,"LEMA","2020","code.plant","species"
"106",-0.138396664965033,"LEMA","2020","code.plant","species"
"107",-0.203346573194671,"LEMA","2020","code.plant","species"
"108",-0.160178063626612,"LEMA","2020","code.plant","species"
"109",-0.223574945708238,"LEMA","2020","code.plant","species"
"110",-0.244172212866117,"LEMA","2020","code.plant","species"
"111",-0.244348541238861,"LEMA","2020","code.plant","species"
"112",-0.356751641688622,"LEMA","2020","code.plant","species"
"113",-0.213983898176124,"LEMA","2020","code.plant","species"
"114",-0.224492721707834,"LEMA","2020","code.plant","species"
"115",-0.185455300814786,"LEMA","2020","code.plant","species"
"116",-0.186901109017778,"LEMA","2020","code.plant","species"
"117",-0.180501506243761,"LEMA","2020","code.plant","species"
"118",-0.274688302646946,"LEMA","2020","code.plant","species"
"119",-0.198105278149934,"LEMA","2020","code.plant","species"
"120",-0.227860508255496,"LEMA","2020","code.plant","species"
"121",-0.205984919718341,"LEMA","2020","code.plant","species"
"122",-0.114082814644816,"LEMA","2020","code.plant","species"
"123",-0.276982360209789,"LEMA","2020","code.plant","species"
"124",-0.207405602053955,"LEMA","2020","code.plant","species"
"125",-0.263592967201273,"LEMA","2020","code.plant","species"
"126",-0.12821897617981,"LEMA","2020","code.plant","species"
"127",-0.144866612655688,"LEMA","2020","code.plant","species"
"128",-0.175334638460971,"LEMA","2020","code.plant","species"
"129",-0.184316387926156,"LEMA","2020","code.plant","species"
"130",-0.267709136810867,"LEMA","2020","code.plant","species"
"131",-0.136496594011927,"LEMA","2020","code.plant","species"
"132",-0.200946884185798,"LEMA","2020","code.plant","species"
"133",-0.271995232978131,"LEMA","2020","code.plant","species"
"134",-0.189976291295748,"LEMA","2020","code.plant","species"
"135",-0.189210519840816,"LEMA","2020","code.plant","species"
"136",-0.215877158877633,"LEMA","2020","code.plant","species"
"137",-0.200942703592069,"LEMA","2020","code.plant","species"
"138",-0.185402010052188,"LEMA","2020","code.plant","species"
"139",-0.0456233915890881,"LEMA","2020","code.plant","species"
"140",-0.161440620054055,"LEMA","2020","code.plant","species"
"141",-0.121679612711316,"LEMA","2020","code.plant","species"
"142",-0.15791431532129,"LEMA","2020","code.plant","species"
"143",-0.273366594658288,"LEMA","2020","code.plant","species"
"144",-0.184467279449843,"LEMA","2020","code.plant","species"
"145",-0.248397791044159,"LEMA","2020","code.plant","species"
"146",-0.164555261140142,"LEMA","2020","code.plant","species"
"147",-0.137297328752284,"LEMA","2020","code.plant","species"
"148",-0.213390170196965,"LEMA","2020","code.plant","species"
"149",-0.267629184264823,"LEMA","2020","code.plant","species"
"150",-0.250509319103304,"LEMA","2020","code.plant","species"
"151",-0.181376644367962,"LEMA","2020","code.plant","species"
"152",-0.116410807381944,"LEMA","2020","code.plant","species"
"153",-0.194854886370619,"LEMA","2020","code.plant","species"
"154",-0.207492575618305,"LEMA","2020","code.plant","species"
"155",-0.206429685165634,"LEMA","2020","code.plant","species"
"156",-0.233217749080454,"LEMA","2020","code.plant","species"
"157",-0.310333755415284,"LEMA","2020","code.plant","species"
"158",-0.237089322581675,"LEMA","2020","code.plant","species"
"159",-0.228672673180352,"LEMA","2020","code.plant","species"
"160",-0.216133176805067,"LEMA","2020","code.plant","species"
"161",-0.0968274564148141,"LEMA","2020","code.plant","species"
"162",-0.208792232969773,"LEMA","2020","code.plant","species"
"163",-0.191756664475903,"LEMA","2020","code.plant","species"
"164",-0.217302881517996,"LEMA","2020","code.plant","species"
"165",-0.229240069188821,"LEMA","2020","code.plant","species"
"166",-0.19573003829162,"LEMA","2020","code.plant","species"
"167",-0.201069244515435,"LEMA","2020","code.plant","species"
"168",-0.218903282931637,"LEMA","2020","code.plant","species"
"169",-0.105311674136006,"LEMA","2020","code.plant","species"
"170",-0.230716665404335,"LEMA","2020","code.plant","species"
"171",-0.125553300473477,"LEMA","2020","code.plant","species"
"172",-0.249845361602149,"LEMA","2020","code.plant","species"
"173",-0.153001478445191,"LEMA","2020","code.plant","species"
"174",-0.259775711743639,"LEMA","2020","code.plant","species"
"175",-0.270798390677092,"LEMA","2020","code.plant","species"
"176",-0.196374318823623,"LEMA","2020","code.plant","species"
"177",-0.146782335451107,"LEMA","2020","code.plant","species"
"178",-0.164710213006993,"LEMA","2020","code.plant","species"
"179",-0.138190134334536,"LEMA","2020","code.plant","species"
"180",-0.228541135602056,"LEMA","2020","code.plant","species"
"181",-0.165504751592565,"LEMA","2020","code.plant","species"
"182",-0.238002492439486,"LEMA","2020","code.plant","species"
"183",-0.11650255438987,"LEMA","2020","code.plant","species"
"184",-0.189486631116317,"LEMA","2020","code.plant","species"
"185",-0.133837799049014,"LEMA","2020","code.plant","species"
"186",-0.135410854264474,"LEMA","2020","code.plant","species"
"187",-0.15935209694806,"LEMA","2020","code.plant","species"
"188",-0.137953961661196,"LEMA","2020","code.plant","species"
"189",-0.175643475241987,"LEMA","2020","code.plant","species"
"190",-0.293229223701228,"LEMA","2020","code.plant","species"
"191",-0.221545805002987,"LEMA","2020","code.plant","species"
"192",-0.156960455003724,"LEMA","2020","code.plant","species"
"193",-0.250324821109571,"LEMA","2020","code.plant","species"
"194",-0.231666146403218,"LEMA","2020","code.plant","species"
"195",-0.151434542740355,"LEMA","2020","code.plant","species"
"196",-0.201092823223687,"LEMA","2020","code.plant","species"
"197",-0.250094526809013,"LEMA","2020","code.plant","species"
"198",-0.156951803493151,"LEMA","2020","code.plant","species"
"199",-0.239294427478227,"LEMA","2020","code.plant","species"
"200",-0.280069150841881,"LEMA","2020","code.plant","species"
"201",-0.132752539904289,"LEMA","2020","code.plant","species"
"202",-0.177158362713434,"LEMA","2020","code.plant","species"
"203",-0.173850522377688,"LEMA","2020","code.plant","species"
"204",-0.284276463994362,"LEMA","2020","code.plant","species"
"205",-0.180140764572598,"LEMA","2020","code.plant","species"
"206",-0.205997102816482,"LEMA","2020","code.plant","species"
"207",-0.222194742155909,"LEMA","2020","code.plant","species"
"208",-0.246668552346909,"LEMA","2020","code.plant","species"
"209",-0.217256489132978,"LEMA","2020","code.plant","species"
"210",-0.245343258857509,"LEMA","2020","code.plant","species"
"211",-0.272901106867542,"LEMA","2020","code.plant","species"
"212",-0.19721581992936,"LEMA","2020","code.plant","species"
"213",-0.171581473204875,"LEMA","2020","code.plant","species"
"214",-0.188585973135156,"LEMA","2020","code.plant","species"
"215",-0.276711982398751,"LEMA","2020","code.plant","species"
"216",-0.184334932797242,"LEMA","2020","code.plant","species"
"217",-0.171809485097693,"LEMA","2020","code.plant","species"
"218",-0.173783659894419,"LEMA","2020","code.plant","species"
"219",-0.214976856612457,"LEMA","2020","code.plant","species"
"220",-0.176596656401932,"LEMA","2020","code.plant","species"
"221",-0.214097227425767,"LEMA","2020","code.plant","species"
"222",-0.288314336471252,"LEMA","2020","code.plant","species"
"223",-0.229561041616216,"LEMA","2020","code.plant","species"
"224",-0.208354909693348,"LEMA","2020","code.plant","species"
"225",-0.214708681543232,"LEMA","2020","code.plant","species"
"226",-0.232133915279195,"LEMA","2020","code.plant","species"
"227",-0.261698076172801,"LEMA","2020","code.plant","species"
"228",-0.215830605553278,"LEMA","2020","code.plant","species"
"229",-0.171061732813653,"LEMA","2020","code.plant","species"
"230",-0.156208316793841,"LEMA","2020","code.plant","species"
"231",-0.233557385702922,"LEMA","2020","code.plant","species"
"232",-0.133432659967312,"LEMA","2020","code.plant","species"
"233",-0.128650400238631,"LEMA","2020","code.plant","species"
"234",-0.180296500848353,"LEMA","2020","code.plant","species"
"235",-0.304884388362135,"LEMA","2020","code.plant","species"
"236",-0.214594622580598,"LEMA","2020","code.plant","species"
"237",-0.249302396381528,"LEMA","2020","code.plant","species"
"238",-0.202312762299719,"LEMA","2020","code.plant","species"
"239",-0.207722932103545,"LEMA","2020","code.plant","species"
"240",-0.217824710704507,"LEMA","2020","code.plant","species"
"241",-0.246487281520061,"LEMA","2020","code.plant","species"
"242",-0.270539142929251,"LEMA","2020","code.plant","species"
"243",-0.138070252393798,"LEMA","2020","code.plant","species"
"244",-0.1601594862472,"LEMA","2020","code.plant","species"
"245",-0.145090601018944,"LEMA","2020","code.plant","species"
"246",-0.283966857177825,"LEMA","2020","code.plant","species"
"247",-0.165879756053188,"LEMA","2020","code.plant","species"
"248",-0.272946739814402,"LEMA","2020","code.plant","species"
"249",-0.248291236719998,"LEMA","2020","code.plant","species"
"250",-0.259624964781469,"LEMA","2020","code.plant","species"
"251",-0.0941233048055731,"LEMA","2020","code.plant","species"
"252",-0.202912562300653,"LEMA","2020","code.plant","species"
"253",-0.223369757334039,"LEMA","2020","code.plant","species"
"254",-0.161146870518101,"LEMA","2020","code.plant","species"
"255",-0.219668230941511,"LEMA","2020","code.plant","species"
"256",-0.180951721626427,"LEMA","2020","code.plant","species"
"257",-0.195197488809301,"LEMA","2020","code.plant","species"
"258",-0.132375581927933,"LEMA","2020","code.plant","species"
"259",-0.233909255488435,"LEMA","2020","code.plant","species"
"260",-0.158169189817161,"LEMA","2020","code.plant","species"
"261",-0.234229175248259,"LEMA","2020","code.plant","species"
"262",-0.326834051070941,"LEMA","2020","code.plant","species"
"263",-0.128900505820836,"LEMA","2020","code.plant","species"
"264",-0.281361662450899,"LEMA","2020","code.plant","species"
"265",-0.220085180185793,"LEMA","2020","code.plant","species"
"266",-0.225147186044985,"LEMA","2020","code.plant","species"
"267",-0.23219155767528,"LEMA","2020","code.plant","species"
"268",-0.187554735702909,"LEMA","2020","code.plant","species"
"269",-0.175396499737944,"LEMA","2020","code.plant","species"
"270",-0.228891802481589,"LEMA","2020","code.plant","species"
"271",-0.208380575269427,"LEMA","2020","code.plant","species"
"272",-0.111883931535884,"LEMA","2020","code.plant","species"
"273",-0.253924249039006,"LEMA","2020","code.plant","species"
"274",-0.207268173624418,"LEMA","2020","code.plant","species"
"275",-0.197063212469409,"LEMA","2020","code.plant","species"
"276",-0.168462933730782,"LEMA","2020","code.plant","species"
"277",-0.262509741755566,"LEMA","2020","code.plant","species"
"278",-0.159238444963566,"LEMA","2020","code.plant","species"
"279",-0.219866911330887,"LEMA","2020","code.plant","species"
"280",-0.276494773117455,"LEMA","2020","code.plant","species"
"281",-0.203973645335464,"LEMA","2020","code.plant","species"
"282",-0.12907565424723,"LEMA","2020","code.plant","species"
"283",-0.203859354464833,"LEMA","2020","code.plant","species"
"284",-0.266009889345995,"LEMA","2020","code.plant","species"
"285",-0.227418997516006,"LEMA","2020","code.plant","species"
"286",-0.173099409602415,"LEMA","2020","code.plant","species"
"287",-0.119371293709746,"LEMA","2020","code.plant","species"
"288",-0.273385864466608,"LEMA","2020","code.plant","species"
"289",-0.27224696213337,"LEMA","2020","code.plant","species"
"290",-0.0826378670008645,"LEMA","2020","code.plant","species"
"291",-0.217740745507913,"LEMA","2020","code.plant","species"
"292",-0.113198085115609,"LEMA","2020","code.plant","species"
"293",-0.227962604141859,"LEMA","2020","code.plant","species"
"294",-0.262890816708713,"LEMA","2020","code.plant","species"
"295",-0.131319479600423,"LEMA","2020","code.plant","species"
"296",-0.27932248588813,"LEMA","2020","code.plant","species"
"297",-0.248028327839628,"LEMA","2020","code.plant","species"
"298",-0.162082067937836,"LEMA","2020","code.plant","species"
"299",-0.183486268148864,"LEMA","2020","code.plant","species"
"300",-0.153098634151519,"LEMA","2020","code.plant","species"
"301",-0.162626719477182,"LEMA","2020","code.plant","species"
"302",-0.208291660743752,"LEMA","2020","code.plant","species"
"303",-0.176323263138005,"LEMA","2020","code.plant","species"
"304",-0.185861954518261,"LEMA","2020","code.plant","species"
"305",-0.183080126132361,"LEMA","2020","code.plant","species"
"306",-0.273058565026501,"LEMA","2020","code.plant","species"
"307",-0.136817966986198,"LEMA","2020","code.plant","species"
"308",-0.229078236632687,"LEMA","2020","code.plant","species"
"309",-0.28004361254294,"LEMA","2020","code.plant","species"
"310",-0.160717477113933,"LEMA","2020","code.plant","species"
"311",-0.229405876076332,"LEMA","2020","code.plant","species"
"312",-0.204035951834485,"LEMA","2020","code.plant","species"
"313",-0.223554007437584,"LEMA","2020","code.plant","species"
"314",-0.224797411802634,"LEMA","2020","code.plant","species"
"315",-0.110945157804015,"LEMA","2020","code.plant","species"
"316",-0.248924561253284,"LEMA","2020","code.plant","species"
"317",-0.146255940355973,"LEMA","2020","code.plant","species"
"318",-0.142138784054724,"LEMA","2020","code.plant","species"
"319",-0.265788344808872,"LEMA","2020","code.plant","species"
"320",-0.160873750492558,"LEMA","2020","code.plant","species"
"321",-0.132103381746465,"LEMA","2020","code.plant","species"
"322",-0.242960788248794,"LEMA","2020","code.plant","species"
"323",-0.333631406339345,"LEMA","2020","code.plant","species"
"324",-0.181685669752423,"LEMA","2020","code.plant","species"
"325",-0.171162644956489,"LEMA","2020","code.plant","species"
"326",-0.119015359568756,"LEMA","2020","code.plant","species"
"327",-0.155351083338755,"LEMA","2020","code.plant","species"
"328",-0.299665721476349,"LEMA","2020","code.plant","species"
"329",-0.265484451902754,"LEMA","2020","code.plant","species"
"330",-0.267789855445455,"LEMA","2020","code.plant","species"
"331",-0.166791088230798,"LEMA","2020","code.plant","species"
"332",-0.184611343526641,"LEMA","2020","code.plant","species"
"333",-0.207944250960534,"LEMA","2020","code.plant","species"
"334",-0.158700434547491,"LEMA","2020","code.plant","species"
"335",-0.247395878752362,"LEMA","2020","code.plant","species"
"336",-0.227105732981319,"LEMA","2020","code.plant","species"
"337",-0.252332612584998,"LEMA","2020","code.plant","species"
"338",-0.319202976506941,"LEMA","2020","code.plant","species"
"339",-0.208556117251551,"LEMA","2020","code.plant","species"
"340",-0.247055131257215,"LEMA","2020","code.plant","species"
"341",-0.18666610065998,"LEMA","2020","code.plant","species"
"342",-0.267549481310731,"LEMA","2020","code.plant","species"
"343",-0.195429317775745,"LEMA","2020","code.plant","species"
"344",-0.251811028713566,"LEMA","2020","code.plant","species"
"345",-0.144928644162706,"LEMA","2020","code.plant","species"
"346",-0.206247313501263,"LEMA","2020","code.plant","species"
"347",-0.228594298413882,"LEMA","2020","code.plant","species"
"348",-0.140711182014454,"LEMA","2020","code.plant","species"
"349",-0.215437585862618,"LEMA","2020","code.plant","species"
"350",-0.169374387934185,"LEMA","2020","code.plant","species"
"351",-0.191370570960801,"LEMA","2020","code.plant","species"
"352",-0.212502974426896,"LEMA","2020","code.plant","species"
"353",-0.176562990063782,"LEMA","2020","code.plant","species"
"354",-0.125831886648352,"LEMA","2020","code.plant","species"
"355",-0.185371468964416,"LEMA","2020","code.plant","species"
"356",-0.249170467418676,"LEMA","2020","code.plant","species"
"357",-0.25663823787336,"LEMA","2020","code.plant","species"
"358",-0.242726015898453,"LEMA","2020","code.plant","species"
"359",-0.242777587411699,"LEMA","2020","code.plant","species"
"360",-0.165183706289911,"LEMA","2020","code.plant","species"
"361",-0.235456157281495,"LEMA","2020","code.plant","species"
"362",-0.140696924152196,"LEMA","2020","code.plant","species"
"363",-0.178535971107391,"LEMA","2020","code.plant","species"
"364",-0.255667882289361,"LEMA","2020","code.plant","species"
"365",-0.204038746202125,"LEMA","2020","code.plant","species"
"366",-0.0905429071349633,"LEMA","2020","code.plant","species"
"367",-0.160492392585907,"LEMA","2020","code.plant","species"
"368",-0.235542637440503,"LEMA","2020","code.plant","species"
"369",-0.140674161032006,"LEMA","2020","code.plant","species"
"370",-0.103857763719852,"LEMA","2020","code.plant","species"
"371",-0.185413000670222,"LEMA","2020","code.plant","species"
"372",-0.262112366500922,"LEMA","2020","code.plant","species"
"373",-0.225989231671597,"LEMA","2020","code.plant","species"
"374",-0.192063429802946,"LEMA","2020","code.plant","species"
"375",-0.21466823635333,"LEMA","2020","code.plant","species"
"376",-0.0959717124458677,"LEMA","2020","code.plant","species"
"377",-0.282354563908348,"LEMA","2020","code.plant","species"
"378",-0.13264409027416,"LEMA","2020","code.plant","species"
"379",-0.270993152131662,"LEMA","2020","code.plant","species"
"380",-0.193818479830891,"LEMA","2020","code.plant","species"
"381",-0.130439735139807,"LEMA","2020","code.plant","species"
"382",-0.192694091932752,"LEMA","2020","code.plant","species"
"383",-0.139601369703127,"LEMA","2020","code.plant","species"
"384",-0.158751523061713,"LEMA","2020","code.plant","species"
"385",-0.242144175085016,"LEMA","2020","code.plant","species"
"386",-0.128717942664238,"LEMA","2020","code.plant","species"
"387",-0.192330403012341,"LEMA","2020","code.plant","species"
"388",-0.226384430428598,"LEMA","2020","code.plant","species"
"389",-0.225552688380288,"LEMA","2020","code.plant","species"
"390",-0.356628754829916,"LEMA","2020","code.plant","species"
"391",-0.251981612250793,"LEMA","2020","code.plant","species"
"392",-0.169182030923821,"LEMA","2020","code.plant","species"
"393",-0.247466389978729,"LEMA","2020","code.plant","species"
"394",-0.303798405171687,"LEMA","2020","code.plant","species"
"395",-0.247077691014108,"LEMA","2020","code.plant","species"
"396",-0.261239366718346,"LEMA","2020","code.plant","species"
"397",-0.291219270308969,"LEMA","2020","code.plant","species"
"398",-0.191380933786768,"LEMA","2020","code.plant","species"
"399",-0.190572074020015,"LEMA","2020","code.plant","species"
"400",-0.194773896320922,"LEMA","2020","code.plant","species"
