"","alpha_hat_ij_Grass","focal","year","complexity.plant","complexity.animal"
"1",-0.257463970339946,"LEMA","2021","class","group"
"2",-0.230723280484048,"LEMA","2021","class","group"
"3",-0.21968496722638,"LEMA","2021","class","group"
"4",-0.111932362803741,"LEMA","2021","class","group"
"5",-0.187913091367215,"LEMA","2021","class","group"
"6",-0.131957455457565,"LEMA","2021","class","group"
"7",-0.189354000708796,"LEMA","2021","class","group"
"8",-0.140249159766701,"LEMA","2021","class","group"
"9",-0.149501895310483,"LEMA","2021","class","group"
"10",-0.184500246923641,"LEMA","2021","class","group"
"11",-0.149774271171236,"LEMA","2021","class","group"
"12",-0.0701276849947187,"LEMA","2021","class","group"
"13",-0.173933087036189,"LEMA","2021","class","group"
"14",-0.137853542142469,"LEMA","2021","class","group"
"15",-0.180716260739554,"LEMA","2021","class","group"
"16",-0.172273680606882,"LEMA","2021","class","group"
"17",0.00793967717811039,"LEMA","2021","class","group"
"18",-0.114078779796622,"LEMA","2021","class","group"
"19",-0.0970941804519425,"LEMA","2021","class","group"
"20",-0.167959537471759,"LEMA","2021","class","group"
"21",-0.155285081258031,"LEMA","2021","class","group"
"22",-0.158468466712369,"LEMA","2021","class","group"
"23",-0.193855733725234,"LEMA","2021","class","group"
"24",-0.161486070200114,"LEMA","2021","class","group"
"25",-0.121795072107267,"LEMA","2021","class","group"
"26",-0.112867371544384,"LEMA","2021","class","group"
"27",-0.157799725320257,"LEMA","2021","class","group"
"28",-0.147105711565104,"LEMA","2021","class","group"
"29",-0.15549718451848,"LEMA","2021","class","group"
"30",-0.192658326760433,"LEMA","2021","class","group"
"31",-0.139344082044922,"LEMA","2021","class","group"
"32",-0.112821699486141,"LEMA","2021","class","group"
"33",-0.218333064834994,"LEMA","2021","class","group"
"34",-0.0220298583569976,"LEMA","2021","class","group"
"35",-0.186662800298293,"LEMA","2021","class","group"
"36",-0.182250677732899,"LEMA","2021","class","group"
"37",-0.123568103308953,"LEMA","2021","class","group"
"38",-0.0886883545115936,"LEMA","2021","class","group"
"39",-0.181602102162234,"LEMA","2021","class","group"
"40",-0.134440872687768,"LEMA","2021","class","group"
"41",-0.0857250868607844,"LEMA","2021","class","group"
"42",-0.157750482061614,"LEMA","2021","class","group"
"43",-0.247136409270484,"LEMA","2021","class","group"
"44",-0.12684161874741,"LEMA","2021","class","group"
"45",-0.193634352328249,"LEMA","2021","class","group"
"46",-0.176559784939119,"LEMA","2021","class","group"
"47",-0.11129543199628,"LEMA","2021","class","group"
"48",-0.264769469933814,"LEMA","2021","class","group"
"49",-0.172471134357639,"LEMA","2021","class","group"
"50",-0.195687805861677,"LEMA","2021","class","group"
"51",-0.0877142440649227,"LEMA","2021","class","group"
"52",-0.0834157836264822,"LEMA","2021","class","group"
"53",-0.134241880928797,"LEMA","2021","class","group"
"54",-0.0404888348430549,"LEMA","2021","class","group"
"55",-0.154189375884204,"LEMA","2021","class","group"
"56",-0.129528321128337,"LEMA","2021","class","group"
"57",-0.211014664199431,"LEMA","2021","class","group"
"58",-0.0738107504942169,"LEMA","2021","class","group"
"59",-0.278210149900159,"LEMA","2021","class","group"
"60",-0.0591927586282209,"LEMA","2021","class","group"
"61",-0.0568072960096183,"LEMA","2021","class","group"
"62",-0.194729272359112,"LEMA","2021","class","group"
"63",-0.141324826289079,"LEMA","2021","class","group"
"64",-0.178772135296249,"LEMA","2021","class","group"
"65",-0.195945465986924,"LEMA","2021","class","group"
"66",-0.230775562540762,"LEMA","2021","class","group"
"67",-0.173654623930779,"LEMA","2021","class","group"
"68",-0.0254557993519308,"LEMA","2021","class","group"
"69",-0.0754182234596307,"LEMA","2021","class","group"
"70",-0.245250039055064,"LEMA","2021","class","group"
"71",-0.0665503161959857,"LEMA","2021","class","group"
"72",-0.146473477013276,"LEMA","2021","class","group"
"73",-0.27708180125907,"LEMA","2021","class","group"
"74",-0.240464885270341,"LEMA","2021","class","group"
"75",-0.364285899691672,"LEMA","2021","class","group"
"76",-0.179675552688069,"LEMA","2021","class","group"
"77",-0.0764650543064707,"LEMA","2021","class","group"
"78",-0.105601678141231,"LEMA","2021","class","group"
"79",-0.16848469696458,"LEMA","2021","class","group"
"80",-0.283464683868622,"LEMA","2021","class","group"
"81",-0.151328835387136,"LEMA","2021","class","group"
"82",-0.167975506185565,"LEMA","2021","class","group"
"83",-0.248975421005372,"LEMA","2021","class","group"
"84",-0.100191305722641,"LEMA","2021","class","group"
"85",-0.206381664715594,"LEMA","2021","class","group"
"86",-0.162919910525342,"LEMA","2021","class","group"
"87",-0.0254034476701892,"LEMA","2021","class","group"
"88",-0.0939485845436659,"LEMA","2021","class","group"
"89",-0.0730853438087654,"LEMA","2021","class","group"
"90",-0.238342156407833,"LEMA","2021","class","group"
"91",-0.146747556639209,"LEMA","2021","class","group"
"92",-0.146160926235253,"LEMA","2021","class","group"
"93",-0.263764813099005,"LEMA","2021","class","group"
"94",-0.11897562881641,"LEMA","2021","class","group"
"95",-0.0994023029604497,"LEMA","2021","class","group"
"96",-0.191961824344579,"LEMA","2021","class","group"
"97",-0.0569577037993049,"LEMA","2021","class","group"
"98",-0.137075579256722,"LEMA","2021","class","group"
"99",-0.110354844068816,"LEMA","2021","class","group"
"100",-0.194459842377707,"LEMA","2021","class","group"
"101",-0.0728775289818896,"LEMA","2021","class","group"
"102",-0.0681094489828775,"LEMA","2021","class","group"
"103",-0.0937426990331176,"LEMA","2021","class","group"
"104",-0.20372138771669,"LEMA","2021","class","group"
"105",-0.0506735292410193,"LEMA","2021","class","group"
"106",-0.161474687036728,"LEMA","2021","class","group"
"107",-0.169514638520582,"LEMA","2021","class","group"
"108",-0.083730514491724,"LEMA","2021","class","group"
"109",-0.139662987385513,"LEMA","2021","class","group"
"110",-0.0860752993651241,"LEMA","2021","class","group"
"111",-0.245106426272056,"LEMA","2021","class","group"
"112",-0.0863177955233917,"LEMA","2021","class","group"
"113",-0.206161926744443,"LEMA","2021","class","group"
"114",-0.14104034676232,"LEMA","2021","class","group"
"115",-0.157074558800349,"LEMA","2021","class","group"
"116",-0.250845658443703,"LEMA","2021","class","group"
"117",-0.175967384235412,"LEMA","2021","class","group"
"118",-0.291800843085056,"LEMA","2021","class","group"
"119",-0.272310554356453,"LEMA","2021","class","group"
"120",-0.217258705184047,"LEMA","2021","class","group"
"121",-0.14715539498663,"LEMA","2021","class","group"
"122",-0.273772520571207,"LEMA","2021","class","group"
"123",-0.26821075863157,"LEMA","2021","class","group"
"124",-0.153147975569021,"LEMA","2021","class","group"
"125",-0.172775180674069,"LEMA","2021","class","group"
"126",-0.171602284465141,"LEMA","2021","class","group"
"127",-0.112529286977576,"LEMA","2021","class","group"
"128",-0.217913246642188,"LEMA","2021","class","group"
"129",-0.315987426668176,"LEMA","2021","class","group"
"130",-0.100759242265274,"LEMA","2021","class","group"
"131",-0.131605331947952,"LEMA","2021","class","group"
"132",-0.107616829350366,"LEMA","2021","class","group"
"133",-0.159178060873682,"LEMA","2021","class","group"
"134",-0.198494001734308,"LEMA","2021","class","group"
"135",-0.169102985449254,"LEMA","2021","class","group"
"136",-0.139963785625791,"LEMA","2021","class","group"
"137",-0.176659076112787,"LEMA","2021","class","group"
"138",-0.102130165754307,"LEMA","2021","class","group"
"139",0.0171746780327542,"LEMA","2021","class","group"
"140",-0.133944827328453,"LEMA","2021","class","group"
"141",-0.189986572673954,"LEMA","2021","class","group"
"142",-0.169203263946202,"LEMA","2021","class","group"
"143",-0.159854957987508,"LEMA","2021","class","group"
"144",-0.170246322417216,"LEMA","2021","class","group"
"145",-0.184182973889909,"LEMA","2021","class","group"
"146",-0.0918775270881826,"LEMA","2021","class","group"
"147",-0.118982937295724,"LEMA","2021","class","group"
"148",-0.0215773695836023,"LEMA","2021","class","group"
"149",-0.151349241550668,"LEMA","2021","class","group"
"150",-0.151717890720151,"LEMA","2021","class","group"
"151",-0.169311610461272,"LEMA","2021","class","group"
"152",-0.192004889906052,"LEMA","2021","class","group"
"153",-0.271312737372647,"LEMA","2021","class","group"
"154",-0.140746388022806,"LEMA","2021","class","group"
"155",-0.0618447454142981,"LEMA","2021","class","group"
"156",-0.123209035050702,"LEMA","2021","class","group"
"157",-0.146572606676561,"LEMA","2021","class","group"
"158",-0.206823302330489,"LEMA","2021","class","group"
"159",-0.121793479782486,"LEMA","2021","class","group"
"160",-0.134570726075295,"LEMA","2021","class","group"
"161",-0.122753513437669,"LEMA","2021","class","group"
"162",-0.22716044220841,"LEMA","2021","class","group"
"163",-0.224366920478525,"LEMA","2021","class","group"
"164",-0.0895262294520143,"LEMA","2021","class","group"
"165",-0.110272544037554,"LEMA","2021","class","group"
"166",-0.0965651095193628,"LEMA","2021","class","group"
"167",-0.055788468233234,"LEMA","2021","class","group"
"168",-0.116475038900635,"LEMA","2021","class","group"
"169",-0.0973621599408427,"LEMA","2021","class","group"
"170",0.0439626172558092,"LEMA","2021","class","group"
"171",-0.165622944621089,"LEMA","2021","class","group"
"172",-0.173425401734339,"LEMA","2021","class","group"
"173",-0.0935172504870928,"LEMA","2021","class","group"
"174",-0.138941293863462,"LEMA","2021","class","group"
"175",-0.0467718693486767,"LEMA","2021","class","group"
"176",-0.203821743635016,"LEMA","2021","class","group"
"177",-0.0959255604823152,"LEMA","2021","class","group"
"178",-0.199959536793818,"LEMA","2021","class","group"
"179",-0.0977580783676996,"LEMA","2021","class","group"
"180",-0.198986843842218,"LEMA","2021","class","group"
"181",-0.167514996432056,"LEMA","2021","class","group"
"182",-0.141721828156022,"LEMA","2021","class","group"
"183",-0.128897695176648,"LEMA","2021","class","group"
"184",-0.135477304962154,"LEMA","2021","class","group"
"185",-0.114153375075252,"LEMA","2021","class","group"
"186",-0.165886178382252,"LEMA","2021","class","group"
"187",-0.0868406048325553,"LEMA","2021","class","group"
"188",-0.180047108365386,"LEMA","2021","class","group"
"189",-0.165253241909792,"LEMA","2021","class","group"
"190",-0.292389595603204,"LEMA","2021","class","group"
"191",-0.200192840404318,"LEMA","2021","class","group"
"192",-0.191040203661413,"LEMA","2021","class","group"
"193",-0.163778113094415,"LEMA","2021","class","group"
"194",-0.246248983836795,"LEMA","2021","class","group"
"195",-0.225318712146807,"LEMA","2021","class","group"
"196",-0.109701686316986,"LEMA","2021","class","group"
"197",-0.209734449784284,"LEMA","2021","class","group"
"198",-0.127139390576664,"LEMA","2021","class","group"
"199",-0.129695097258616,"LEMA","2021","class","group"
"200",-0.04417894073694,"LEMA","2021","class","group"
"201",-0.167678983226787,"LEMA","2021","class","group"
"202",-0.238580482471637,"LEMA","2021","class","group"
"203",-0.161960891297927,"LEMA","2021","class","group"
"204",-0.313287049744167,"LEMA","2021","class","group"
"205",0.000424470042548419,"LEMA","2021","class","group"
"206",-0.188940632883297,"LEMA","2021","class","group"
"207",-0.106247082144888,"LEMA","2021","class","group"
"208",-0.0951426989251259,"LEMA","2021","class","group"
"209",-0.180221518708192,"LEMA","2021","class","group"
"210",-0.149978683607693,"LEMA","2021","class","group"
"211",-0.0631631491493957,"LEMA","2021","class","group"
"212",-0.133017524175589,"LEMA","2021","class","group"
"213",-0.297671882149451,"LEMA","2021","class","group"
"214",-0.122938535206314,"LEMA","2021","class","group"
"215",-0.313264234098285,"LEMA","2021","class","group"
"216",-0.00958335690882095,"LEMA","2021","class","group"
"217",-0.167031740109601,"LEMA","2021","class","group"
"218",-0.190355783103149,"LEMA","2021","class","group"
"219",-0.288263184548581,"LEMA","2021","class","group"
"220",-0.112746534352263,"LEMA","2021","class","group"
"221",-0.192460734413385,"LEMA","2021","class","group"
"222",-0.0599534160968216,"LEMA","2021","class","group"
"223",-0.189822604458839,"LEMA","2021","class","group"
"224",-0.140100102167442,"LEMA","2021","class","group"
"225",-0.119905923556573,"LEMA","2021","class","group"
"226",-0.0360144614197961,"LEMA","2021","class","group"
"227",-0.207032363885916,"LEMA","2021","class","group"
"228",-0.147313704048436,"LEMA","2021","class","group"
"229",-0.190535413924001,"LEMA","2021","class","group"
"230",-0.189528061979218,"LEMA","2021","class","group"
"231",-0.267528845847003,"LEMA","2021","class","group"
"232",-0.141367402317599,"LEMA","2021","class","group"
"233",-0.108943520502061,"LEMA","2021","class","group"
"234",-0.186754410406937,"LEMA","2021","class","group"
"235",-0.100163216139572,"LEMA","2021","class","group"
"236",-0.105173908834849,"LEMA","2021","class","group"
"237",-0.190320391088607,"LEMA","2021","class","group"
"238",-0.0802526067186207,"LEMA","2021","class","group"
"239",-0.175344147791412,"LEMA","2021","class","group"
"240",-0.156597517646963,"LEMA","2021","class","group"
"241",-0.104713266335113,"LEMA","2021","class","group"
"242",-0.088557918091966,"LEMA","2021","class","group"
"243",-0.183653002311686,"LEMA","2021","class","group"
"244",-0.0757117321700338,"LEMA","2021","class","group"
"245",-0.140866921834729,"LEMA","2021","class","group"
"246",-0.180366918908048,"LEMA","2021","class","group"
"247",-0.160118582773819,"LEMA","2021","class","group"
"248",-0.102291241604954,"LEMA","2021","class","group"
"249",-0.250972966918227,"LEMA","2021","class","group"
"250",-0.139307846919839,"LEMA","2021","class","group"
"251",-0.185573264205194,"LEMA","2021","class","group"
"252",-0.111478053161032,"LEMA","2021","class","group"
"253",-0.11079582338969,"LEMA","2021","class","group"
"254",-0.134734476832456,"LEMA","2021","class","group"
"255",-0.10298724618803,"LEMA","2021","class","group"
"256",-0.204404482889183,"LEMA","2021","class","group"
"257",-0.104154452824532,"LEMA","2021","class","group"
"258",-0.0958811935887213,"LEMA","2021","class","group"
"259",-0.196570836058537,"LEMA","2021","class","group"
"260",-0.18922245122337,"LEMA","2021","class","group"
"261",-0.0376394274759807,"LEMA","2021","class","group"
"262",-0.178040258294573,"LEMA","2021","class","group"
"263",-0.133788542385237,"LEMA","2021","class","group"
"264",-0.146073061143076,"LEMA","2021","class","group"
"265",-0.332765414846692,"LEMA","2021","class","group"
"266",-0.176908614843315,"LEMA","2021","class","group"
"267",-0.171547230576386,"LEMA","2021","class","group"
"268",-0.245142780340574,"LEMA","2021","class","group"
"269",-0.15971866690101,"LEMA","2021","class","group"
"270",-0.138546135969567,"LEMA","2021","class","group"
"271",-0.312756570419895,"LEMA","2021","class","group"
"272",-0.277318549661972,"LEMA","2021","class","group"
"273",-0.257161925618396,"LEMA","2021","class","group"
"274",-0.198213622197254,"LEMA","2021","class","group"
"275",-0.164198222198419,"LEMA","2021","class","group"
"276",-0.110114552676819,"LEMA","2021","class","group"
"277",-0.239466096236468,"LEMA","2021","class","group"
"278",-0.19813343678012,"LEMA","2021","class","group"
"279",-0.219629973554416,"LEMA","2021","class","group"
"280",-0.146914661013969,"LEMA","2021","class","group"
"281",-0.32020182606847,"LEMA","2021","class","group"
"282",-0.173602285873942,"LEMA","2021","class","group"
"283",-0.122733008959075,"LEMA","2021","class","group"
"284",-0.195340919531396,"LEMA","2021","class","group"
"285",-0.118125559094172,"LEMA","2021","class","group"
"286",-0.174374095059181,"LEMA","2021","class","group"
"287",-0.149462935308055,"LEMA","2021","class","group"
"288",-0.3065603970482,"LEMA","2021","class","group"
"289",-0.167856680503944,"LEMA","2021","class","group"
"290",-0.150772548137088,"LEMA","2021","class","group"
"291",-0.18001165058171,"LEMA","2021","class","group"
"292",-0.1907948597264,"LEMA","2021","class","group"
"293",-0.0424153159640268,"LEMA","2021","class","group"
"294",-0.121318058139041,"LEMA","2021","class","group"
"295",-0.203862712436807,"LEMA","2021","class","group"
