"","alpha_hat_ij_MEEL","focal","year","complexity.plant","complexity.animal"
"1",-0.266236352692411,"LEMA","2021","code.plant","species"
"2",-0.246910703634172,"LEMA","2021","code.plant","species"
"3",-0.127645053633877,"LEMA","2021","code.plant","species"
"4",-0.110515323757446,"LEMA","2021","code.plant","species"
"5",-0.103247382448124,"LEMA","2021","code.plant","species"
"6",-0.227161186059513,"LEMA","2021","code.plant","species"
"7",-0.049658723590475,"LEMA","2021","code.plant","species"
"8",-0.271143016156571,"LEMA","2021","code.plant","species"
"9",-0.114734290453047,"LEMA","2021","code.plant","species"
"10",-0.197194693788114,"LEMA","2021","code.plant","species"
"11",-0.247870334955364,"LEMA","2021","code.plant","species"
"12",-0.380965731400536,"LEMA","2021","code.plant","species"
"13",-0.117984567386907,"LEMA","2021","code.plant","species"
"14",-0.163835873845125,"LEMA","2021","code.plant","species"
"15",-0.189295315317029,"LEMA","2021","code.plant","species"
"16",-0.0541181771558218,"LEMA","2021","code.plant","species"
"17",-0.11387029823558,"LEMA","2021","code.plant","species"
"18",-0.320961323710666,"LEMA","2021","code.plant","species"
"19",-0.141856206087413,"LEMA","2021","code.plant","species"
"20",-0.156181412142025,"LEMA","2021","code.plant","species"
"21",-0.212786753080725,"LEMA","2021","code.plant","species"
"22",-0.127925890702822,"LEMA","2021","code.plant","species"
"23",-0.198351415814727,"LEMA","2021","code.plant","species"
"24",-0.240762260199379,"LEMA","2021","code.plant","species"
"25",-0.169608141754563,"LEMA","2021","code.plant","species"
"26",-0.210406919856904,"LEMA","2021","code.plant","species"
"27",-0.14143419627198,"LEMA","2021","code.plant","species"
"28",-0.104990501645017,"LEMA","2021","code.plant","species"
"29",-0.229205645121795,"LEMA","2021","code.plant","species"
"30",-0.267998978720426,"LEMA","2021","code.plant","species"
"31",-0.18034869940821,"LEMA","2021","code.plant","species"
"32",-0.336776308448335,"LEMA","2021","code.plant","species"
"33",-0.173205744501908,"LEMA","2021","code.plant","species"
"34",-0.0187795297681869,"LEMA","2021","code.plant","species"
"35",-0.217538585029725,"LEMA","2021","code.plant","species"
"36",-0.0811102439400074,"LEMA","2021","code.plant","species"
"37",-0.213956619667491,"LEMA","2021","code.plant","species"
"38",-0.0582717935525316,"LEMA","2021","code.plant","species"
"39",-0.0700665241802768,"LEMA","2021","code.plant","species"
"40",-0.0964982215382122,"LEMA","2021","code.plant","species"
"41",-0.343945404646565,"LEMA","2021","code.plant","species"
"42",-0.10279091196571,"LEMA","2021","code.plant","species"
"43",-0.263229689003101,"LEMA","2021","code.plant","species"
"44",-0.103174175361339,"LEMA","2021","code.plant","species"
"45",-0.254434111448819,"LEMA","2021","code.plant","species"
"46",-0.0539342586480949,"LEMA","2021","code.plant","species"
"47",-0.187921720710029,"LEMA","2021","code.plant","species"
"48",-0.0354280478813491,"LEMA","2021","code.plant","species"
"49",-0.115322208490537,"LEMA","2021","code.plant","species"
