,focal,year,complexity,n.parameter,n.obs,Rhat,Neff,Rsquarred,Rsquarred.sd,mean.fec,sd.fec,mean.rmds,min.rmds,max.rmds,RMDS interpretation,Sim.Bias,perc.K,p_loo,p_loo.check,elpd_loo,elpd_loo_se
1,LEMA,2019,class,6,303,1.00,1602.89,0.24,0.15,580.70,361.79,312.65,308.46,335.44,Good,19.59,0.00,3.8+-0.4,Good specification,-2170.04,11.06
2,LEMA,2019,family,6,303,1.00,1441.70,0.21,0.14,580.70,361.79,312.69,308.72,330.27,Good,6.82,0.00,3.6+-0.3,Good specification,-2169.88,11.02
3,LEMA,2019,code.plant,5,303,1.00,1274.77,0.21,0.13,580.70,361.79,312.64,309.36,331.84,Good,123.16,0.00,3.6+-0.4,Good specification,-2170.86,10.79
4,LEMA,2020,class,7,272,1.00,1203.80,0.68,0.22,304.19,292.32,330.05,244.02,724.78,Poor,79.88,0.00,5.5+-0.8,Good specification,-1755.27,18.78
5,LEMA,2020,family,6,272,1.00,1382.40,0.63,0.23,304.19,292.32,303.99,241.90,661.14,Good,49.24,0.00,5.2+-0.7,Good specification,-1755.88,18.85
6,LEMA,2020,code.plant,6,272,1.00,1540.43,0.64,0.23,304.19,292.32,300.73,242.45,582.10,Good,58.97,0.00,5.3+-0.7,Good specification,-1757.40,18.88
7,LEMA,2021,class,6,289,1.00,1420.74,0.07,0.05,331.78,263.28,250.62,243.77,265.27,Good,45.30,0.00,5.6+-2,Good specification,-1933.15,15.66
8,LEMA,2021,family,5,289,1.01,1237.38,0.05,0.03,331.78,263.28,251.69,246.99,263.26,Good,254.12,0.00,4.2+-0.9,Good specification,-1932.24,15.89
9,LEMA,2021,code.plant,5,289,1.01,1452.76,0.09,0.05,331.78,263.28,245.98,239.32,266.06,Good,95.19,0.00,4.3+-1.1,Good specification,-1927.75,15.37
10,CHFU,2019,class,5,300,1.00,1320.45,0.18,0.10,664.76,365.19,316.60,311.86,349.28,Good,15.34,0.00,3.1+-0.3,Good specification,-2190.08,8.89
11,CHFU,2019,family,5,300,1.00,1511.82,0.18,0.10,664.76,365.19,315.74,310.84,352.77,Good,24.44,0.00,3.1+-0.3,Good specification,-2189.57,8.90
12,CHFU,2019,code.plant,5,300,1.00,1496.75,0.19,0.10,664.76,365.19,314.68,309.29,352.04,Good,25.08,0.00,3.3+-0.3,Good specification,-2189.20,8.90
13,CHFU,2020,class,6,161,1.00,1671.32,0.04,0.04,166.04,226.48,219.55,212.72,230.62,Poor,22.83,0.01,3.6+-0.7,Good specification,-978.03,16.76
14,CHFU,2020,family,7,161,1.00,1298.88,0.07,0.06,166.04,226.48,214.69,206.46,247.44,Poor,64.29,0.00,3.6+-0.6,Good specification,-971.85,16.54
15,CHFU,2020,code.plant,6,161,1.01,1479.55,0.08,0.08,166.04,226.48,216.43,209.08,372.71,Poor,42.05,0.00,3.9+-0.7,Good specification,-973.37,16.82
16,CHFU,2021,class,5,125,1.00,1832.93,0.02,0.02,248.30,228.64,227.23,221.82,250.77,Good,5.54,0.00,3.8+-0.7,Good specification,-812.92,11.22
17,CHFU,2021,family,5,125,1.00,1418.84,0.04,0.04,248.30,228.64,226.09,220.12,257.16,Good,4.71,0.00,3.9+-0.8,Good specification,-811.96,11.34
18,CHFU,2021,code.plant,5,125,1.01,1280.18,0.03,0.03,248.30,228.64,226.61,220.46,248.89,Good,8.91,0.00,4.2+-0.8,Good specification,-812.62,11.24
19,HOMA,2019,class,4,247,1.00,1582.26,0.01,0.01,23.00,0.00,0.57,0.07,1.52,Good,0.00,0.00,0.1+-0,Good specification,-617.60,0.14
20,HOMA,2019,family,4,247,1.01,1392.53,0.01,0.01,23.00,0.00,0.58,0.06,1.43,Good,0.00,0.00,0.1+-0,Good specification,-617.70,0.15
21,HOMA,2019,code.plant,4,247,1.01,1423.26,0.01,0.01,23.00,0.00,0.58,0.04,1.46,Good,0.00,0.00,0.1+-0,Good specification,-617.68,0.15
22,HOMA,2020,class,4,195,1.01,1469.67,0.12,0.08,59.65,48.35,46.21,45.89,47.98,Good,0.07,0.00,3.9+-0.6,Good specification,-960.25,13.44
23,HOMA,2020,family,4,195,1.00,1459.90,0.12,0.08,59.65,48.35,46.18,45.88,47.95,Good,0.07,0.00,4.1+-0.7,Good specification,-959.65,13.52
24,HOMA,2020,code.plant,5,195,1.00,1140.42,0.15,0.09,59.65,48.35,45.02,43.73,47.23,Good,0.42,0.00,4.5+-0.7,Good specification,-955.13,13.39
25,HOMA,2021,class,5,218,1.01,1182.37,0.08,0.04,42.21,26.64,24.82,24.18,26.66,Good,0.35,0.01,6.6+-2.5,Good specification,-957.20,14.66
26,HOMA,2021,family,4,218,1.01,1559.28,0.10,0.05,42.21,26.64,24.45,23.96,25.75,Good,1.35,0.00,6.7+-4,Good specification,-954.49,15.90
27,HOMA,2021,code.plant,5,218,1.00,1632.42,0.09,0.05,42.21,26.64,24.92,24.30,26.65,Good,0.36,0.00,7.9+-3.9,Good specification,-960.03,15.19
28,CETE,2019,class,4,75,1.00,1364.56,0.04,0.03,1000.00,0.00,6.88,0.79,17.21,Good,0.00,0.00,0.2+-0,Good specification,-330.58,0.22
29,CETE,2019,family,4,75,1.01,1259.85,0.04,0.03,1000.00,0.00,6.94,0.55,17.68,Good,0.01,0.00,0.2+-0,Good specification,-330.63,0.22
30,CETE,2019,code.plant,4,75,1.01,1426.82,0.04,0.03,1000.00,0.00,6.94,0.96,17.69,Good,0.00,0.00,0.2+-0,Good specification,-330.63,0.23
31,CETE,2020,class,5,210,1.00,1311.11,0.03,0.02,793.60,276.70,275.69,269.85,299.98,Good,14.73,0.00,5.3+-1.2,Good specification,-1526.19,11.96
32,CETE,2020,family,5,210,1.00,1344.89,0.03,0.02,793.60,276.70,275.80,270.06,309.79,Good,10.33,0.00,5.5+-1.3,Good specification,-1526.40,11.95
33,CETE,2020,code.plant,5,210,1.00,1291.47,0.03,0.02,793.60,276.70,278.14,272.37,303.01,Good,14.39,0.00,5.6+-1.3,Good specification,-1527.52,11.74
34,CETE,2021,class,5,196,1.00,1718.64,0.03,0.02,736.98,280.85,279.59,273.92,322.48,Good,4.36,0.00,3.8+-0.6,Good specification,-1407.99,7.10
35,CETE,2021,family,5,196,1.00,1412.46,0.05,0.03,736.98,280.85,278.88,273.63,326.04,Good,5.10,0.00,3.8+-0.6,Good specification,-1407.65,7.09
36,CETE,2021,code.plant,5,196,1.01,1339.34,0.05,0.04,736.98,280.85,279.66,274.38,331.81,Good,0.95,0.01,3.6+-0.5,Good specification,-1408.07,7.17
